.HEADER
..NAMES
Time,V U2.M7
.DATA
5.7004e-09,1.2005
5.7237e-09,1.2004
5.7469e-09,1.2004
5.7702e-09,1.2008
5.7935e-09,1.2018
5.8168e-09,1.2030
5.8400e-09,1.2038
5.8633e-09,1.2038
5.8866e-09,1.2030
5.9098e-09,1.2019
5.9331e-09,1.2009
5.9564e-09,1.2002
5.9796e-09,1.2000
6.0029e-09,1.2000
6.0262e-09,1.2003
6.0494e-09,1.2007
6.0727e-09,1.2013
6.0960e-09,1.2023
6.1192e-09,1.2034
6.1425e-09,1.2043
6.1658e-09,1.2046
6.1890e-09,1.2041
6.2123e-09,1.2032
6.2356e-09,1.2024
6.2588e-09,1.2019
6.2821e-09,1.2018
6.3054e-09,1.2017
6.3286e-09,1.2016
6.3519e-09,1.2017
6.3752e-09,1.2019
6.3984e-09,1.2023
6.4217e-09,1.2029
6.4450e-09,1.2034
6.4682e-09,1.2036
6.4915e-09,1.2033
6.5148e-09,1.2027
6.5380e-09,1.2021
6.5613e-09,1.2016
6.5846e-09,1.2014
6.6078e-09,1.2013
6.6311e-09,1.2012
6.6544e-09,1.2012
6.6776e-09,1.2014
6.7009e-09,1.2018
6.7242e-09,1.2024
6.7474e-09,1.2029
6.7707e-09,1.2030
6.7940e-09,1.2029
6.8172e-09,1.2026
6.8405e-09,1.2022
6.8638e-09,1.2019
6.8870e-09,1.2018
6.9103e-09,1.2018
6.9336e-09,1.2018
6.9568e-09,1.2018
6.9801e-09,1.2018
7.0034e-09,1.2020
7.0266e-09,1.2024
7.0499e-09,1.2027
7.0732e-09,1.2029
7.0964e-09,1.2028
7.1197e-09,1.2026
7.1430e-09,1.2023
7.1662e-09,1.2021
7.1895e-09,1.2020
7.2128e-09,1.2018
7.2360e-09,1.2018
7.2593e-09,1.2017
7.2826e-09,1.2018
7.3058e-09,1.2019
7.3291e-09,1.2022
7.3524e-09,1.2024
7.3756e-09,1.2025
7.3989e-09,1.2025
7.4222e-09,1.2024
7.4454e-09,1.2022
7.4687e-09,1.2020
7.4920e-09,1.2019
7.5152e-09,1.2019
7.5385e-09,1.2019
7.5618e-09,1.2018
7.5850e-09,1.2018
7.6083e-09,1.2019
7.6316e-09,1.2021
7.6548e-09,1.2023
7.6781e-09,1.2024
7.7014e-09,1.2024
7.7246e-09,1.2023
7.7479e-09,1.2022
7.7712e-09,1.2021
