.HEADER
..NAMES
Time,V U2.P8
.DATA
5.6539e-09,1.1799
5.6771e-09,1.1797
5.7004e-09,1.1813
5.7237e-09,1.1818
5.7469e-09,1.1828
5.7702e-09,1.1875
5.7935e-09,1.1968
5.8168e-09,1.2069
5.8400e-09,1.2136
5.8633e-09,1.2153
5.8866e-09,1.2129
5.9098e-09,1.2067
5.9331e-09,1.1970
5.9564e-09,1.1859
5.9796e-09,1.1773
6.0029e-09,1.1732
6.0262e-09,1.1721
6.0494e-09,1.1723
6.0727e-09,1.1741
6.0960e-09,1.1790
6.1192e-09,1.1877
6.1425e-09,1.1992
6.1658e-09,1.2108
6.1890e-09,1.2188
6.2123e-09,1.2212
6.2356e-09,1.2190
6.2588e-09,1.2149
6.2821e-09,1.2112
6.3054e-09,1.2078
6.3286e-09,1.2040
6.3519e-09,1.1994
6.3752e-09,1.1949
6.3984e-09,1.1913
6.4217e-09,1.1890
6.4450e-09,1.1889
6.4682e-09,1.1920
6.4915e-09,1.1981
6.5148e-09,1.2052
6.5380e-09,1.2106
6.5613e-09,1.2128
6.5846e-09,1.2126
6.6078e-09,1.2099
6.6311e-09,1.1936
6.6544e-09,1.1478
6.6776e-09,1.0494
6.7009e-09,0.9132
6.7242e-09,0.7875
6.7474e-09,0.6756
6.7707e-09,0.5410
6.7940e-09,0.3814
6.8172e-09,0.2397
6.8405e-09,0.1256
6.8638e-09,0.0300
6.8870e-09,-0.0447
6.9103e-09,-0.0941
6.9336e-09,-0.1214
6.9568e-09,-0.1346
6.9801e-09,-0.1421
7.0034e-09,-0.1496
7.0266e-09,-0.1605
7.0499e-09,-0.1719
7.0732e-09,-0.1802
7.0964e-09,-0.1825
7.1197e-09,-0.1829
7.1430e-09,-0.1880
7.1662e-09,-0.1994
7.1895e-09,-0.2075
7.2128e-09,-0.1974
7.2360e-09,-0.1628
7.2593e-09,-0.1172
7.2826e-09,-0.0766
7.3058e-09,-0.0390
7.3291e-09,0.0057
7.3524e-09,0.0517
7.3756e-09,0.0863
7.3989e-09,0.1093
7.4222e-09,0.1261
7.4454e-09,0.1346
7.4687e-09,0.1307
7.4920e-09,0.1152
7.5152e-09,0.0932
7.5385e-09,0.0715
7.5618e-09,0.0559
7.5850e-09,0.0489
7.6083e-09,0.0474
7.6316e-09,0.0461
7.6548e-09,0.0422
7.6781e-09,0.0383
7.7014e-09,0.0395
7.7246e-09,0.0462
7.7479e-09,0.0524
7.7712e-09,0.0506
7.7944e-09,0.0391
7.8177e-09,0.0234
7.8410e-09,0.0073
7.8642e-09,-0.0104
7.8875e-09,-0.0297
7.9108e-09,-0.0453
7.9340e-09,-0.0534
7.9573e-09,-0.0564
7.9806e-09,-0.0577
8.0038e-09,-0.0566
8.0271e-09,-0.0503
8.0504e-09,-0.0381
8.0736e-09,-0.0222
8.0969e-09,-0.0068
8.1202e-09,0.0037
8.1435e-09,0.0073
8.1667e-09,0.0059
8.1900e-09,0.0034
8.2133e-09,0.0021
8.2365e-09,0.0011
8.2598e-09,-0.0019
8.2831e-09,-0.0067
8.3063e-09,-0.0110
8.3296e-09,-0.0123
8.3529e-09,-0.0106
8.3761e-09,-0.0065
8.3994e-09,-0.0001
8.4227e-09,0.0091
8.4459e-09,0.0189
8.4692e-09,0.0253
8.4925e-09,0.0268
8.5157e-09,0.0255
8.5390e-09,0.0237
8.5623e-09,0.0215
8.5855e-09,0.0176
8.6088e-09,0.0112
8.6321e-09,0.0029
8.6553e-09,-0.0054
8.6786e-09,-0.0111
8.7019e-09,-0.0126
8.7251e-09,-0.0108
8.7484e-09,-0.0075
8.7717e-09,-0.0043
8.7949e-09,-0.0014
8.8182e-09,0.0014
8.8415e-09,0.0038
8.8647e-09,0.0055
8.8880e-09,0.0064
8.9113e-09,0.0068
8.9345e-09,0.0062
8.9578e-09,0.0034
8.9811e-09,-0.0017
9.0043e-09,-0.0073
9.0276e-09,-0.0109
9.0509e-09,-0.0115
9.0741e-09,-0.0102
9.0974e-09,-0.0083
9.1207e-09,-0.0063
9.1439e-09,-0.0040
9.1672e-09,-0.0010
9.1905e-09,0.0028
9.2137e-09,0.0065
9.2370e-09,0.0092
9.2603e-09,0.0100
9.2835e-09,0.0089
9.3068e-09,0.0065
9.3301e-09,0.0036
9.3533e-09,0.0007
9.3766e-09,-0.0014
9.3999e-09,-0.0025
9.4231e-09,-0.0027
9.4464e-09,-0.0027
9.4697e-09,-0.0029
9.4929e-09,-0.0029
9.5162e-09,-0.0017
9.5395e-09,0.0009
9.5627e-09,0.0040
9.5860e-09,0.0063
9.6093e-09,0.0070
9.6325e-09,0.0064
9.6558e-09,0.0050
9.6791e-09,0.0034
9.7023e-09,0.0017
9.7256e-09,0.0002
9.7489e-09,-0.0014
9.7721e-09,-0.0028
9.7954e-09,-0.0039
9.8187e-09,-0.0043
9.8419e-09,-0.0039
9.8652e-09,-0.0026
9.8885e-09,-0.0005
9.9117e-09,0.0016
9.9350e-09,0.0031
9.9583e-09,0.0036
9.9815e-09,0.0034
1.00048e-08,0.0029
1.00281e-08,0.0027
1.00513e-08,0.0027
1.00746e-08,0.0022
1.00979e-08,0.0010
1.01211e-08,-0.0005
1.01444e-08,-0.0019
1.01677e-08,-0.0025
1.01909e-08,-0.0024
1.02142e-08,-0.0016
1.02375e-08,-0.0004
1.02607e-08,0.0008
1.02840e-08,0.0018
1.03073e-08,0.0025
1.03305e-08,0.0029
1.03538e-08,0.0032
1.03771e-08,0.0046
1.04003e-08,0.0153
1.04236e-08,0.0546
1.04469e-08,0.1475
1.04702e-08,0.2677
1.04934e-08,0.3725
1.05167e-08,0.4762
1.05400e-08,0.6130
1.05632e-08,0.7665
1.05865e-08,0.8996
1.06098e-08,1.0135
1.06330e-08,1.1123
1.06563e-08,1.1878
1.06796e-08,1.2371
1.07028e-08,1.2649
1.07261e-08,1.2792
1.07494e-08,1.2870
1.07726e-08,1.2933
1.07959e-08,1.3004
1.08192e-08,1.3063
1.08424e-08,1.3086
1.08657e-08,1.3065
1.08890e-08,1.3053
1.09122e-08,1.3114
1.09355e-08,1.3248
1.09588e-08,1.3349
1.09820e-08,1.3270
1.10053e-08,1.2979
1.10286e-08,1.2627
1.10518e-08,1.2327
1.10751e-08,1.2010
1.10984e-08,1.1604
1.11216e-08,1.1212
1.11449e-08,1.0932
1.11682e-08,1.0733
1.11914e-08,1.0589
1.12147e-08,1.0547
1.12380e-08,1.0636
1.12612e-08,1.0833
1.12845e-08,1.1083
1.13078e-08,1.1325
1.13310e-08,1.1505
1.13543e-08,1.1608
1.13776e-08,1.1665
1.14008e-08,1.1722
1.14241e-08,1.1794
1.14474e-08,1.1845
1.14706e-08,1.1829
1.14939e-08,1.1753
1.15172e-08,1.1686
1.15404e-08,1.1695
1.15637e-08,1.1781
1.15870e-08,1.1895
1.16102e-08,1.1999
1.16335e-08,1.1985
1.16568e-08,1.1680
1.16800e-08,1.0800
1.17033e-08,0.9539
1.17266e-08,0.8370
1.17498e-08,0.7274
1.17731e-08,0.5853
1.17964e-08,0.4149
1.18196e-08,0.2584
1.18429e-08,0.1252
1.18662e-08,0.0117
1.18894e-08,-0.0730
1.19127e-08,-0.1243
1.19360e-08,-0.1488
1.19592e-08,-0.1592
1.19825e-08,-0.1651
1.20058e-08,-0.1703
1.20290e-08,-0.1748
1.20523e-08,-0.1760
1.20756e-08,-0.1738
1.20988e-08,-0.1696
1.21221e-08,-0.1688
1.21454e-08,-0.1771
1.21686e-08,-0.1951
1.21919e-08,-0.2120
1.22152e-08,-0.2099
1.22384e-08,-0.1805
1.22617e-08,-0.1381
1.22850e-08,-0.0991
1.23082e-08,-0.0605
1.23315e-08,-0.0124
1.23548e-08,0.0386
1.23780e-08,0.0809
1.24013e-08,0.1147
1.24246e-08,0.1416
1.24478e-08,0.1554
1.24711e-08,0.1513
1.24944e-08,0.1321
1.25176e-08,0.1059
1.25409e-08,0.0808
1.25642e-08,0.0625
1.25874e-08,0.0521
1.26107e-08,0.0463
1.26340e-08,0.0405
1.26572e-08,0.0329
1.26805e-08,0.0272
1.27038e-08,0.0293
1.27270e-08,0.0398
1.27503e-08,0.0519
1.27736e-08,0.0557
1.27968e-08,0.0483
1.28201e-08,0.0342
1.28434e-08,0.0180
1.28667e-08,-0.0011
1.28899e-08,-0.0221
1.29132e-08,-0.0399
1.29365e-08,-0.0516
1.29597e-08,-0.0599
1.29830e-08,-0.0665
1.30063e-08,-0.0684
1.30295e-08,-0.0620
1.30528e-08,-0.0474
1.30761e-08,-0.0281
1.30993e-08,-0.0094
1.31226e-08,0.0036
1.31459e-08,0.0091
1.31691e-08,0.0090
1.31924e-08,0.0078
1.32157e-08,0.0079
1.32389e-08,0.0079
1.32622e-08,0.0050
1.32855e-08,-0.0017
1.33087e-08,-0.0093
1.33320e-08,-0.0145
1.33553e-08,-0.0156
1.33785e-08,-0.0128
1.34018e-08,-0.0059
1.34251e-08,0.0046
1.34483e-08,0.0157
1.34716e-08,0.0234
1.34949e-08,0.0268
1.35181e-08,0.0280
1.35414e-08,0.0286
1.35647e-08,0.0280
1.35879e-08,0.0243
1.36112e-08,0.0168
1.36345e-08,0.0063
1.36577e-08,-0.0044
1.36810e-08,-0.0121
1.37043e-08,-0.0149
1.37275e-08,-0.0133
1.37508e-08,-0.0100
1.37741e-08,-0.0069
1.37973e-08,-0.0043
1.38206e-08,-0.0017
1.38439e-08,0.0013
1.38671e-08,0.0046
1.38904e-08,0.0077
1.39137e-08,0.0100
1.39369e-08,0.0104
1.39602e-08,0.0074
1.39835e-08,0.0014
1.40067e-08,-0.0053
1.40300e-08,-0.0100
