.HEADER
..NAMES
Time,V U2.L7
.DATA
5.7469e-09,1.2018
5.7702e-09,1.2018
5.7935e-09,1.2018
5.8168e-09,1.2018
5.8400e-09,1.2017
5.8633e-09,1.2017
5.8866e-09,1.2017
5.9098e-09,1.2017
5.9331e-09,1.2017
5.9564e-09,1.2017
5.9796e-09,1.2017
6.0029e-09,1.2017
6.0262e-09,1.2018
6.0494e-09,1.2017
6.0727e-09,1.2017
6.0960e-09,1.2017
6.1192e-09,1.2017
6.1425e-09,1.2017
6.1658e-09,1.2017
6.1890e-09,1.2017
6.2123e-09,1.2017
6.2356e-09,1.2017
6.2588e-09,1.2017
6.2821e-09,1.2017
6.3054e-09,1.2017
6.3286e-09,1.2017
6.3519e-09,1.2017
6.3752e-09,1.2017
6.3984e-09,1.2017
6.4217e-09,1.2017
6.4450e-09,1.2016
6.4682e-09,1.2016
6.4915e-09,1.2016
6.5148e-09,1.2016
6.5380e-09,1.2017
6.5613e-09,1.2013
6.5846e-09,1.1951
6.6078e-09,1.1731
6.6311e-09,1.1147
6.6544e-09,1.0090
6.6776e-09,0.8678
6.7009e-09,0.7064
6.7242e-09,0.5460
6.7474e-09,0.3954
6.7707e-09,0.2614
6.7940e-09,0.1531
6.8172e-09,0.0728
6.8405e-09,0.0175
6.8638e-09,-0.0222
6.8870e-09,-0.0579
6.9103e-09,-0.0947
6.9336e-09,-0.1306
6.9568e-09,-0.1589
6.9801e-09,-0.1773
7.0034e-09,-0.1866
7.0266e-09,-0.1874
7.0499e-09,-0.1785
7.0732e-09,-0.1573
7.0964e-09,-0.1236
7.1197e-09,-0.0781
7.1430e-09,-0.0229
7.1662e-09,0.0362
7.1895e-09,0.0903
7.2128e-09,0.1298
7.2360e-09,0.1492
7.2593e-09,0.1502
7.2826e-09,0.1402
7.3058e-09,0.1281
7.3291e-09,0.1188
7.3524e-09,0.1123
7.3756e-09,0.1072
7.3989e-09,0.1028
7.4222e-09,0.0989
7.4454e-09,0.0938
7.4687e-09,0.0849
7.4920e-09,0.0706
7.5152e-09,0.0514
7.5385e-09,0.0291
7.5618e-09,0.0055
7.5850e-09,-0.0178
7.6083e-09,-0.0396
7.6316e-09,-0.0578
7.6548e-09,-0.0700
7.6781e-09,-0.0743
7.7014e-09,-0.0706
7.7246e-09,-0.0603
7.7479e-09,-0.0466
7.7712e-09,-0.0328
7.7944e-09,-0.0226
7.8177e-09,-0.0179
7.8410e-09,-0.0179
7.8642e-09,-0.0193
7.8875e-09,-0.0187
7.9108e-09,-0.0142
7.9340e-09,-0.0067
7.9573e-09,0.0021
7.9806e-09,0.0108
8.0038e-09,0.0189
8.0271e-09,0.0265
8.0504e-09,0.0330
8.0736e-09,0.0374
8.0969e-09,0.0386
8.1202e-09,0.0364
8.1435e-09,0.0311
8.1667e-09,0.0237
8.1900e-09,0.0155
8.2133e-09,0.0079
8.2365e-09,0.0022
8.2598e-09,-0.0008
8.2831e-09,-0.0012
8.3063e-09,-0.0001
8.3296e-09,0.0014
8.3529e-09,0.0021
8.3761e-09,0.0009
8.3994e-09,-0.0022
8.4227e-09,-0.0066
8.4459e-09,-0.0110
8.4692e-09,-0.0142
8.4925e-09,-0.0152
8.5157e-09,-0.0143
8.5390e-09,-0.0123
8.5623e-09,-0.0098
8.5855e-09,-0.0070
8.6088e-09,-0.0036
8.6321e-09,0.0002
8.6553e-09,0.0039
8.6786e-09,0.0066
8.7019e-09,0.0077
8.7251e-09,0.0073
8.7484e-09,0.0057
8.7717e-09,0.0040
8.7949e-09,0.0028
8.8182e-09,0.0027
8.8415e-09,0.0036
8.8647e-09,0.0053
8.8880e-09,0.0070
8.9113e-09,0.0083
8.9345e-09,0.0087
8.9578e-09,0.0082
8.9811e-09,0.0068
9.0043e-09,0.0048
9.0276e-09,0.0026
9.0509e-09,0.0007
9.0741e-09,-0.0007
9.0974e-09,-0.0015
9.1207e-09,-0.0018
9.1439e-09,-0.0018
9.1672e-09,-0.0016
9.1905e-09,-0.0009
9.2137e-09,0.0000
9.2370e-09,0.0011
9.2603e-09,0.0017
9.2835e-09,0.0018
9.3068e-09,0.0011
9.3301e-09,0.0001
9.3533e-09,-0.0007
9.3766e-09,-0.0010
9.3999e-09,-0.0007
9.4231e-09,0.0002
9.4464e-09,0.0015
9.4697e-09,0.0026
9.4929e-09,0.0035
9.5162e-09,0.0039
9.5395e-09,0.0041
9.5627e-09,0.0040
9.5860e-09,0.0037
9.6093e-09,0.0032
9.6325e-09,0.0026
9.6558e-09,0.0021
9.6791e-09,0.0018
9.7023e-09,0.0016
9.7256e-09,0.0017
9.7489e-09,0.0018
9.7721e-09,0.0021
9.7954e-09,0.0024
9.8187e-09,0.0027
9.8419e-09,0.0028
9.8652e-09,0.0025
9.8885e-09,0.0020
9.9117e-09,0.0013
9.9350e-09,0.0007
9.9583e-09,0.0005
9.9815e-09,0.0005
1.00048e-08,0.0009
1.00281e-08,0.0013
1.00513e-08,0.0017
1.00746e-08,0.0019
1.00979e-08,0.0021
1.01211e-08,0.0022
1.01444e-08,0.0022
1.01677e-08,0.0022
1.01909e-08,0.0021
1.02142e-08,0.0020
1.02375e-08,0.0018
1.02607e-08,0.0017
1.02840e-08,0.0017
1.03073e-08,0.0018
1.03305e-08,0.0024
1.03538e-08,0.0073
1.03771e-08,0.0270
1.04003e-08,0.0831
1.04236e-08,0.1819
1.04469e-08,0.3132
1.04702e-08,0.4634
1.04934e-08,0.6141
1.05167e-08,0.7581
1.05400e-08,0.8860
1.05632e-08,0.9892
1.05865e-08,1.0662
1.06098e-08,1.1193
1.06330e-08,1.1582
1.06563e-08,1.1934
1.06796e-08,1.2291
1.07028e-08,1.2631
1.07261e-08,1.2900
1.07494e-08,1.3083
1.07726e-08,1.3183
1.07959e-08,1.3198
1.08192e-08,1.3110
1.08424e-08,1.2906
1.08657e-08,1.2592
1.08890e-08,1.2176
1.09122e-08,1.1680
1.09355e-08,1.1159
1.09588e-08,1.0697
