.HEADER
..NAMES
Time,V U2.D3
.DATA
5.6539e-09,1.3123
5.6771e-09,1.2570
5.7004e-09,1.1648
5.7237e-09,1.0300
5.7469e-09,0.8873
5.7702e-09,0.7674
5.7935e-09,0.6409
5.8168e-09,0.4886
5.8400e-09,0.3501
5.8633e-09,0.2423
5.8866e-09,0.1433
5.9098e-09,0.0481
5.9331e-09,-0.0242
5.9564e-09,-0.0653
5.9796e-09,-0.0894
6.0029e-09,-0.1143
6.0262e-09,-0.1415
6.0494e-09,-0.1634
6.0727e-09,-0.1791
6.0960e-09,-0.1950
6.1192e-09,-0.2151
6.1425e-09,-0.2364
6.1658e-09,-0.2529
6.1890e-09,-0.2594
6.2123e-09,-0.2501
6.2356e-09,-0.2248
6.2588e-09,-0.1921
6.2821e-09,-0.1550
6.3054e-09,-0.1096
6.3286e-09,-0.0633
6.3519e-09,-0.0265
6.3752e-09,0.0054
6.3984e-09,0.0405
6.4217e-09,0.0721
6.4450e-09,0.0884
6.4682e-09,0.0898
6.4915e-09,0.0857
6.5148e-09,0.0811
6.5380e-09,0.0737
6.5613e-09,0.0630
6.5846e-09,0.0539
6.6078e-09,0.0510
6.6311e-09,0.0528
6.6544e-09,0.0571
6.6776e-09,0.0648
6.7009e-09,0.0760
6.7242e-09,0.0853
6.7474e-09,0.0875
6.7707e-09,0.0813
6.7940e-09,0.0677
6.8172e-09,0.0492
6.8405e-09,0.0306
6.8638e-09,0.0138
6.8870e-09,-0.0034
6.9103e-09,-0.0210
6.9336e-09,-0.0352
6.9568e-09,-0.0432
6.9801e-09,-0.0461
7.0034e-09,-0.0453
7.0266e-09,-0.0400
7.0499e-09,-0.0305
7.0732e-09,-0.0197
7.0964e-09,-0.0112
7.1197e-09,-0.0050
7.1430e-09,-0.0000
7.1662e-09,0.0027
7.1895e-09,0.0001
7.2128e-09,-0.0077
7.2360e-09,-0.0174
7.2593e-09,-0.0256
7.2826e-09,-0.0304
7.3058e-09,-0.0309
7.3291e-09,-0.0269
7.3524e-09,-0.0198
7.3756e-09,-0.0109
7.3989e-09,-0.0015
7.4222e-09,0.0077
7.4454e-09,0.0157
7.4687e-09,0.0221
7.4920e-09,0.0265
7.5152e-09,0.0278
7.5385e-09,0.0259
7.5618e-09,0.0277
7.5850e-09,0.0501
7.6083e-09,0.1180
7.6316e-09,0.2161
7.6548e-09,0.2975
7.6781e-09,0.3725
7.7014e-09,0.4837
7.7246e-09,0.6126
7.7479e-09,0.7325
7.7712e-09,0.8491
7.7944e-09,0.9688
7.8177e-09,1.0737
7.8410e-09,1.1460
7.8642e-09,1.1886
7.8875e-09,1.2183
7.9108e-09,1.2445
7.9340e-09,1.2629
7.9573e-09,1.2683
7.9806e-09,1.2669
8.0038e-09,1.2703
8.0271e-09,1.2832
8.0504e-09,1.3041
8.0736e-09,1.3294
8.0969e-09,1.3485
8.1202e-09,1.3515
8.1435e-09,1.3443
8.1667e-09,1.3341
8.1900e-09,1.3157
8.2133e-09,1.2890
