.HEADER
..NAMES
Time,V U2.E7
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.2000
5.817e-10,1.2000
6.049e-10,1.2000
6.282e-10,1.1993
6.515e-10,1.1896
6.747e-10,1.1657
6.980e-10,1.1042
7.213e-10,1.0190
7.445e-10,0.9217
7.678e-10,0.8191
7.911e-10,0.7501
8.143e-10,0.7032
8.376e-10,0.6713
8.609e-10,0.6567
8.841e-10,0.6363
9.074e-10,0.6121
9.307e-10,0.5908
9.539e-10,0.5678
9.772e-10,0.5491
1.0005e-09,0.5423
1.0237e-09,0.5369
1.0470e-09,0.5305
1.0703e-09,0.5236
1.0935e-09,0.5088
1.1168e-09,0.4971
1.1401e-09,0.4922
1.1633e-09,0.4913
1.1866e-09,0.4972
1.2099e-09,0.5009
1.2332e-09,0.5032
1.2564e-09,0.5064
1.2797e-09,0.5127
1.3030e-09,0.5393
1.3262e-09,0.6091
1.3495e-09,0.7051
1.3728e-09,0.8248
1.3960e-09,0.9503
1.4193e-09,1.0336
1.4426e-09,1.0919
1.4658e-09,1.1235
1.4891e-09,1.1305
1.5124e-09,1.1447
1.5356e-09,1.1578
1.5589e-09,1.1683
1.5822e-09,1.1851
1.6054e-09,1.1970
1.6287e-09,1.1999
1.6520e-09,1.2030
1.6752e-09,1.2035
1.6985e-09,1.2057
1.7218e-09,1.2159
1.7450e-09,1.2228
1.7683e-09,1.2254
1.7916e-09,1.2218
1.8148e-09,1.2100
1.8381e-09,1.2014
1.8614e-09,1.1951
1.8846e-09,1.1896
1.9079e-09,1.1773
1.9312e-09,1.1435
1.9544e-09,1.0721
1.9777e-09,0.9840
2.0010e-09,0.8818
2.0242e-09,0.7872
2.0475e-09,0.7294
2.0708e-09,0.6879
2.0940e-09,0.6659
2.1173e-09,0.6530
2.1406e-09,0.6286
2.1638e-09,0.6025
2.1871e-09,0.5785
2.2104e-09,0.5550
2.2336e-09,0.5423
2.2569e-09,0.5388
2.2802e-09,0.5332
2.3034e-09,0.5271
2.3267e-09,0.5167
2.3500e-09,0.5015
2.3732e-09,0.4929
2.3965e-09,0.4896
2.4198e-09,0.4923
2.4430e-09,0.4993
2.4663e-09,0.5024
2.4896e-09,0.5050
2.5128e-09,0.5072
2.5361e-09,0.5154
2.5594e-09,0.5536
2.5826e-09,0.6358
2.6059e-09,0.7388
2.6292e-09,0.8662
2.6524e-09,0.9819
2.6757e-09,1.0523
2.6990e-09,1.1054
2.7222e-09,1.1273
2.7455e-09,1.1337
2.7688e-09,1.1500
2.7920e-09,1.1611
2.8153e-09,1.1724
2.8386e-09,1.1895
2.8618e-09,1.1982
2.8851e-09,1.1995
2.9084e-09,1.2027
2.9316e-09,1.2029
2.9549e-09,1.2078
2.9782e-09,1.2191
3.0014e-09,1.2238
3.0247e-09,1.2249
3.0480e-09,1.2181
3.0712e-09,1.2060
3.0945e-09,1.1993
3.1178e-09,1.1936
3.1410e-09,1.1873
3.1643e-09,1.1715
3.1876e-09,1.1276
3.2108e-09,1.0512
3.2341e-09,0.9583
3.2574e-09,0.8537
3.2806e-09,0.7670
3.3039e-09,0.7142
3.3272e-09,0.6780
3.3504e-09,0.6606
3.3737e-09,0.6456
3.3970e-09,0.6204
3.4202e-09,0.5948
3.4435e-09,0.5709
3.4668e-09,0.5499
3.4901e-09,0.5403
3.5133e-09,0.5366
3.5366e-09,0.5310
3.5599e-09,0.5243
3.5831e-09,0.5123
3.6064e-09,0.4984
3.6297e-09,0.4911
3.6529e-09,0.4889
3.6762e-09,0.4935
3.6995e-09,0.5000
3.7227e-09,0.5029
3.7460e-09,0.5054
3.7693e-09,0.5079
3.7925e-09,0.5216
3.8158e-09,0.5718
3.8391e-09,0.6602
3.8623e-09,0.7672
3.8856e-09,0.8968
3.9089e-09,0.9992
3.9321e-09,1.0641
3.9554e-09,1.1127
3.9787e-09,1.1268
4.0019e-09,1.1370
4.0252e-09,1.1533
4.0485e-09,1.1628
4.0717e-09,1.1764
4.0950e-09,1.1927
4.1183e-09,1.1977
4.1415e-09,1.1997
4.1648e-09,1.2030
4.1881e-09,1.2028
4.2113e-09,1.2108
4.2346e-09,1.2206
4.2579e-09,1.2235
4.2811e-09,1.2237
4.3044e-09,1.2146
4.3277e-09,1.2040
4.3509e-09,1.1980
4.3742e-09,1.1922
4.3975e-09,1.1837
4.4207e-09,1.1633
4.4440e-09,1.1082
4.4673e-09,1.0263
4.4905e-09,0.9304
4.5138e-09,0.8262
4.5371e-09,0.7507
4.5603e-09,0.7038
4.5836e-09,0.6722
4.6069e-09,0.6585
4.6301e-09,0.6397
4.6534e-09,0.6133
4.6767e-09,0.5887
4.6999e-09,0.5647
4.7232e-09,0.5463
4.7465e-09,0.5392
4.7697e-09,0.5352
4.7930e-09,0.5293
4.8163e-09,0.5218
4.8395e-09,0.5081
4.8628e-09,0.4955
4.8861e-09,0.4900
4.9093e-09,0.4893
4.9326e-09,0.4956
4.9559e-09,0.5009
4.9791e-09,0.5034
5.0024e-09,0.5058
5.0257e-09,0.5077
5.0489e-09,0.5131
5.0722e-09,0.5206
5.0955e-09,0.5264
5.1187e-09,0.5296
5.1420e-09,0.5289
5.1653e-09,0.5245
5.1885e-09,0.5199
5.2118e-09,0.5172
5.2351e-09,0.5168
5.2583e-09,0.5200
5.2816e-09,0.5233
5.3049e-09,0.5247
5.3281e-09,0.5240
5.3514e-09,0.5207
5.3747e-09,0.5184
5.3979e-09,0.5182
5.4212e-09,0.5188
5.4445e-09,0.5200
5.4677e-09,0.5195
5.4910e-09,0.5173
5.5143e-09,0.5149
5.5375e-09,0.5127
5.5608e-09,0.5117
5.5841e-09,0.5121
5.6073e-09,0.5130
5.6306e-09,0.5140
5.6539e-09,0.5173
5.6771e-09,0.5358
5.7004e-09,0.5967
5.7237e-09,0.6869
5.7469e-09,0.8022
5.7702e-09,0.9306
5.7935e-09,1.0198
5.8168e-09,1.0840
5.8400e-09,1.1215
5.8633e-09,1.1281
5.8866e-09,1.1389
5.9098e-09,1.1493
5.9331e-09,1.1578
5.9564e-09,1.1752
5.9796e-09,1.1913
6.0029e-09,1.1958
