.HEADER
..NAMES
Time,V U2.C2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0027
5.817e-10,0.0027
6.049e-10,0.0027
6.282e-10,0.0027
6.515e-10,0.0029
6.747e-10,0.0077
6.980e-10,0.0310
7.213e-10,0.0988
7.445e-10,0.2058
7.678e-10,0.3032
7.911e-10,0.3871
8.143e-10,0.4960
8.376e-10,0.6163
8.609e-10,0.7316
8.841e-10,0.8519
9.074e-10,0.9679
9.307e-10,1.0640
9.539e-10,1.1372
9.772e-10,1.1898
1.0005e-09,1.2243
1.0237e-09,1.2487
1.0470e-09,1.2714
1.0703e-09,1.2879
1.0935e-09,1.2919
1.1168e-09,1.2907
1.1401e-09,1.2989
1.1633e-09,1.3185
1.1866e-09,1.3360
1.2099e-09,1.3358
1.2332e-09,1.3190
1.2564e-09,1.2967
1.2797e-09,1.2680
1.3030e-09,1.2338
1.3262e-09,1.2054
1.3495e-09,1.1828
1.3728e-09,1.1580
1.3960e-09,1.1309
1.4193e-09,1.1051
1.4426e-09,1.0846
1.4658e-09,1.0767
1.4891e-09,1.0827
1.5124e-09,1.0934
1.5356e-09,1.1021
1.5589e-09,1.1123
1.5822e-09,1.1283
1.6054e-09,1.1465
1.6287e-09,1.1599
1.6520e-09,1.1661
1.6752e-09,1.1663
1.6985e-09,1.1630
1.7218e-09,1.1590
1.7450e-09,1.1589
1.7683e-09,1.1680
1.7916e-09,1.1845
1.8148e-09,1.2009
1.8381e-09,1.2130
1.8614e-09,1.2209
1.8846e-09,1.2270
1.9079e-09,1.2350
1.9312e-09,1.2440
1.9544e-09,1.2486
1.9777e-09,1.2470
2.0010e-09,1.2422
2.0242e-09,1.2363
2.0475e-09,1.2289
2.0708e-09,1.2204
2.0940e-09,1.2122
2.1173e-09,1.2044
2.1406e-09,1.1968
2.1638e-09,1.1910
2.1871e-09,1.1901
2.2104e-09,1.1951
2.2336e-09,1.2032
2.2569e-09,1.2091
2.2802e-09,1.2092
2.3034e-09,1.2043
2.3267e-09,1.1977
2.3500e-09,1.1925
2.3732e-09,1.1892
2.3965e-09,1.1866
2.4198e-09,1.1844
2.4430e-09,1.1832
2.4663e-09,1.1831
2.4896e-09,1.1839
2.5128e-09,1.1861
2.5361e-09,1.1802
2.5594e-09,1.1501
2.5826e-09,1.0756
2.6059e-09,0.9617
2.6292e-09,0.8600
2.6524e-09,0.7776
2.6757e-09,0.6665
2.6990e-09,0.5381
2.7222e-09,0.4136
2.7455e-09,0.2827
2.7688e-09,0.1589
2.7920e-09,0.0611
2.8153e-09,-0.0097
2.8386e-09,-0.0578
2.8618e-09,-0.0877
2.8851e-09,-0.1092
2.9084e-09,-0.1303
2.9316e-09,-0.1458
2.9549e-09,-0.1489
2.9782e-09,-0.1484
3.0014e-09,-0.1601
3.0247e-09,-0.1837
3.0480e-09,-0.2027
3.0712e-09,-0.2009
3.0945e-09,-0.1797
3.1178e-09,-0.1527
3.1410e-09,-0.1210
3.1643e-09,-0.0844
3.1876e-09,-0.0538
3.2108e-09,-0.0277
3.2341e-09,0.0042
3.2574e-09,0.0409
3.2806e-09,0.0763
3.3039e-09,0.1045
3.3272e-09,0.1173
3.3504e-09,0.1141
3.3737e-09,0.1056
3.3970e-09,0.0993
3.4202e-09,0.0911
3.4435e-09,0.0764
3.4668e-09,0.0598
3.4901e-09,0.0490
3.5133e-09,0.0466
3.5366e-09,0.0506
3.5599e-09,0.0574
3.5831e-09,0.0631
3.6064e-09,0.0628
3.6297e-09,0.0516
3.6529e-09,0.0330
3.6762e-09,0.0156
3.6995e-09,0.0036
3.7227e-09,-0.0046
3.7460e-09,-0.0126
3.7693e-09,-0.0242
3.7925e-09,-0.0352
3.8158e-09,-0.0266
3.8391e-09,0.0308
3.8623e-09,0.1404
3.8856e-09,0.2508
3.9089e-09,0.3432
3.9321e-09,0.4556
3.9554e-09,0.5855
3.9787e-09,0.7121
4.0019e-09,0.8406
4.0252e-09,0.9656
4.0485e-09,1.0669
4.0717e-09,1.1371
4.0950e-09,1.1834
4.1183e-09,1.2139
4.1415e-09,1.2395
4.1648e-09,1.2684
4.1881e-09,1.2943
4.2113e-09,1.3056
4.2346e-09,1.3059
4.2579e-09,1.3127
4.2811e-09,1.3332
4.3044e-09,1.3551
4.3277e-09,1.3601
4.3509e-09,1.3445
4.3742e-09,1.3185
4.3975e-09,1.2824
4.4207e-09,1.2249
4.4440e-09,1.1431
