.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
5.7469e-09,1.2004
5.7702e-09,1.2036
5.7935e-09,1.2084
5.8168e-09,1.2162
5.8400e-09,1.2235
5.8633e-09,1.2257
5.8866e-09,1.2226
5.9098e-09,1.2166
5.9331e-09,1.2094
5.9564e-09,1.1997
5.9796e-09,1.1814
6.0029e-09,1.1421
6.0262e-09,1.0700
6.0494e-09,0.9743
6.0727e-09,0.8791
6.0960e-09,0.8050
6.1192e-09,0.7529
6.1425e-09,0.7102
6.1658e-09,0.6656
6.1890e-09,0.6218
6.2123e-09,0.5878
6.2356e-09,0.5676
6.2588e-09,0.5595
6.2821e-09,0.5557
6.3054e-09,0.5499
6.3286e-09,0.5412
6.3519e-09,0.5333
6.3752e-09,0.5284
6.3984e-09,0.5249
6.4217e-09,0.5197
6.4450e-09,0.5122
6.4682e-09,0.5054
6.4915e-09,0.5008
6.5148e-09,0.4976
6.5380e-09,0.4953
6.5613e-09,0.4959
6.5846e-09,0.5025
6.6078e-09,0.5190
6.6311e-09,0.5581
6.6544e-09,0.6346
6.6776e-09,0.7414
6.7009e-09,0.8535
6.7242e-09,0.9454
6.7474e-09,1.0129
6.7707e-09,1.0667
6.7940e-09,1.1163
6.8172e-09,1.1608
6.8405e-09,1.1917
6.8638e-09,1.2052
6.8870e-09,1.2033
6.9103e-09,1.1953
6.9336e-09,1.1909
6.9568e-09,1.1928
6.9801e-09,1.1976
7.0034e-09,1.2013
7.0266e-09,1.2045
7.0499e-09,1.2103
7.0732e-09,1.2187
7.0964e-09,1.2248
7.1197e-09,1.2252
7.1430e-09,1.2209
7.1662e-09,1.2145
7.1895e-09,1.2071
7.2128e-09,1.1960
7.2360e-09,1.1739
7.2593e-09,1.1265
7.2826e-09,1.0466
7.3058e-09,0.9480
7.3291e-09,0.8559
7.3524e-09,0.7878
7.3756e-09,0.7396
7.3989e-09,0.6976
7.4222e-09,0.6529
7.4454e-09,0.6110
7.4687e-09,0.5802
7.4920e-09,0.5635
7.5152e-09,0.5574
7.5385e-09,0.5539
7.5618e-09,0.5475
7.5850e-09,0.5387
7.6083e-09,0.5314
7.6316e-09,0.5270
7.6548e-09,0.5234
7.6781e-09,0.5177
7.7014e-09,0.5102
7.7246e-09,0.5039
7.7479e-09,0.4998
7.7712e-09,0.4968
7.7944e-09,0.4951
7.8177e-09,0.4971
7.8410e-09,0.5060
7.8642e-09,0.5269
7.8875e-09,0.5750
7.9108e-09,0.6603
7.9340e-09,0.7697
7.9573e-09,0.8772
7.9806e-09,0.9624
8.0038e-09,1.0259
8.0271e-09,1.0784
8.0504e-09,1.1272
8.0736e-09,1.1684
8.0969e-09,1.1950
8.1202e-09,1.2045
8.1435e-09,1.2007
8.1667e-09,1.1936
8.1900e-09,1.1910
8.2133e-09,1.1940
8.2365e-09,1.1986
8.2598e-09,1.2021
8.2831e-09,1.2060
8.3063e-09,1.2126
8.3296e-09,1.2207
8.3529e-09,1.2252
8.3761e-09,1.2242
8.3994e-09,1.2192
8.4227e-09,1.2125
8.4459e-09,1.2045
8.4692e-09,1.1912
8.4925e-09,1.1637
8.5157e-09,1.1069
8.5390e-09,1.0195
8.5623e-09,0.9204
8.5855e-09,0.8346
8.6088e-09,0.7739
8.6321e-09,0.7292
8.6553e-09,0.6867
8.6786e-09,0.6415
8.7019e-09,0.6019
8.7251e-09,0.5751
8.7484e-09,0.5623
8.7717e-09,0.5577
8.7949e-09,0.5535
8.8182e-09,0.5457
8.8415e-09,0.5366
8.8647e-09,0.5301
8.8880e-09,0.5263
8.9113e-09,0.5222
8.9345e-09,0.5156
8.9578e-09,0.5081
8.9811e-09,0.5024
9.0043e-09,0.4988
9.0276e-09,0.4961
9.0509e-09,0.4952
9.0741e-09,0.4988
9.0974e-09,0.5101
9.1207e-09,0.5362
9.1439e-09,0.5941
9.1672e-09,0.6878
9.1905e-09,0.8000
9.2137e-09,0.9033
9.2370e-09,0.9819
9.2603e-09,1.0410
9.2835e-09,1.0916
9.3068e-09,1.1389
9.3301e-09,1.1770
9.3533e-09,1.1993
9.3766e-09,1.2045
9.3999e-09,1.1986
9.4231e-09,1.1919
9.4464e-09,1.1909
9.4697e-09,1.1950
9.4929e-09,1.1997
9.5162e-09,1.2030
9.5395e-09,1.2074
9.5627e-09,1.2148
9.5860e-09,1.2225
9.6093e-09,1.2256
9.6325e-09,1.2233
9.6558e-09,1.2176
9.6791e-09,1.2106
9.7023e-09,1.2017
9.7256e-09,1.1854
9.7489e-09,1.1508
9.7721e-09,1.0836
9.7954e-09,0.9900
9.8187e-09,0.8929
9.8419e-09,0.8152
9.8652e-09,0.7612
9.8885e-09,0.7182
9.9117e-09,0.6742
9.9350e-09,0.6292
9.9583e-09,0.5931
9.9815e-09,0.5708
1.00048e-08,0.5615
1.00281e-08,0.5575
1.00513e-08,0.5520
1.00746e-08,0.5431
1.00979e-08,0.5345
1.01211e-08,0.5292
1.01444e-08,0.5257
1.01677e-08,0.5208
1.01909e-08,0.5134
1.02142e-08,0.5061
1.02375e-08,0.5013
1.02607e-08,0.4980
1.02840e-08,0.4956
1.03073e-08,0.4955
1.03305e-08,0.5010
1.03538e-08,0.5152
1.03771e-08,0.5485
1.04003e-08,0.6168
1.04236e-08,0.7187
1.04469e-08,0.8318
1.04702e-08,0.9291
1.04934e-08,1.0012
1.05167e-08,1.0564
1.05400e-08,1.1060
1.05632e-08,1.1516
1.05865e-08,1.1859
1.06098e-08,1.2033
1.06330e-08,1.2041
1.06563e-08,1.1966
1.06796e-08,1.1909
1.07028e-08,1.1916
1.07261e-08,1.1964
1.07494e-08,1.2007
1.07726e-08,1.2040
1.07959e-08,1.2091
1.08192e-08,1.2170
1.08424e-08,1.2240
1.08657e-08,1.2256
1.08890e-08,1.2221
1.09122e-08,1.2159
1.09355e-08,1.2086
1.09588e-08,1.1984
1.09820e-08,1.1786
1.10053e-08,1.1361
1.10286e-08,1.0606
1.10518e-08,0.9637
1.10751e-08,0.8700
1.10984e-08,0.7988
1.11216e-08,0.7486
1.11449e-08,0.7060
1.11682e-08,0.6610
1.11914e-08,0.6179
1.12147e-08,0.5852
1.12380e-08,0.5667
1.12612e-08,0.5594
1.12845e-08,0.5555
1.13078e-08,0.5493
1.13310e-08,0.5403
1.13543e-08,0.5327
1.13776e-08,0.5281
1.14008e-08,0.5245
1.14241e-08,0.5190
1.14474e-08,0.5114
1.14706e-08,0.5047
1.14939e-08,0.5004
1.15172e-08,0.4973
1.15404e-08,0.4952
1.15637e-08,0.4963
1.15870e-08,0.5037
1.16102e-08,0.5217
1.16335e-08,0.5641
1.16568e-08,0.6446
1.16800e-08,0.7537
1.17033e-08,0.8649
1.17266e-08,0.9540
1.17498e-08,1.0194
1.17731e-08,1.0722
1.17964e-08,1.1215
1.18196e-08,1.1650
1.18429e-08,1.1943
1.18662e-08,1.2059
1.18894e-08,1.2027
1.19127e-08,1.1946
1.19360e-08,1.1907
1.19592e-08,1.1932
1.19825e-08,1.1981
1.20058e-08,1.2017
1.20290e-08,1.2049
1.20523e-08,1.2111
1.20756e-08,1.2195
1.20988e-08,1.2252
1.21221e-08,1.2249
1.21454e-08,1.2203
1.21686e-08,1.2138
1.21919e-08,1.2063
1.22152e-08,1.1944
1.22384e-08,1.1705
1.22617e-08,1.1195
1.22850e-08,1.0368
1.23082e-08,0.9377
1.23315e-08,0.8478
1.23548e-08,0.7824
1.23780e-08,0.7354
1.24013e-08,0.6931
1.24246e-08,0.6482
1.24478e-08,0.6072
1.24711e-08,0.5779
1.24944e-08,0.5626
1.25176e-08,0.5571
1.25409e-08,0.5533
1.25642e-08,0.5466
1.25874e-08,0.5377
1.26107e-08,0.5308
1.26340e-08,0.5267
1.26572e-08,0.5229
1.26805e-08,0.5169
1.27038e-08,0.5095
1.27270e-08,0.5035
1.27503e-08,0.4995
1.27736e-08,0.4966
1.27968e-08,0.4951
1.28201e-08,0.4976
1.28434e-08,0.5074
1.28667e-08,0.5303
1.28899e-08,0.5822
1.29132e-08,0.6710
1.29365e-08,0.7817
1.29597e-08,0.8874
1.29830e-08,0.9699
1.30063e-08,1.0317
1.30295e-08,1.0837
1.30528e-08,1.1322
1.30761e-08,1.1721
1.30993e-08,1.1969
1.31226e-08,1.2047
1.31459e-08,1.2000
1.31691e-08,1.1931
1.31924e-08,1.1911
1.32157e-08,1.1945
1.32389e-08,1.1991
1.32622e-08,1.2025
1.32855e-08,1.2065
1.33087e-08,1.2135
1.33320e-08,1.2214
1.33553e-08,1.2254
1.33785e-08,1.2238
1.34018e-08,1.2185
1.34251e-08,1.2117
1.34483e-08,1.2035
1.34716e-08,1.1892
1.34949e-08,1.1595
1.35181e-08,1.0993
1.35414e-08,1.0097
1.35647e-08,0.9108
1.35879e-08,0.8273
1.36112e-08,0.7686
1.36345e-08,0.7247
1.36577e-08,0.6820
1.36810e-08,0.6370
1.37043e-08,0.5985
1.37275e-08,0.5730
1.37508e-08,0.5614
1.37741e-08,0.5572
1.37973e-08,0.5527
1.38206e-08,0.5447
1.38439e-08,0.5358
1.38671e-08,0.5296
1.38904e-08,0.5259
1.39137e-08,0.5217
1.39369e-08,0.5149
1.39602e-08,0.5074
1.39835e-08,0.5020
1.40067e-08,0.4985
1.40300e-08,0.4959
1.40533e-08,0.4953
1.40765e-08,0.4995
1.40998e-08,0.5118
1.41231e-08,0.5404
1.41463e-08,0.6020
1.41696e-08,0.6984
1.41929e-08,0.8107
1.42161e-08,0.9118
1.42394e-08,0.9882
1.42627e-08,1.0461
1.42859e-08,1.0965
1.43092e-08,1.1431
1.43325e-08,1.1797
1.43557e-08,1.2004
1.43790e-08,1.2042
1.44023e-08,1.1979
1.44255e-08,1.1916
1.44488e-08,1.1912
1.44721e-08,1.1955
1.44953e-08,1.2001
1.45186e-08,1.2034
1.45419e-08,1.2081
1.45651e-08,1.2157
1.45884e-08,1.2230
1.46117e-08,1.2256
1.46349e-08,1.2228
1.46582e-08,1.2169
1.46815e-08,1.2098
1.47047e-08,1.2004
1.47280e-08,1.1830
1.47513e-08,1.1455
1.47745e-08,1.0750
1.47978e-08,0.9799
1.48211e-08,0.8839
1.48443e-08,0.8089
1.48676e-08,0.7567
1.48909e-08,0.7141
1.49141e-08,0.6697
1.49374e-08,0.6251
1.49607e-08,0.5903
1.49839e-08,0.5695
1.50072e-08,0.5612
1.50305e-08,0.5573
1.50537e-08,0.5513
1.50770e-08,0.5422
1.51003e-08,0.5338
1.51236e-08,0.5287
1.51468e-08,0.5253
1.51701e-08,0.5201
1.51934e-08,0.5125
1.52166e-08,0.5054
1.52399e-08,0.5008
1.52632e-08,0.4977
1.52864e-08,0.4954
1.53097e-08,0.4958
1.53330e-08,0.5020
1.53562e-08,0.5175
1.53795e-08,0.5537
1.54028e-08,0.6258
1.54260e-08,0.7300
1.54493e-08,0.8424
1.54726e-08,0.9372
1.54958e-08,1.0071
1.55191e-08,1.0613
1.55424e-08,1.1106
1.55656e-08,1.1554
1.55889e-08,1.1882
1.56122e-08,1.2038
1.56354e-08,1.2035
1.56587e-08,1.1957
1.56820e-08,1.1906
1.57052e-08,1.1919
1.57285e-08,1.1969
1.57518e-08,1.2011
1.57750e-08,1.2044
1.57983e-08,1.2098
1.58216e-08,1.2179
1.58448e-08,1.2244
1.58681e-08,1.2254
1.58914e-08,1.2215
1.59146e-08,1.2152
1.59379e-08,1.2077
1.59612e-08,1.1969
1.59844e-08,1.1755
1.60077e-08,1.1296
1.60310e-08,1.0509
1.60542e-08,0.9531
1.60775e-08,0.8612
1.61008e-08,0.7929
1.61240e-08,0.7442
1.61473e-08,0.7016
1.61706e-08,0.6564
1.61938e-08,0.6139
1.62171e-08,0.5827
1.62404e-08,0.5657
1.62636e-08,0.5592
1.62869e-08,0.5552
