.HEADER
..NAMES
Time,V U2.J7
.DATA
5.6771e-09,0.0017
5.7004e-09,-0.0093
5.7237e-09,-0.0179
5.7469e-09,-0.0241
5.7702e-09,-0.0287
5.7935e-09,-0.0326
5.8168e-09,-0.0350
5.8400e-09,-0.0344
5.8633e-09,-0.0300
5.8866e-09,-0.0225
5.9098e-09,-0.0141
5.9331e-09,-0.0074
5.9564e-09,-0.0035
5.9796e-09,-0.0020
6.0029e-09,-0.0018
6.0262e-09,-0.0021
6.0494e-09,-0.0024
6.0727e-09,-0.0023
6.0960e-09,-0.0021
6.1192e-09,-0.0021
6.1425e-09,-0.0024
6.1658e-09,-0.0025
6.1890e-09,-0.0012
6.2123e-09,0.0020
6.2356e-09,0.0064
6.2588e-09,0.0108
6.2821e-09,0.0139
6.3054e-09,0.0154
6.3286e-09,0.0158
6.3519e-09,0.0158
6.3752e-09,0.0155
6.3984e-09,0.0145
6.4217e-09,0.0121
6.4450e-09,0.0087
6.4682e-09,0.0048
6.4915e-09,0.0013
6.5148e-09,-0.0010
6.5380e-09,-0.0017
6.5613e-09,-0.0009
6.5846e-09,0.0007
6.6078e-09,0.0021
6.6311e-09,0.0027
6.6544e-09,0.0027
6.6776e-09,0.0026
6.7009e-09,0.0029
6.7242e-09,0.0035
6.7474e-09,0.0038
6.7707e-09,0.0032
6.7940e-09,0.0016
6.8172e-09,-0.0004
6.8405e-09,-0.0020
6.8638e-09,-0.0029
6.8870e-09,-0.0030
6.9103e-09,-0.0025
6.9336e-09,-0.0017
6.9568e-09,-0.0008
6.9801e-09,0.0003
7.0034e-09,0.0015
7.0266e-09,0.0029
7.0499e-09,0.0044
7.0732e-09,0.0055
7.0964e-09,0.0059
7.1197e-09,0.0053
7.1430e-09,0.0041
7.1662e-09,0.0028
7.1895e-09,0.0021
7.2128e-09,0.0019
7.2360e-09,0.0021
7.2593e-09,0.0022
7.2826e-09,0.0020
7.3058e-09,0.0018
7.3291e-09,0.0017
7.3524e-09,0.0021
7.3756e-09,0.0029
7.3989e-09,0.0039
7.4222e-09,0.0046
7.4454e-09,0.0049
7.4687e-09,0.0046
