.HEADER
..NAMES
Time,V U2.P3
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0030
3.723e-10,0.0085
3.955e-10,0.0329
4.188e-10,0.1017
4.421e-10,0.2152
4.653e-10,0.3291
4.886e-10,0.4416
5.119e-10,0.5893
5.351e-10,0.7559
5.584e-10,0.9025
5.817e-10,1.0273
6.049e-10,1.1344
6.282e-10,1.2163
6.515e-10,1.2672
6.747e-10,1.2880
6.980e-10,1.2948
7.213e-10,1.2991
7.445e-10,1.2988
7.678e-10,1.2923
7.911e-10,1.2809
8.143e-10,1.2721
8.376e-10,1.2729
8.609e-10,1.2822
8.841e-10,1.2956
9.074e-10,1.3046
9.307e-10,1.2980
9.539e-10,1.2783
9.772e-10,1.2561
1.0005e-09,1.2273
1.0237e-09,1.1861
1.0470e-09,1.1417
1.0703e-09,1.1042
1.0935e-09,1.0729
1.1168e-09,1.0473
1.1401e-09,1.0351
1.1633e-09,1.0427
1.1866e-09,1.0664
1.2099e-09,1.0946
1.2332e-09,1.1206
1.2564e-09,1.1451
1.2797e-09,1.1695
1.3030e-09,1.1915
1.3262e-09,1.2069
1.3495e-09,1.2136
1.3728e-09,1.2119
1.3960e-09,1.2033
1.4193e-09,1.1919
1.4426e-09,1.1834
1.4658e-09,1.1802
1.4891e-09,1.1823
1.5124e-09,1.1909
1.5356e-09,1.2049
1.5589e-09,1.2202
1.5822e-09,1.2349
1.6054e-09,1.2498
1.6287e-09,1.2631
1.6520e-09,1.2692
1.6752e-09,1.2644
1.6985e-09,1.2509
1.7218e-09,1.2341
1.7450e-09,1.2172
1.7683e-09,1.2011
1.7916e-09,1.1869
1.8148e-09,1.1760
1.8381e-09,1.1696
1.8614e-09,1.1675
1.8846e-09,1.1702
1.9079e-09,1.1783
1.9312e-09,1.1903
1.9544e-09,1.2026
1.9777e-09,1.2119
2.0010e-09,1.2165
2.0242e-09,1.2160
2.0475e-09,1.2119
2.0708e-09,1.2057
2.0940e-09,1.1981
2.1173e-09,1.1891
2.1406e-09,1.1803
2.1638e-09,1.1748
2.1871e-09,1.1745
2.2104e-09,1.1792
2.2336e-09,1.1873
2.2569e-09,1.1971
2.2802e-09,1.2069
2.3034e-09,1.2152
2.3267e-09,1.2208
2.3500e-09,1.2240
2.3732e-09,1.2252
2.3965e-09,1.2238
2.4198e-09,1.2188
2.4430e-09,1.2108
2.4663e-09,1.2017
2.4896e-09,1.1939
2.5128e-09,1.1888
2.5361e-09,1.1871
2.5594e-09,1.1883
2.5826e-09,1.1917
2.6059e-09,1.1967
2.6292e-09,1.2027
2.6524e-09,1.2089
2.6757e-09,1.2138
2.6990e-09,1.2163
2.7222e-09,1.2159
2.7455e-09,1.2126
2.7688e-09,1.2072
2.7920e-09,1.2011
2.8153e-09,1.1959
2.8386e-09,1.1907
2.8618e-09,1.1747
2.8851e-09,1.1324
2.9084e-09,1.0428
2.9316e-09,0.9184
2.9549e-09,0.7999
2.9782e-09,0.6805
3.0014e-09,0.5239
3.0247e-09,0.3554
3.0480e-09,0.2120
3.0712e-09,0.0905
3.0945e-09,-0.0117
3.1178e-09,-0.0882
3.1410e-09,-0.1332
3.1643e-09,-0.1522
3.1876e-09,-0.1609
3.2108e-09,-0.1682
3.2341e-09,-0.1688
3.2574e-09,-0.1605
3.2806e-09,-0.1471
3.3039e-09,-0.1375
3.3272e-09,-0.1395
3.3504e-09,-0.1493
3.3737e-09,-0.1596
3.3970e-09,-0.1611
3.4202e-09,-0.1460
3.4435e-09,-0.1199
3.4668e-09,-0.0915
3.4901e-09,-0.0559
3.5133e-09,-0.0088
3.5366e-09,0.0395
3.5599e-09,0.0807
3.5831e-09,0.1164
3.6064e-09,0.1452
3.6297e-09,0.1586
3.6529e-09,0.1519
3.6762e-09,0.1315
3.6995e-09,0.1091
3.7227e-09,0.0891
3.7460e-09,0.0688
3.7693e-09,0.0467
3.7925e-09,0.0261
3.8158e-09,0.0120
3.8391e-09,0.0069
3.8623e-09,0.0098
3.8856e-09,0.0184
3.9089e-09,0.0281
3.9321e-09,0.0336
3.9554e-09,0.0333
3.9787e-09,0.0276
4.0019e-09,0.0160
4.0252e-09,0.0003
4.0485e-09,-0.0160
4.0717e-09,-0.0322
4.0950e-09,-0.0488
4.1183e-09,-0.0631
4.1415e-09,-0.0689
4.1648e-09,-0.0635
4.1881e-09,-0.0505
4.2113e-09,-0.0354
4.2346e-09,-0.0205
4.2579e-09,-0.0059
4.2811e-09,0.0076
4.3044e-09,0.0185
4.3277e-09,0.0258
4.3509e-09,0.0288
4.3742e-09,0.0267
4.3975e-09,0.0191
4.4207e-09,0.0079
