.HEADER
..NAMES
Time,V U1.W1
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0165
5.119e-10,0.0626
5.351e-10,0.2018
5.584e-10,0.3485
5.817e-10,0.4671
6.049e-10,0.5469
6.282e-10,0.6030
6.515e-10,0.6324
6.747e-10,0.6469
6.980e-10,0.6536
7.213e-10,0.6566
7.445e-10,0.6580
7.678e-10,0.6591
7.911e-10,0.6575
8.143e-10,0.6536
8.376e-10,0.6500
8.609e-10,0.6472
8.841e-10,0.6460
9.074e-10,0.6466
9.307e-10,0.6494
9.539e-10,0.6530
9.772e-10,0.6553
1.0005e-09,0.6568
1.0237e-09,0.6621
1.0470e-09,0.6785
1.0703e-09,0.7084
1.0935e-09,0.7338
1.1168e-09,0.7503
1.1401e-09,0.6854
1.1633e-09,0.5886
1.1866e-09,0.5257
1.2099e-09,0.4964
1.2332e-09,0.4877
1.2564e-09,0.4948
1.2797e-09,0.5072
1.3030e-09,0.5191
1.3262e-09,0.5292
1.3495e-09,0.5370
1.3728e-09,0.5431
1.3960e-09,0.5494
1.4193e-09,0.5553
1.4426e-09,0.5587
1.4658e-09,0.5607
1.4891e-09,0.5622
1.5124e-09,0.5642
1.5356e-09,0.5650
1.5589e-09,0.5640
1.5822e-09,0.5623
1.6054e-09,0.5588
1.6287e-09,0.5472
1.6520e-09,0.5185
1.6752e-09,0.4698
1.6985e-09,0.4041
1.7218e-09,0.3292
1.7450e-09,0.2767
1.7683e-09,0.3014
1.7916e-09,0.3945
1.8148e-09,0.4725
1.8381e-09,0.5245
1.8614e-09,0.5575
1.8846e-09,0.5716
1.9079e-09,0.5764
1.9312e-09,0.5763
1.9544e-09,0.5747
1.9777e-09,0.5729
2.0010e-09,0.5708
2.0242e-09,0.5692
2.0475e-09,0.5664
2.0708e-09,0.5625
2.0940e-09,0.5569
2.1173e-09,0.5497
2.1406e-09,0.5438
2.1638e-09,0.5433
2.1871e-09,0.5505
2.2104e-09,0.5650
2.2336e-09,0.5857
2.2569e-09,0.6152
2.2802e-09,0.6586
2.3034e-09,0.7164
2.3267e-09,0.7833
2.3500e-09,0.8263
2.3732e-09,0.8427
2.3965e-09,0.7502
2.4198e-09,0.6540
2.4430e-09,0.5944
2.4663e-09,0.5570
2.4896e-09,0.5391
2.5128e-09,0.5344
2.5361e-09,0.5344
2.5594e-09,0.5357
2.5826e-09,0.5376
2.6059e-09,0.5414
2.6292e-09,0.5469
2.6524e-09,0.5540
2.6757e-09,0.5608
2.6990e-09,0.5653
2.7222e-09,0.5687
2.7455e-09,0.5698
2.7688e-09,0.5674
2.7920e-09,0.5590
2.8153e-09,0.5459
2.8386e-09,0.5314
2.8618e-09,0.5152
2.8851e-09,0.4921
2.9084e-09,0.4556
2.9316e-09,0.4058
2.9549e-09,0.3457
2.9782e-09,0.2781
3.0014e-09,0.2082
3.0247e-09,0.1424
3.0480e-09,0.0847
3.0712e-09,0.0382
3.0945e-09,0.0039
3.1178e-09,-0.0197
3.1410e-09,-0.0356
3.1643e-09,-0.0460
3.1876e-09,-0.0529
3.2108e-09,-0.0590
3.2341e-09,-0.0656
3.2574e-09,-0.0711
3.2806e-09,-0.0732
3.3039e-09,-0.0722
3.3272e-09,-0.0700
3.3504e-09,-0.0687
3.3737e-09,-0.0687
3.3970e-09,-0.0679
3.4202e-09,-0.0647
3.4435e-09,-0.0581
3.4668e-09,-0.0471
3.4901e-09,-0.0318
3.5133e-09,-0.0128
3.5366e-09,0.0083
3.5599e-09,0.0287
3.5831e-09,0.0452
3.6064e-09,0.0637
3.6297e-09,0.1061
3.6529e-09,0.2292
3.6762e-09,0.3841
3.6995e-09,0.5029
3.7227e-09,0.5845
3.7460e-09,0.6362
3.7693e-09,0.6642
3.7925e-09,0.6758
3.8158e-09,0.6787
3.8391e-09,0.6786
3.8623e-09,0.6780
3.8856e-09,0.6778
3.9089e-09,0.6758
3.9321e-09,0.6714
3.9554e-09,0.6672
3.9787e-09,0.6635
4.0019e-09,0.6598
4.0252e-09,0.6557
4.0485e-09,0.6511
4.0717e-09,0.6455
4.0950e-09,0.6383
4.1183e-09,0.6306
4.1415e-09,0.6287
4.1648e-09,0.6416
4.1881e-09,0.6728
4.2113e-09,0.7212
4.2346e-09,0.7849
4.2579e-09,0.8589
4.2811e-09,0.9359
4.3044e-09,1.0102
4.3277e-09,1.0759
4.3509e-09,1.1279
4.3742e-09,1.1651
4.3975e-09,1.1907
4.4207e-09,1.2081
4.4440e-09,1.2194
