.HEADER
..NAMES
Time,V U2.B8
.DATA
2.3823e-09,1.1984
2.3920e-09,1.2054
2.4016e-09,1.2135
2.4113e-09,1.2224
2.4209e-09,1.2317
2.4305e-09,1.2411
2.4402e-09,1.2494
2.4498e-09,1.2557
2.4595e-09,1.2586
2.4691e-09,1.2574
2.4788e-09,1.2521
2.4884e-09,1.2434
2.4981e-09,1.2327
2.5077e-09,1.2213
2.5173e-09,1.2106
2.5270e-09,1.2011
2.5366e-09,1.1937
2.5463e-09,1.1888
2.5559e-09,1.1866
2.5656e-09,1.1870
2.5752e-09,1.1890
2.5849e-09,1.1910
2.5945e-09,1.1919
2.6042e-09,1.1908
2.6138e-09,1.1876
2.6234e-09,1.1828
2.6331e-09,1.1775
2.6427e-09,1.1727
2.6524e-09,1.1693
2.6620e-09,1.1683
2.6717e-09,1.1591
2.6813e-09,1.1350
2.6910e-09,1.0925
2.7006e-09,1.0234
2.7102e-09,0.9300
2.7199e-09,0.8315
2.7295e-09,0.7336
2.7392e-09,0.6378
2.7488e-09,0.5565
2.7585e-09,0.4913
2.7681e-09,0.4358
2.7778e-09,0.3922
2.7874e-09,0.3605
2.7970e-09,0.3344
2.8067e-09,0.3147
2.8163e-09,0.3048
2.8260e-09,0.3015
2.8356e-09,0.3014
2.8453e-09,0.3080
2.8549e-09,0.3215
2.8646e-09,0.3412
2.8742e-09,0.3664
2.8839e-09,0.3892
2.8935e-09,0.4051
2.9031e-09,0.4157
2.9128e-09,0.4225
2.9224e-09,0.4271
2.9321e-09,0.4305
2.9417e-09,0.4324
2.9514e-09,0.4329
2.9610e-09,0.4338
2.9707e-09,0.4375
2.9803e-09,0.4428
2.9900e-09,0.4467
2.9996e-09,0.4472
3.0092e-09,0.4424
3.0189e-09,0.4299
3.0285e-09,0.4099
3.0382e-09,0.3851
3.0478e-09,0.3600
3.0575e-09,0.3412
3.0671e-09,0.3368
3.0768e-09,0.3531
3.0864e-09,0.3915
3.0960e-09,0.4479
3.1057e-09,0.5127
3.1153e-09,0.5734
3.1250e-09,0.6193
3.1346e-09,0.6454
3.1443e-09,0.6505
3.1539e-09,0.6374
3.1636e-09,0.6119
3.1732e-09,0.5794
3.1828e-09,0.5424
3.1925e-09,0.5014
3.2021e-09,0.4554
3.2118e-09,0.4032
3.2214e-09,0.3459
3.2311e-09,0.2865
3.2407e-09,0.2271
3.2504e-09,0.1694
3.2600e-09,0.1150
3.2697e-09,0.0665
3.2793e-09,0.0308
3.2889e-09,0.0166
3.2986e-09,0.0218
3.3082e-09,0.0432
3.3179e-09,0.0753
3.3275e-09,0.1114
3.3372e-09,0.1522
3.3468e-09,0.1992
3.3565e-09,0.2469
3.3661e-09,0.2960
3.3757e-09,0.3427
3.3854e-09,0.3852
3.3950e-09,0.4237
3.4047e-09,0.4592
3.4143e-09,0.4917
3.4240e-09,0.5208
3.4336e-09,0.5440
3.4433e-09,0.5593
3.4529e-09,0.5635
3.4626e-09,0.5563
3.4722e-09,0.5393
3.4818e-09,0.5167
3.4915e-09,0.4941
3.5011e-09,0.4768
3.5108e-09,0.4682
3.5204e-09,0.4701
3.5301e-09,0.4812
3.5397e-09,0.4979
3.5494e-09,0.5151
3.5590e-09,0.5286
3.5687e-09,0.5360
3.5783e-09,0.5371
3.5879e-09,0.5339
3.5976e-09,0.5300
3.6072e-09,0.5283
3.6169e-09,0.5300
3.6265e-09,0.5348
3.6362e-09,0.5404
3.6458e-09,0.5448
3.6555e-09,0.5464
3.6651e-09,0.5439
3.6747e-09,0.5354
3.6844e-09,0.5200
3.6940e-09,0.4985
3.7037e-09,0.4733
