.HEADER
..NAMES
Time,V U2.G2
.DATA
2.3727e-09,0.6084
2.3823e-09,0.6023
2.3920e-09,0.5943
2.4016e-09,0.5847
2.4113e-09,0.5755
2.4209e-09,0.5688
2.4305e-09,0.5661
2.4402e-09,0.5676
2.4498e-09,0.5706
2.4595e-09,0.5734
2.4691e-09,0.5763
2.4788e-09,0.5793
2.4884e-09,0.5819
2.4981e-09,0.5830
2.5077e-09,0.5802
2.5173e-09,0.5719
2.5270e-09,0.5591
2.5366e-09,0.5439
2.5463e-09,0.5301
2.5559e-09,0.5203
2.5656e-09,0.5151
2.5752e-09,0.5144
2.5849e-09,0.5186
2.5945e-09,0.5289
2.6042e-09,0.5474
2.6138e-09,0.5750
2.6234e-09,0.6096
2.6331e-09,0.6484
2.6427e-09,0.6890
2.6524e-09,0.7296
2.6620e-09,0.7565
2.6717e-09,0.7637
2.6813e-09,0.7629
2.6910e-09,0.7501
2.7006e-09,0.7175
2.7102e-09,0.6823
2.7199e-09,0.6401
2.7295e-09,0.5825
2.7392e-09,0.5223
2.7488e-09,0.4577
2.7585e-09,0.3915
2.7681e-09,0.3394
2.7778e-09,0.2984
2.7874e-09,0.2652
2.7970e-09,0.2457
2.8067e-09,0.2342
2.8163e-09,0.2291
2.8260e-09,0.2353
2.8356e-09,0.2477
2.8453e-09,0.2657
2.8549e-09,0.2915
2.8646e-09,0.3186
2.8742e-09,0.3400
2.8839e-09,0.3556
2.8935e-09,0.3670
2.9031e-09,0.3774
2.9128e-09,0.3907
2.9224e-09,0.4032
2.9321e-09,0.4121
2.9417e-09,0.4194
2.9514e-09,0.4267
2.9610e-09,0.4356
2.9707e-09,0.4478
2.9803e-09,0.4634
2.9900e-09,0.4807
2.9996e-09,0.4958
3.0092e-09,0.5072
3.0189e-09,0.5154
3.0285e-09,0.5201
3.0382e-09,0.5210
3.0478e-09,0.5178
3.0575e-09,0.5104
3.0671e-09,0.5011
3.0768e-09,0.4917
3.0864e-09,0.4832
3.0960e-09,0.4790
3.1057e-09,0.4805
3.1153e-09,0.4853
3.1250e-09,0.4919
3.1346e-09,0.5000
3.1443e-09,0.5082
3.1539e-09,0.5160
3.1636e-09,0.5218
3.1732e-09,0.5223
3.1828e-09,0.5150
3.1925e-09,0.4984
3.2021e-09,0.4724
3.2118e-09,0.4390
3.2214e-09,0.3991
3.2311e-09,0.3535
3.2407e-09,0.3037
3.2504e-09,0.2500
3.2600e-09,0.1924
3.2697e-09,0.1340
3.2793e-09,0.0887
3.2889e-09,0.0577
3.2986e-09,0.0428
3.3082e-09,0.0412
3.3179e-09,0.0491
3.3275e-09,0.0686
3.3372e-09,0.1073
3.3468e-09,0.1605
3.3565e-09,0.2250
3.3661e-09,0.2956
3.3757e-09,0.3599
3.3854e-09,0.4161
3.3950e-09,0.4632
3.4047e-09,0.4996
3.4143e-09,0.5282
3.4240e-09,0.5488
3.4336e-09,0.5588
3.4433e-09,0.5598
3.4529e-09,0.5531
3.4626e-09,0.5414
3.4722e-09,0.5309
3.4818e-09,0.5244
3.4915e-09,0.5211
3.5011e-09,0.5211
3.5108e-09,0.5222
3.5204e-09,0.5232
3.5301e-09,0.5253
3.5397e-09,0.5282
3.5494e-09,0.5311
3.5590e-09,0.5330
3.5687e-09,0.5314
3.5783e-09,0.5255
3.5879e-09,0.5163
3.5976e-09,0.5041
3.6072e-09,0.4906
3.6169e-09,0.4769
3.6265e-09,0.4632
3.6362e-09,0.4502
3.6458e-09,0.4384
3.6555e-09,0.4292
3.6651e-09,0.4252
3.6747e-09,0.4263
3.6844e-09,0.4306
3.6940e-09,0.4364
3.7037e-09,0.4417
3.7133e-09,0.4455
3.7230e-09,0.4481
3.7326e-09,0.4487
3.7423e-09,0.4458
