.HEADER
..NAMES
Time,V U1.P4
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0319
2.094e-10,0.1127
2.327e-10,0.2704
2.559e-10,0.3931
2.792e-10,0.4869
3.025e-10,0.5511
3.257e-10,0.5926
3.490e-10,0.6161
3.723e-10,0.6306
3.955e-10,0.6403
4.188e-10,0.6490
4.421e-10,0.6556
4.653e-10,0.6614
4.886e-10,0.6655
5.119e-10,0.6685
5.351e-10,0.6693
5.584e-10,0.6670
5.817e-10,0.6626
6.049e-10,0.6581
6.282e-10,0.6559
6.515e-10,0.6591
6.747e-10,0.6679
6.980e-10,0.6832
7.213e-10,0.7083
7.445e-10,0.7494
7.678e-10,0.8069
7.911e-10,0.8769
8.143e-10,0.9524
8.376e-10,1.0244
8.609e-10,1.0856
8.841e-10,1.1315
9.074e-10,1.1626
9.307e-10,1.1823
9.539e-10,1.1954
9.772e-10,1.2058
1.0005e-09,1.2154
1.0237e-09,1.2243
1.0470e-09,1.2326
1.0703e-09,1.2408
1.0935e-09,1.2488
1.1168e-09,1.2554
1.1401e-09,1.2588
1.1633e-09,1.2573
1.1866e-09,1.2517
1.2099e-09,1.2432
1.2332e-09,1.2321
1.2564e-09,1.2179
1.2797e-09,1.2007
1.3030e-09,1.1811
1.3262e-09,1.1609
1.3495e-09,1.1430
1.3728e-09,1.1311
1.3960e-09,1.1220
1.4193e-09,1.0892
1.4426e-09,1.0171
1.4658e-09,0.8609
1.4891e-09,0.7338
1.5124e-09,0.6498
1.5356e-09,0.5929
1.5589e-09,0.5559
1.5822e-09,0.5317
1.6054e-09,0.5152
1.6287e-09,0.5042
1.6520e-09,0.4971
1.6752e-09,0.4941
1.6985e-09,0.4943
1.7218e-09,0.4976
1.7450e-09,0.5029
1.7683e-09,0.5098
1.7916e-09,0.5187
1.8148e-09,0.5284
1.8381e-09,0.5368
1.8614e-09,0.5409
1.8846e-09,0.5375
1.9079e-09,0.5260
1.9312e-09,0.5045
1.9544e-09,0.4697
1.9777e-09,0.4173
2.0010e-09,0.3497
2.0242e-09,0.2741
2.0475e-09,0.1984
2.0708e-09,0.1310
2.0940e-09,0.0771
2.1173e-09,0.0385
2.1406e-09,0.0129
2.1638e-09,-0.0043
2.1871e-09,-0.0178
2.2104e-09,-0.0307
2.2336e-09,-0.0436
2.2569e-09,-0.0558
2.2802e-09,-0.0665
2.3034e-09,-0.0757
2.3267e-09,-0.0832
2.3500e-09,-0.0881
2.3732e-09,-0.0889
2.3965e-09,-0.0846
2.4198e-09,-0.0760
2.4430e-09,-0.0641
2.4663e-09,-0.0488
2.4896e-09,-0.0298
2.5128e-09,-0.0078
2.5361e-09,0.0155
2.5594e-09,0.0373
2.5826e-09,0.0546
2.6059e-09,0.0646
2.6292e-09,0.0660
2.6524e-09,0.0599
2.6757e-09,0.0640
2.6990e-09,0.1081
2.7222e-09,0.2443
2.7455e-09,0.3869
2.7688e-09,0.4977
2.7920e-09,0.5732
2.8153e-09,0.6251
2.8386e-09,0.6522
2.8618e-09,0.6670
2.8851e-09,0.6739
2.9084e-09,0.6760
2.9316e-09,0.6748
2.9549e-09,0.6718
2.9782e-09,0.6672
3.0014e-09,0.6612
3.0247e-09,0.6544
3.0480e-09,0.6459
3.0712e-09,0.6359
3.0945e-09,0.6270
3.1178e-09,0.6223
3.1410e-09,0.6258
3.1643e-09,0.6386
3.1876e-09,0.6607
3.2108e-09,0.6910
3.2341e-09,0.7330
3.2574e-09,0.7886
3.2806e-09,0.8552
3.3039e-09,0.9279
3.3272e-09,1.0001
3.3504e-09,1.0645
3.3737e-09,1.1162
3.3970e-09,1.1541
3.4202e-09,1.1803
3.4435e-09,1.1986
3.4668e-09,1.2129
3.4901e-09,1.2253
3.5133e-09,1.2361
3.5366e-09,1.2449
3.5599e-09,1.2522
3.5831e-09,1.2585
3.6064e-09,1.2635
3.6297e-09,1.2657
3.6529e-09,1.2631
3.6762e-09,1.2554
3.6995e-09,1.2439
3.7227e-09,1.2301
3.7460e-09,1.2146
3.7693e-09,1.1979
3.7925e-09,1.1804
3.8158e-09,1.1630
3.8391e-09,1.1472
3.8623e-09,1.1352
3.8856e-09,1.1294
3.9089e-09,1.1073
3.9321e-09,1.0595
3.9554e-09,0.9306
3.9787e-09,0.7859
4.0019e-09,0.6751
4.0252e-09,0.6078
4.0485e-09,0.5610
4.0717e-09,0.5340
4.0950e-09,0.5177
4.1183e-09,0.5075
4.1415e-09,0.5011
4.1648e-09,0.4979
4.1881e-09,0.4977
4.2113e-09,0.5002
4.2346e-09,0.5052
4.2579e-09,0.5113
4.2811e-09,0.5190
4.3044e-09,0.5276
4.3277e-09,0.5353
4.3509e-09,0.5400
4.3742e-09,0.5385
4.3975e-09,0.5300
4.4207e-09,0.5134
4.4440e-09,0.4863
4.4673e-09,0.4438
