.HEADER
..NAMES
Time,V U2.C7
.DATA
2.4305e-09,0.5125
2.4402e-09,0.5035
2.4498e-09,0.4920
2.4595e-09,0.4784
2.4691e-09,0.4626
2.4788e-09,0.4439
2.4884e-09,0.4221
2.4981e-09,0.3991
2.5077e-09,0.3791
2.5173e-09,0.3676
2.5270e-09,0.3694
2.5366e-09,0.3865
2.5463e-09,0.4170
2.5559e-09,0.4555
2.5656e-09,0.4960
2.5752e-09,0.5341
2.5849e-09,0.5683
2.5945e-09,0.5994
2.6042e-09,0.6291
2.6138e-09,0.6589
2.6234e-09,0.6897
2.6331e-09,0.7224
2.6427e-09,0.7574
2.6524e-09,0.7951
2.6620e-09,0.8346
2.6717e-09,0.8746
2.6813e-09,0.9128
2.6910e-09,0.9472
2.7006e-09,0.9767
2.7102e-09,1.0008
2.7199e-09,1.0206
2.7295e-09,1.0372
2.7392e-09,1.0520
2.7488e-09,1.0653
2.7585e-09,1.0771
2.7681e-09,1.0877
2.7778e-09,1.0969
2.7874e-09,1.1051
2.7970e-09,1.1130
2.8067e-09,1.1213
2.8163e-09,1.1308
2.8260e-09,1.1419
2.8356e-09,1.1547
2.8453e-09,1.1684
2.8549e-09,1.1815
2.8646e-09,1.1928
2.8742e-09,1.2009
2.8839e-09,1.2047
2.8935e-09,1.2041
2.9031e-09,1.1994
2.9128e-09,1.1915
2.9224e-09,1.1821
2.9321e-09,1.1734
2.9417e-09,1.1680
2.9514e-09,1.1679
2.9610e-09,1.1740
2.9707e-09,1.1854
2.9803e-09,1.1994
2.9900e-09,1.2125
2.9996e-09,1.2217
3.0092e-09,1.2256
3.0189e-09,1.2246
3.0285e-09,1.2204
3.0382e-09,1.2147
3.0478e-09,1.2090
3.0575e-09,1.2037
3.0671e-09,1.1987
3.0768e-09,1.1940
3.0864e-09,1.1898
3.0960e-09,1.1861
3.1057e-09,1.1829
3.1153e-09,1.1799
3.1250e-09,1.1768
3.1346e-09,1.1735
3.1443e-09,1.1701
3.1539e-09,1.1668
3.1636e-09,1.1638
3.1732e-09,1.1610
3.1828e-09,1.1580
3.1925e-09,1.1545
3.2021e-09,1.1504
3.2118e-09,1.1461
3.2214e-09,1.1428
3.2311e-09,1.1414
3.2407e-09,1.1428
3.2504e-09,1.1470
3.2600e-09,1.1538
3.2697e-09,1.1622
3.2793e-09,1.1710
3.2889e-09,1.1788
3.2986e-09,1.1847
3.3082e-09,1.1879
3.3179e-09,1.1883
3.3275e-09,1.1860
3.3372e-09,1.1818
3.3468e-09,1.1767
3.3565e-09,1.1720
3.3661e-09,1.1689
3.3757e-09,1.1682
3.3854e-09,1.1702
3.3950e-09,1.1746
3.4047e-09,1.1805
3.4143e-09,1.1864
3.4240e-09,1.1912
3.4336e-09,1.1940
3.4433e-09,1.1949
3.4529e-09,1.1945
3.4626e-09,1.1937
3.4722e-09,1.1932
3.4818e-09,1.1930
3.4915e-09,1.1931
3.5011e-09,1.1931
3.5108e-09,1.1927
3.5204e-09,1.1924
3.5301e-09,1.1923
3.5397e-09,1.1928
3.5494e-09,1.1941
3.5590e-09,1.1959
3.5687e-09,1.1979
3.5783e-09,1.1998
3.5879e-09,1.2012
3.5976e-09,1.2019
3.6072e-09,1.2017
3.6169e-09,1.2004
3.6265e-09,1.1981
3.6362e-09,1.1952
3.6458e-09,1.1925
3.6555e-09,1.1907
3.6651e-09,1.1907
3.6747e-09,1.1926
3.6844e-09,1.1962
3.6940e-09,1.2008
3.7037e-09,1.2057
3.7133e-09,1.2099
3.7230e-09,1.2130
3.7326e-09,1.2145
3.7423e-09,1.2144
3.7519e-09,1.2129
3.7616e-09,1.2103
3.7712e-09,1.2072
3.7808e-09,1.2040
3.7905e-09,1.2014
3.8001e-09,1.1997
3.8098e-09,1.1990
3.8194e-09,1.1995
3.8291e-09,1.2006
3.8387e-09,1.2020
3.8484e-09,1.2031
3.8580e-09,1.2038
3.8676e-09,1.2038
3.8773e-09,1.2034
3.8869e-09,1.2028
3.8966e-09,1.2022
3.9062e-09,1.2017
3.9159e-09,1.1985
3.9255e-09,1.1747
3.9352e-09,1.1293
3.9448e-09,1.0564
3.9545e-09,0.9511
3.9641e-09,0.8328
3.9737e-09,0.7239
3.9834e-09,0.6278
3.9930e-09,0.5506
4.0027e-09,0.5038
4.0123e-09,0.4801
4.0220e-09,0.4638
4.0316e-09,0.4516
4.0413e-09,0.4371
4.0509e-09,0.4133
4.0605e-09,0.3833
4.0702e-09,0.3580
4.0798e-09,0.3375
4.0895e-09,0.3222
4.0991e-09,0.3209
4.1088e-09,0.3381
4.1184e-09,0.3672
4.1281e-09,0.3952
4.1377e-09,0.4140
4.1474e-09,0.4228
4.1570e-09,0.4221
4.1666e-09,0.4190
4.1763e-09,0.4178
4.1859e-09,0.4175
4.1956e-09,0.4193
4.2052e-09,0.4269
4.2149e-09,0.4393
4.2245e-09,0.4519
4.2342e-09,0.4607
4.2438e-09,0.4638
4.2534e-09,0.4586
4.2631e-09,0.4437
4.2727e-09,0.4194
4.2824e-09,0.3894
4.2920e-09,0.3611
4.3017e-09,0.3442
4.3113e-09,0.3459
4.3210e-09,0.3701
4.3306e-09,0.4165
4.3402e-09,0.4782
4.3499e-09,0.5425
4.3595e-09,0.5948
4.3692e-09,0.6245
4.3788e-09,0.6280
4.3885e-09,0.6099
4.3981e-09,0.5797
4.4078e-09,0.5469
4.4174e-09,0.5181
4.4271e-09,0.4958
4.4367e-09,0.4774
4.4463e-09,0.4558
4.4560e-09,0.4246
4.4656e-09,0.3812
4.4753e-09,0.3265
4.4849e-09,0.2634
4.4946e-09,0.1971
4.5042e-09,0.1342
4.5139e-09,0.0805
4.5235e-09,0.0395
4.5331e-09,0.0110
4.5428e-09,-0.0092
4.5524e-09,-0.0270
4.5621e-09,-0.0461
4.5717e-09,-0.0668
4.5814e-09,-0.0874
4.5910e-09,-0.1044
4.6007e-09,-0.1129
4.6103e-09,-0.1098
4.6200e-09,-0.0963
4.6296e-09,-0.0762
4.6392e-09,-0.0541
4.6489e-09,-0.0343
4.6585e-09,-0.0201
4.6682e-09,-0.0133
4.6778e-09,-0.0151
4.6875e-09,-0.0260
4.6971e-09,-0.0442
4.7068e-09,-0.0660
4.7164e-09,-0.0874
4.7261e-09,-0.1052
4.7357e-09,-0.1158
4.7453e-09,-0.1168
4.7550e-09,-0.1086
4.7646e-09,-0.0939
4.7743e-09,-0.0768
4.7839e-09,-0.0619
4.7936e-09,-0.0529
4.8032e-09,-0.0507
4.8129e-09,-0.0540
4.8225e-09,-0.0598
4.8321e-09,-0.0643
4.8418e-09,-0.0643
4.8514e-09,-0.0594
4.8611e-09,-0.0522
4.8707e-09,-0.0460
4.8804e-09,-0.0439
4.8900e-09,-0.0475
4.8997e-09,-0.0564
4.9093e-09,-0.0684
4.9190e-09,-0.0805
4.9286e-09,-0.0905
4.9382e-09,-0.0966
4.9479e-09,-0.0990
4.9575e-09,-0.0991
4.9672e-09,-0.0990
4.9768e-09,-0.1006
4.9865e-09,-0.1051
4.9961e-09,-0.1126
5.0058e-09,-0.1209
5.0154e-09,-0.1267
5.0250e-09,-0.1268
5.0347e-09,-0.1189
5.0443e-09,-0.1031
5.0540e-09,-0.0815
5.0636e-09,-0.0575
5.0733e-09,-0.0346
5.0829e-09,-0.0154
5.0926e-09,-0.0014
5.1022e-09,0.0074
5.1119e-09,0.0116
5.1215e-09,0.0122
5.1311e-09,0.0102
5.1408e-09,0.0067
5.1504e-09,0.0032
5.1601e-09,0.0009
5.1697e-09,0.0006
5.1794e-09,0.0025
5.1890e-09,0.0058
5.1987e-09,0.0096
5.2083e-09,0.0127
5.2179e-09,0.0142
5.2276e-09,0.0139
5.2372e-09,0.0124
5.2469e-09,0.0107
5.2565e-09,0.0102
5.2662e-09,0.0115
5.2758e-09,0.0149
5.2855e-09,0.0192
5.2951e-09,0.0235
5.3047e-09,0.0263
5.3144e-09,0.0272
5.3240e-09,0.0262
5.3337e-09,0.0246
5.3433e-09,0.0236
5.3530e-09,0.0242
5.3626e-09,0.0264
5.3723e-09,0.0297
5.3819e-09,0.0327
5.3916e-09,0.0339
5.4012e-09,0.0323
5.4108e-09,0.0274
5.4205e-09,0.0198
5.4301e-09,0.0109
5.4398e-09,0.0028
5.4494e-09,-0.0027
5.4591e-09,-0.0042
5.4687e-09,-0.0013
5.4784e-09,0.0052
5.4880e-09,0.0137
5.4976e-09,0.0223
5.5073e-09,0.0296
5.5169e-09,0.0348
5.5266e-09,0.0378
5.5362e-09,0.0393
5.5459e-09,0.0396
5.5555e-09,0.0393
5.5652e-09,0.0385
5.5748e-09,0.0372
5.5845e-09,0.0354
5.5941e-09,0.0334
5.6037e-09,0.0313
5.6134e-09,0.0293
5.6230e-09,0.0272
5.6327e-09,0.0249
5.6423e-09,0.0222
5.6520e-09,0.0191
5.6616e-09,0.0159
5.6713e-09,0.0127
5.6809e-09,0.0099
5.6905e-09,0.0077
5.7002e-09,0.0061
5.7098e-09,0.0047
5.7195e-09,0.0034
5.7291e-09,0.0019
5.7388e-09,0.0001
5.7484e-09,-0.0015
5.7581e-09,-0.0025
5.7677e-09,-0.0024
5.7774e-09,-0.0009
5.7870e-09,0.0018
5.7966e-09,0.0053
5.8063e-09,0.0086
5.8159e-09,0.0106
5.8256e-09,0.0107
5.8352e-09,0.0086
5.8449e-09,0.0046
5.8545e-09,-0.0005
5.8642e-09,-0.0057
5.8738e-09,-0.0100
5.8835e-09,-0.0127
5.8931e-09,-0.0135
5.9027e-09,-0.0126
5.9124e-09,-0.0107
5.9220e-09,-0.0085
5.9317e-09,-0.0065
5.9413e-09,-0.0051
5.9510e-09,-0.0042
5.9606e-09,-0.0037
5.9703e-09,-0.0031
5.9799e-09,-0.0023
5.9895e-09,-0.0015
5.9992e-09,-0.0007
6.0088e-09,-0.0004
6.0185e-09,-0.0005
6.0281e-09,-0.0009
6.0378e-09,-0.0016
6.0474e-09,-0.0022
6.0571e-09,-0.0027
6.0667e-09,-0.0030
6.0764e-09,-0.0034
6.0860e-09,-0.0038
6.0956e-09,-0.0042
6.1053e-09,-0.0048
6.1149e-09,-0.0055
6.1246e-09,-0.0064
6.1342e-09,-0.0075
6.1439e-09,-0.0088
6.1535e-09,-0.0103
6.1632e-09,-0.0116
6.1728e-09,-0.0127
6.1824e-09,-0.0130
6.1921e-09,-0.0124
6.2017e-09,-0.0109
6.2114e-09,-0.0084
6.2210e-09,-0.0053
6.2307e-09,-0.0022
6.2403e-09,0.0004
6.2500e-09,0.0022
6.2596e-09,0.0028
6.2693e-09,0.0024
6.2789e-09,0.0012
6.2885e-09,-0.0002
