.HEADER
..NAMES
Time,V U2.C3
.DATA
0.0e+00,1.1999
9.6e-12,1.1999
1.93e-11,1.1999
2.89e-11,1.1999
3.86e-11,1.1999
4.82e-11,1.1999
5.79e-11,1.1999
6.75e-11,1.1999
7.72e-11,1.1999
8.68e-11,1.1999
9.65e-11,1.1999
1.061e-10,1.1999
1.157e-10,1.1999
1.254e-10,1.1999
1.350e-10,1.1999
1.447e-10,1.1999
1.543e-10,1.1999
1.640e-10,1.1983
1.736e-10,1.1787
1.833e-10,1.1382
1.929e-10,1.0717
2.025e-10,0.9731
2.122e-10,0.8554
2.218e-10,0.7392
2.315e-10,0.6312
2.411e-10,0.5408
2.508e-10,0.4776
2.604e-10,0.4424
2.701e-10,0.4289
2.797e-10,0.4275
2.893e-10,0.4260
2.990e-10,0.4218
3.086e-10,0.4154
3.183e-10,0.4015
3.279e-10,0.3798
3.376e-10,0.3603
3.472e-10,0.3490
3.569e-10,0.3481
3.665e-10,0.3611
3.762e-10,0.3825
3.858e-10,0.4009
3.954e-10,0.4152
4.051e-10,0.4245
4.147e-10,0.4290
4.244e-10,0.4303
4.340e-10,0.4286
4.437e-10,0.4269
4.533e-10,0.4303
4.630e-10,0.4403
4.726e-10,0.4544
4.823e-10,0.4703
4.919e-10,0.4843
5.015e-10,0.4901
5.112e-10,0.4845
5.208e-10,0.4670
5.305e-10,0.4392
5.401e-10,0.4056
5.498e-10,0.3729
5.594e-10,0.3475
5.691e-10,0.3365
5.787e-10,0.3457
5.883e-10,0.3766
5.980e-10,0.4265
6.076e-10,0.4889
6.173e-10,0.5519
6.269e-10,0.6024
6.366e-10,0.6305
6.462e-10,0.6322
6.559e-10,0.6107
6.655e-10,0.5747
6.751e-10,0.5350
6.848e-10,0.5004
6.944e-10,0.4757
7.041e-10,0.4589
7.137e-10,0.4439
7.234e-10,0.4246
7.330e-10,0.3963
7.427e-10,0.3552
7.523e-10,0.3018
7.620e-10,0.2397
7.716e-10,0.1745
7.812e-10,0.1124
7.909e-10,0.0584
8.005e-10,0.0153
8.102e-10,-0.0167
8.198e-10,-0.0405
8.295e-10,-0.0600
8.391e-10,-0.0777
8.488e-10,-0.0940
8.584e-10,-0.1076
8.681e-10,-0.1163
8.777e-10,-0.1175
8.873e-10,-0.1106
