.HEADER
..NAMES
Time,V U2.F7
.DATA
2.4305e-09,0.4747
2.4402e-09,0.4789
2.4498e-09,0.4804
2.4595e-09,0.4796
2.4691e-09,0.4770
2.4788e-09,0.4715
2.4884e-09,0.4629
2.4981e-09,0.4516
2.5077e-09,0.4383
2.5173e-09,0.4258
2.5270e-09,0.4181
2.5366e-09,0.4174
2.5463e-09,0.4245
2.5559e-09,0.4388
2.5656e-09,0.4591
2.5752e-09,0.4850
2.5849e-09,0.5168
2.5945e-09,0.5539
2.6042e-09,0.5951
2.6138e-09,0.6381
2.6234e-09,0.6799
2.6331e-09,0.7187
2.6427e-09,0.7544
2.6524e-09,0.7873
2.6620e-09,0.8188
2.6717e-09,0.8491
2.6813e-09,0.8772
2.6910e-09,0.9021
2.7006e-09,0.9232
2.7102e-09,0.9413
2.7199e-09,0.9580
2.7295e-09,0.9753
2.7392e-09,0.9935
2.7488e-09,1.0122
2.7585e-09,1.0301
2.7681e-09,1.0464
2.7778e-09,1.0617
2.7874e-09,1.0770
2.7970e-09,1.0927
2.8067e-09,1.1080
2.8163e-09,1.1215
2.8260e-09,1.1317
2.8356e-09,1.1382
2.8453e-09,1.1420
2.8549e-09,1.1447
2.8646e-09,1.1475
2.8742e-09,1.1510
2.8839e-09,1.1547
2.8935e-09,1.1585
2.9031e-09,1.1626
2.9128e-09,1.1675
2.9224e-09,1.1735
2.9321e-09,1.1803
2.9417e-09,1.1870
2.9514e-09,1.1927
2.9610e-09,1.1968
2.9707e-09,1.1992
2.9803e-09,1.2005
2.9900e-09,1.2012
2.9996e-09,1.2015
3.0092e-09,1.2017
3.0189e-09,1.2014
3.0285e-09,1.2006
3.0382e-09,1.1994
3.0478e-09,1.1979
3.0575e-09,1.1958
3.0671e-09,1.1932
3.0768e-09,1.1896
3.0864e-09,1.1852
3.0960e-09,1.1801
3.1057e-09,1.1746
3.1153e-09,1.1690
3.1250e-09,1.1637
3.1346e-09,1.1584
3.1443e-09,1.1532
3.1539e-09,1.1480
3.1636e-09,1.1430
3.1732e-09,1.1385
3.1828e-09,1.1344
3.1925e-09,1.1309
3.2021e-09,1.1279
3.2118e-09,1.1257
3.2214e-09,1.1248
3.2311e-09,1.1256
3.2407e-09,1.1284
3.2504e-09,1.1326
3.2600e-09,1.1378
3.2697e-09,1.1433
3.2793e-09,1.1487
3.2889e-09,1.1483
3.2986e-09,1.1277
3.3082e-09,1.0944
3.3179e-09,1.0411
3.3275e-09,0.9652
3.3372e-09,0.8873
3.3468e-09,0.8137
3.3565e-09,0.7338
3.3661e-09,0.6538
3.3757e-09,0.5776
3.3854e-09,0.4987
3.3950e-09,0.4263
3.4047e-09,0.3682
3.4143e-09,0.3214
3.4240e-09,0.2910
3.4336e-09,0.2780
3.4433e-09,0.2719
3.4529e-09,0.2711
3.4626e-09,0.2778
3.4722e-09,0.2898
3.4818e-09,0.3098
3.4915e-09,0.3387
3.5011e-09,0.3618
3.5108e-09,0.3755
3.5204e-09,0.3870
3.5301e-09,0.3956
3.5397e-09,0.4048
3.5494e-09,0.4173
3.5590e-09,0.4271
3.5687e-09,0.4332
3.5783e-09,0.4393
3.5879e-09,0.4448
3.5976e-09,0.4521
3.6072e-09,0.4641
3.6169e-09,0.4762
3.6265e-09,0.4862
3.6362e-09,0.4938
3.6458e-09,0.4951
3.6555e-09,0.4898
3.6651e-09,0.4816
3.6747e-09,0.4702
3.6844e-09,0.4570
3.6940e-09,0.4455
3.7037e-09,0.4365
3.7133e-09,0.4333
3.7230e-09,0.4397
3.7326e-09,0.4534
3.7423e-09,0.4718
3.7519e-09,0.4948
3.7616e-09,0.5187
3.7712e-09,0.5406
3.7808e-09,0.5599
3.7905e-09,0.5732
3.8001e-09,0.5761
3.8098e-09,0.5676
3.8194e-09,0.5467
3.8291e-09,0.5136
3.8387e-09,0.4718
3.8484e-09,0.4236
3.8580e-09,0.3698
3.8676e-09,0.3113
3.8773e-09,0.2480
3.8869e-09,0.1819
3.8966e-09,0.1182
3.9062e-09,0.0613
3.9159e-09,0.0135
3.9255e-09,-0.0240
3.9352e-09,-0.0521
3.9448e-09,-0.0725
3.9545e-09,-0.0852
3.9641e-09,-0.0896
3.9737e-09,-0.0860
3.9834e-09,-0.0767
3.9930e-09,-0.0654
4.0027e-09,-0.0560
4.0123e-09,-0.0506
4.0220e-09,-0.0493
4.0316e-09,-0.0504
4.0413e-09,-0.0514
4.0509e-09,-0.0517
4.0605e-09,-0.0515
4.0702e-09,-0.0513
4.0798e-09,-0.0510
4.0895e-09,-0.0503
4.0991e-09,-0.0481
4.1088e-09,-0.0441
4.1184e-09,-0.0396
4.1281e-09,-0.0361
4.1377e-09,-0.0354
4.1474e-09,-0.0383
4.1570e-09,-0.0439
4.1666e-09,-0.0506
4.1763e-09,-0.0574
4.1859e-09,-0.0637
4.1956e-09,-0.0703
4.2052e-09,-0.0777
4.2149e-09,-0.0857
4.2245e-09,-0.0932
4.2342e-09,-0.0995
4.2438e-09,-0.1042
4.2534e-09,-0.1072
4.2631e-09,-0.1089
4.2727e-09,-0.1095
4.2824e-09,-0.1085
4.2920e-09,-0.1056
4.3017e-09,-0.1005
4.3113e-09,-0.0938
4.3210e-09,-0.0867
4.3306e-09,-0.0805
4.3402e-09,-0.0760
4.3499e-09,-0.0733
4.3595e-09,-0.0724
4.3692e-09,-0.0729
4.3788e-09,-0.0743
4.3885e-09,-0.0760
4.3981e-09,-0.0772
4.4078e-09,-0.0765
4.4174e-09,-0.0732
4.4271e-09,-0.0669
4.4367e-09,-0.0581
4.4463e-09,-0.0474
4.4560e-09,-0.0358
4.4656e-09,-0.0243
4.4753e-09,-0.0134
4.4849e-09,-0.0036
4.4946e-09,0.0045
4.5042e-09,0.0105
4.5139e-09,0.0145
4.5235e-09,0.0166
4.5331e-09,0.0173
4.5428e-09,0.0173
4.5524e-09,0.0169
4.5621e-09,0.0162
4.5717e-09,0.0149
4.5814e-09,0.0130
4.5910e-09,0.0106
4.6007e-09,0.0082
4.6103e-09,0.0062
4.6200e-09,0.0052
4.6296e-09,0.0052
4.6392e-09,0.0059
4.6489e-09,0.0072
4.6585e-09,0.0090
4.6682e-09,0.0114
4.6778e-09,0.0140
4.6875e-09,0.0164
4.6971e-09,0.0180
4.7068e-09,0.0184
4.7164e-09,0.0174
4.7261e-09,0.0156
4.7357e-09,0.0138
4.7453e-09,0.0127
4.7550e-09,0.0126
4.7646e-09,0.0138
4.7743e-09,0.0160
4.7839e-09,0.0192
4.7936e-09,0.0230
4.8032e-09,0.0273
4.8129e-09,0.0315
4.8225e-09,0.0351
4.8321e-09,0.0373
4.8418e-09,0.0381
4.8514e-09,0.0375
4.8611e-09,0.0358
4.8707e-09,0.0337
4.8804e-09,0.0314
4.8900e-09,0.0292
4.8997e-09,0.0272
4.9093e-09,0.0252
4.9190e-09,0.0234
4.9286e-09,0.0217
4.9382e-09,0.0202
4.9479e-09,0.0190
4.9575e-09,0.0178
4.9672e-09,0.0167
4.9768e-09,0.0157
4.9865e-09,0.0149
4.9961e-09,0.0146
5.0058e-09,0.0146
5.0154e-09,0.0147
5.0250e-09,0.0147
5.0347e-09,0.0141
5.0443e-09,0.0129
5.0540e-09,0.0109
5.0636e-09,0.0084
5.0733e-09,0.0055
5.0829e-09,0.0026
5.0926e-09,-0.0001
5.1022e-09,-0.0023
5.1119e-09,-0.0035
5.1215e-09,-0.0037
5.1311e-09,-0.0030
5.1408e-09,-0.0015
5.1504e-09,-0.0010
5.1601e-09,-0.0018
5.1697e-09,0.0055
5.1794e-09,0.0238
5.1890e-09,0.0433
5.1987e-09,0.0625
5.2083e-09,0.0885
5.2179e-09,0.1203
5.2276e-09,0.1632
5.2372e-09,0.2199
5.2469e-09,0.2780
5.2565e-09,0.3330
5.2662e-09,0.3850
5.2758e-09,0.4305
5.2855e-09,0.4720
5.2951e-09,0.5131
5.3047e-09,0.5492
5.3144e-09,0.5770
5.3240e-09,0.5967
5.3337e-09,0.6053
5.3433e-09,0.6058
5.3530e-09,0.6047
5.3626e-09,0.6032
5.3723e-09,0.6022
5.3819e-09,0.6025
5.3916e-09,0.6015
5.4012e-09,0.5986
5.4108e-09,0.5968
5.4205e-09,0.5968
5.4301e-09,0.5992
5.4398e-09,0.6039
5.4494e-09,0.6078
5.4591e-09,0.6098
5.4687e-09,0.6108
5.4784e-09,0.6100
5.4880e-09,0.6076
5.4976e-09,0.6054
5.5073e-09,0.6024
5.5169e-09,0.5982
5.5266e-09,0.5941
5.5362e-09,0.5910
5.5459e-09,0.5902
5.5555e-09,0.5928
5.5652e-09,0.5965
5.5748e-09,0.5995
5.5845e-09,0.6028
5.5941e-09,0.6060
5.6037e-09,0.6080
5.6134e-09,0.6083
5.6230e-09,0.6048
5.6327e-09,0.5955
5.6423e-09,0.5821
5.6520e-09,0.5668
5.6616e-09,0.5522
5.6713e-09,0.5413
5.6809e-09,0.5348
5.6905e-09,0.5321
5.7002e-09,0.5341
5.7098e-09,0.5422
5.7195e-09,0.5579
5.7291e-09,0.5819
5.7388e-09,0.6131
5.7484e-09,0.6484
5.7581e-09,0.6855
5.7677e-09,0.7225
5.7774e-09,0.7586
5.7870e-09,0.7941
5.7966e-09,0.8292
5.8063e-09,0.8630
5.8159e-09,0.8938
5.8256e-09,0.9203
5.8352e-09,0.9422
5.8449e-09,0.9604
5.8545e-09,0.9766
5.8642e-09,0.9925
5.8738e-09,1.0088
5.8835e-09,1.0246
5.8931e-09,1.0391
5.9027e-09,1.0526
5.9124e-09,1.0661
5.9220e-09,1.0807
5.9317e-09,1.0965
5.9413e-09,1.1125
5.9510e-09,1.1268
5.9606e-09,1.1381
5.9703e-09,1.1462
5.9799e-09,1.1514
5.9895e-09,1.1551
5.9992e-09,1.1579
6.0088e-09,1.1599
6.0185e-09,1.1609
6.0281e-09,1.1612
6.0378e-09,1.1618
6.0474e-09,1.1638
6.0571e-09,1.1679
6.0667e-09,1.1738
6.0764e-09,1.1805
6.0860e-09,1.1874
6.0956e-09,1.1939
6.1053e-09,1.1998
6.1149e-09,1.2052
6.1246e-09,1.2101
6.1342e-09,1.2142
6.1439e-09,1.2174
6.1535e-09,1.2194
6.1632e-09,1.2205
6.1728e-09,1.2210
6.1824e-09,1.2208
6.1921e-09,1.2200
6.2017e-09,1.2184
6.2114e-09,1.2161
6.2210e-09,1.2129
6.2307e-09,1.2092
6.2403e-09,1.2051
6.2500e-09,1.2010
6.2596e-09,1.1967
6.2693e-09,1.1922
6.2789e-09,1.1874
6.2885e-09,1.1824
6.2982e-09,1.1772
6.3078e-09,1.1721
6.3175e-09,1.1669
6.3271e-09,1.1614
6.3368e-09,1.1558
6.3464e-09,1.1503
6.3561e-09,1.1456
6.3657e-09,1.1424
6.3753e-09,1.1411
6.3850e-09,1.1414
6.3946e-09,1.1430
6.4043e-09,1.1457
6.4139e-09,1.1447
6.4236e-09,1.1247
6.4332e-09,1.0926
6.4429e-09,1.0413
6.4525e-09,0.9676
6.4621e-09,0.8918
6.4718e-09,0.8203
6.4814e-09,0.7419
6.4911e-09,0.6625
6.5007e-09,0.5864
6.5104e-09,0.5067
6.5200e-09,0.4328
6.5297e-09,0.3733
6.5393e-09,0.3256
6.5490e-09,0.2946
6.5586e-09,0.2813
6.5682e-09,0.2749
6.5779e-09,0.2737
6.5875e-09,0.2798
6.5972e-09,0.2912
6.6068e-09,0.3108
6.6165e-09,0.3394
6.6261e-09,0.3622
6.6358e-09,0.3756
6.6454e-09,0.3869
6.6550e-09,0.3952
6.6647e-09,0.4040
6.6743e-09,0.4159
6.6840e-09,0.4249
6.6936e-09,0.4298
6.7033e-09,0.4344
6.7129e-09,0.4383
6.7226e-09,0.4439
6.7322e-09,0.4545
6.7419e-09,0.4657
6.7515e-09,0.4753
6.7611e-09,0.4832
6.7708e-09,0.4854
6.7804e-09,0.4817
6.7901e-09,0.4753
6.7997e-09,0.4657
6.8094e-09,0.4539
6.8190e-09,0.4434
6.8287e-09,0.4350
6.8383e-09,0.4320
6.8480e-09,0.4384
6.8576e-09,0.4521
6.8672e-09,0.4704
6.8769e-09,0.4935
6.8865e-09,0.5176
6.8962e-09,0.5399
6.9058e-09,0.5601
6.9155e-09,0.5744
6.9251e-09,0.5783
6.9348e-09,0.5707
6.9444e-09,0.5504
6.9540e-09,0.5174
6.9637e-09,0.4757
6.9733e-09,0.4276
6.9830e-09,0.3740
6.9926e-09,0.3155
7.0023e-09,0.2522
7.0119e-09,0.1858
7.0216e-09,0.1215
7.0312e-09,0.0792
7.0409e-09,0.0533
7.0505e-09,0.0447
7.0601e-09,0.0489
7.0698e-09,0.0608
7.0794e-09,0.0831
7.0891e-09,0.1244
7.0987e-09,0.1792
7.1084e-09,0.2421
7.1180e-09,0.3067
7.1277e-09,0.3606
7.1373e-09,0.4018
7.1469e-09,0.4329
7.1566e-09,0.4553
7.1662e-09,0.4731
7.1759e-09,0.4888
7.1855e-09,0.4987
7.1952e-09,0.5017
7.2048e-09,0.5004
7.2145e-09,0.4970
7.2241e-09,0.4961
7.2338e-09,0.5010
7.2434e-09,0.5095
7.2530e-09,0.5182
7.2627e-09,0.5249
7.2723e-09,0.5276
7.2820e-09,0.5278
7.2916e-09,0.5283
7.3013e-09,0.5283
7.3109e-09,0.5268
7.3206e-09,0.5229
7.3302e-09,0.5152
7.3398e-09,0.5041
7.3495e-09,0.4925
7.3591e-09,0.4816
7.3688e-09,0.4722
7.3784e-09,0.4652
7.3881e-09,0.4599
7.3977e-09,0.4568
7.4074e-09,0.4579
7.4170e-09,0.4627
7.4266e-09,0.4691
7.4363e-09,0.4754
7.4459e-09,0.4794
7.4556e-09,0.4797
7.4652e-09,0.4769
7.4749e-09,0.4707
7.4845e-09,0.4601
7.4942e-09,0.4459
7.5038e-09,0.4292
7.5135e-09,0.4125
7.5231e-09,0.4003
7.5327e-09,0.3961
7.5424e-09,0.4015
7.5520e-09,0.4163
7.5617e-09,0.4391
7.5713e-09,0.4685
7.5810e-09,0.5040
7.5906e-09,0.5451
7.6003e-09,0.5902
7.6099e-09,0.6372
7.6196e-09,0.6829
7.6292e-09,0.7248
7.6388e-09,0.7619
7.6485e-09,0.7947
7.6581e-09,0.8195
7.6678e-09,0.8195
7.6774e-09,0.8048
7.6871e-09,0.7830
7.6967e-09,0.7382
