.HEADER
..NAMES
Time,V U1.T4
.DATA
5.6771e-09,0.0027
5.7004e-09,0.0028
5.7237e-09,0.0030
5.7469e-09,0.0032
5.7702e-09,0.0033
5.7935e-09,0.0033
5.8168e-09,0.0031
5.8400e-09,0.0027
5.8633e-09,0.0024
5.8866e-09,0.0021
5.9098e-09,0.0020
5.9331e-09,0.0021
5.9564e-09,0.0023
5.9796e-09,0.0027
6.0029e-09,0.0030
6.0262e-09,0.0033
6.0494e-09,0.0033
6.0727e-09,0.0031
6.0960e-09,0.0029
6.1192e-09,0.0027
6.1425e-09,0.0025
6.1658e-09,0.0025
6.1890e-09,0.0025
6.2123e-09,0.0025
6.2356e-09,0.0024
6.2588e-09,0.0024
6.2821e-09,0.0024
6.3054e-09,0.0025
6.3286e-09,0.0027
6.3519e-09,0.0028
6.3752e-09,0.0030
6.3984e-09,0.0030
6.4217e-09,0.0030
6.4450e-09,0.0029
6.4682e-09,0.0026
6.4915e-09,0.0024
6.5148e-09,0.0023
6.5380e-09,0.0022
6.5613e-09,0.0023
6.5846e-09,0.0025
6.6078e-09,0.0027
6.6311e-09,0.0028
6.6544e-09,0.0029
6.6776e-09,0.0028
6.7009e-09,0.0028
6.7242e-09,0.0027
6.7474e-09,0.0027
6.7707e-09,0.0026
6.7940e-09,0.0026
6.8172e-09,0.0026
6.8405e-09,0.0025
6.8638e-09,0.0025
6.8870e-09,0.0024
6.9103e-09,0.0024
6.9336e-09,0.0025
6.9568e-09,0.0026
6.9801e-09,0.0027
7.0034e-09,0.0028
7.0266e-09,0.0029
7.0499e-09,0.0028
7.0732e-09,0.0027
7.0964e-09,0.0026
7.1197e-09,0.0024
7.1430e-09,0.0024
7.1662e-09,0.0024
7.1895e-09,0.0025
7.2128e-09,0.0026
7.2360e-09,0.0026
7.2593e-09,0.0027
7.2826e-09,0.0026
7.3058e-09,0.0026
7.3291e-09,0.0026
7.3524e-09,0.0026
7.3756e-09,0.0027
7.3989e-09,0.0027
7.4222e-09,0.0026
7.4454e-09,0.0026
7.4687e-09,0.0025
7.4920e-09,0.0025
7.5152e-09,0.0024
7.5385e-09,0.0025
7.5618e-09,0.0025
7.5850e-09,0.0026
7.6083e-09,0.0027
7.6316e-09,0.0027
7.6548e-09,0.0033
7.6781e-09,0.0192
7.7014e-09,0.0767
7.7246e-09,0.2194
7.7479e-09,0.3620
7.7712e-09,0.4748
7.7944e-09,0.5505
7.8177e-09,0.5990
7.8410e-09,0.6252
7.8642e-09,0.6391
7.8875e-09,0.6465
7.9108e-09,0.6519
7.9340e-09,0.6562
7.9573e-09,0.6604
7.9806e-09,0.6639
8.0038e-09,0.6663
8.0271e-09,0.6670
8.0504e-09,0.6655
8.0736e-09,0.6629
8.0969e-09,0.6612
8.1202e-09,0.6622
8.1435e-09,0.6670
8.1667e-09,0.6772
8.1900e-09,0.6980
8.2133e-09,0.7338
8.2365e-09,0.7864
8.2598e-09,0.8529
8.2831e-09,0.9274
8.3063e-09,1.0017
8.3296e-09,1.0680
8.3529e-09,1.1212
8.3761e-09,1.1604
8.3994e-09,1.1873
8.4227e-09,1.2052
8.4459e-09,1.2172
8.4692e-09,1.2252
8.4925e-09,1.2311
8.5157e-09,1.2364
8.5390e-09,1.2421
8.5623e-09,1.2478
8.5855e-09,1.2522
8.6088e-09,1.2541
8.6321e-09,1.2536
8.6553e-09,1.2509
8.6786e-09,1.2450
8.7019e-09,1.2348
8.7251e-09,1.2195
8.7484e-09,1.1994
8.7717e-09,1.1764
8.7949e-09,1.1543
8.8182e-09,1.1373
8.8415e-09,1.1286
8.8647e-09,1.1287
8.8880e-09,1.1359
8.9113e-09,1.1181
8.9345e-09,1.0748
8.9578e-09,0.9284
8.9811e-09,0.7814
9.0043e-09,0.6696
9.0276e-09,0.5988
9.0509e-09,0.5514
9.0741e-09,0.5258
9.0974e-09,0.5128
9.1207e-09,0.5064
9.1439e-09,0.5041
9.1672e-09,0.5037
9.1905e-09,0.5046
9.2137e-09,0.5074
9.2370e-09,0.5126
9.2603e-09,0.5200
9.2835e-09,0.5296
9.3068e-09,0.5375
