.HEADER
..NAMES
Time,V U1.G5
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0165
5.119e-10,0.0625
5.351e-10,0.2014
5.584e-10,0.3456
5.817e-10,0.4565
6.049e-10,0.5191
6.282e-10,0.5580
6.515e-10,0.5751
6.747e-10,0.5829
6.980e-10,0.5909
7.213e-10,0.6034
7.445e-10,0.6187
7.678e-10,0.6350
7.911e-10,0.6495
8.143e-10,0.6590
8.376e-10,0.6621
8.609e-10,0.6582
8.841e-10,0.6483
9.074e-10,0.6349
9.307e-10,0.6220
9.539e-10,0.6134
9.772e-10,0.6121
1.0005e-09,0.6224
1.0237e-09,0.6448
1.0470e-09,0.6806
1.0703e-09,0.7309
1.0935e-09,0.7754
1.1168e-09,0.8053
1.1401e-09,0.7485
1.1633e-09,0.6549
1.1866e-09,0.5882
1.2099e-09,0.5595
1.2332e-09,0.5476
1.2564e-09,0.5439
1.2797e-09,0.5424
1.3030e-09,0.5402
1.3262e-09,0.5372
1.3495e-09,0.5359
1.3728e-09,0.5381
1.3960e-09,0.5432
1.4193e-09,0.5510
1.4426e-09,0.5597
1.4658e-09,0.5681
1.4891e-09,0.5735
1.5124e-09,0.5753
1.5356e-09,0.5709
1.5589e-09,0.5589
1.5822e-09,0.5401
1.6054e-09,0.5139
1.6287e-09,0.4791
1.6520e-09,0.4350
1.6752e-09,0.3796
1.6985e-09,0.3138
1.7218e-09,0.2439
1.7450e-09,0.1984
1.7683e-09,0.2270
1.7916e-09,0.3314
1.8148e-09,0.4286
1.8381e-09,0.4957
1.8614e-09,0.5353
1.8846e-09,0.5522
1.9079e-09,0.5556
1.9312e-09,0.5489
1.9544e-09,0.5415
1.9777e-09,0.5380
2.0010e-09,0.5381
2.0242e-09,0.5443
2.0475e-09,0.5550
2.0708e-09,0.5682
2.0940e-09,0.5816
2.1173e-09,0.5935
2.1406e-09,0.6030
2.1638e-09,0.6106
2.1871e-09,0.6184
2.2104e-09,0.6287
2.2336e-09,0.6453
2.2569e-09,0.6726
2.2802e-09,0.7112
2.3034e-09,0.7624
2.3267e-09,0.8247
2.3500e-09,0.8643
2.3732e-09,0.8772
2.3965e-09,0.7808
2.4198e-09,0.6816
2.4430e-09,0.6203
2.4663e-09,0.5882
2.4896e-09,0.5754
2.5128e-09,0.5703
2.5361e-09,0.5677
2.5594e-09,0.5633
2.5826e-09,0.5554
2.6059e-09,0.5469
2.6292e-09,0.5389
2.6524e-09,0.5330
2.6757e-09,0.5303
2.6990e-09,0.5312
2.7222e-09,0.5351
2.7455e-09,0.5399
2.7688e-09,0.5439
2.7920e-09,0.5430
2.8153e-09,0.5350
2.8386e-09,0.5192
2.8618e-09,0.4935
2.8851e-09,0.4574
2.9084e-09,0.4109
2.9316e-09,0.3537
2.9549e-09,0.2888
2.9782e-09,0.2263
3.0014e-09,0.1989
3.0247e-09,0.2592
3.0480e-09,0.3803
3.0712e-09,0.4622
3.0945e-09,0.5198
3.1178e-09,0.5531
3.1410e-09,0.5634
3.1643e-09,0.5645
3.1876e-09,0.5595
3.2108e-09,0.5555
3.2341e-09,0.5545
3.2574e-09,0.5558
3.2806e-09,0.5610
3.3039e-09,0.5680
3.3272e-09,0.5764
3.3504e-09,0.5844
3.3737e-09,0.5919
3.3970e-09,0.5988
3.4202e-09,0.6064
3.4435e-09,0.6163
3.4668e-09,0.6302
3.4901e-09,0.6512
3.5133e-09,0.6818
3.5366e-09,0.7224
3.5599e-09,0.7746
3.5831e-09,0.8371
3.6064e-09,0.9059
3.6297e-09,0.9764
3.6529e-09,1.0414
3.6762e-09,1.0950
3.6995e-09,1.1345
3.7227e-09,1.1598
3.7460e-09,1.1740
3.7693e-09,1.1817
3.7925e-09,1.1870
3.8158e-09,1.1929
3.8391e-09,1.2007
3.8623e-09,1.2098
3.8856e-09,1.2188
3.9089e-09,1.2260
3.9321e-09,1.2300
3.9554e-09,1.2297
3.9787e-09,1.2248
4.0019e-09,1.2158
4.0252e-09,1.2037
4.0485e-09,1.1899
4.0717e-09,1.1762
4.0950e-09,1.1635
4.1183e-09,1.1527
4.1415e-09,1.1441
4.1648e-09,1.1378
4.1881e-09,1.1346
4.2113e-09,1.1271
4.2346e-09,1.0891
4.2579e-09,1.0026
4.2811e-09,0.8449
4.3044e-09,0.7186
4.3277e-09,0.6447
4.3509e-09,0.6053
4.3742e-09,0.5862
4.3975e-09,0.5737
4.4207e-09,0.5629
4.4440e-09,0.5500
4.4673e-09,0.5360
4.4905e-09,0.5243
