.HEADER
..NAMES
Time,V U2.C2
.DATA
0.0e+00,0.0022
9.6e-12,0.0022
1.93e-11,0.0022
2.89e-11,0.0022
3.86e-11,0.0022
4.82e-11,0.0022
5.79e-11,0.0022
6.75e-11,0.0022
7.72e-11,0.0022
8.68e-11,0.0022
9.65e-11,0.0022
1.061e-10,0.0022
1.157e-10,0.0022
1.254e-10,0.0022
1.350e-10,0.0022
1.447e-10,0.0022
1.543e-10,0.0005
1.640e-10,-0.0022
1.736e-10,0.0051
1.833e-10,0.0259
1.929e-10,0.0499
2.025e-10,0.0768
2.122e-10,0.1151
2.218e-10,0.1610
2.315e-10,0.2134
2.411e-10,0.2766
2.508e-10,0.3428
2.604e-10,0.4022
2.701e-10,0.4528
2.797e-10,0.4969
2.893e-10,0.5328
2.990e-10,0.5601
3.086e-10,0.5829
3.183e-10,0.6012
3.279e-10,0.6129
3.376e-10,0.6204
3.472e-10,0.6257
3.569e-10,0.6280
3.665e-10,0.6275
3.762e-10,0.6269
3.858e-10,0.6269
3.954e-10,0.6264
4.051e-10,0.6262
4.147e-10,0.6272
4.244e-10,0.6281
4.340e-10,0.6282
4.437e-10,0.6277
4.533e-10,0.6265
4.630e-10,0.6244
4.726e-10,0.6216
4.823e-10,0.6182
4.919e-10,0.6147
5.015e-10,0.6128
5.112e-10,0.6132
5.208e-10,0.6158
5.305e-10,0.6214
5.401e-10,0.6305
5.498e-10,0.6423
5.594e-10,0.6548
5.691e-10,0.6652
5.787e-10,0.6699
5.883e-10,0.6669
5.980e-10,0.6567
6.076e-10,0.6405
6.173e-10,0.6192
6.269e-10,0.5948
6.366e-10,0.5697
6.462e-10,0.5456
6.559e-10,0.5254
6.655e-10,0.5131
6.751e-10,0.5111
6.848e-10,0.5187
6.944e-10,0.5346
7.041e-10,0.5562
7.137e-10,0.5801
7.234e-10,0.6049
7.330e-10,0.6315
7.427e-10,0.6610
7.523e-10,0.6932
7.620e-10,0.7267
7.716e-10,0.7603
7.812e-10,0.7922
7.909e-10,0.8215
8.005e-10,0.8489
8.102e-10,0.8754
8.198e-10,0.9015
8.295e-10,0.9279
8.391e-10,0.9549
8.488e-10,0.9817
8.584e-10,1.0076
8.681e-10,1.0322
8.777e-10,1.0549
8.873e-10,1.0748
8.970e-10,1.0917
9.066e-10,1.1055
9.163e-10,1.1160
9.259e-10,1.1233
9.356e-10,1.1283
9.452e-10,1.1320
9.549e-10,1.1354
9.645e-10,1.1399
9.741e-10,1.1466
9.838e-10,1.1558
9.934e-10,1.1671
1.0031e-09,1.1798
1.0127e-09,1.1925
1.0224e-09,1.2034
1.0320e-09,1.2110
1.0417e-09,1.2147
1.0513e-09,1.2147
1.0609e-09,1.2120
1.0706e-09,1.2076
1.0802e-09,1.2026
1.0899e-09,1.1977
1.0995e-09,1.1935
1.1092e-09,1.1909
1.1188e-09,1.1908
1.1285e-09,1.1934
1.1381e-09,1.1985
1.1478e-09,1.2052
1.1574e-09,1.2126
1.1670e-09,1.2198
1.1767e-09,1.2265
1.1863e-09,1.2328
1.1960e-09,1.2386
1.2056e-09,1.2432
1.2153e-09,1.2458
1.2249e-09,1.2453
1.2346e-09,1.2416
1.2442e-09,1.2351
1.2539e-09,1.2271
1.2635e-09,1.2191
1.2731e-09,1.2121
1.2828e-09,1.2066
1.2924e-09,1.2026
1.3021e-09,1.1997
1.3117e-09,1.1977
1.3214e-09,1.1962
1.3310e-09,1.1950
1.3407e-09,1.1936
1.3503e-09,1.1917
1.3599e-09,1.1889
1.3696e-09,1.1851
1.3792e-09,1.1805
1.3889e-09,1.1756
1.3985e-09,1.1712
1.4082e-09,1.1681
1.4178e-09,1.1668
1.4275e-09,1.1676
1.4371e-09,1.1703
1.4468e-09,1.1745
1.4564e-09,1.1792
1.4660e-09,1.1838
1.4757e-09,1.1876
1.4853e-09,1.1903
1.4950e-09,1.1918
1.5046e-09,1.1922
1.5143e-09,1.1919
1.5239e-09,1.1911
1.5336e-09,1.1898
1.5432e-09,1.1882
1.5528e-09,1.1862
1.5625e-09,1.1842
1.5721e-09,1.1826
1.5818e-09,1.1820
1.5914e-09,1.1826
1.6011e-09,1.1844
1.6107e-09,1.1870
1.6204e-09,1.1901
1.6300e-09,1.1936
1.6396e-09,1.1971
1.6493e-09,1.2002
1.6589e-09,1.2025
1.6686e-09,1.2034
1.6782e-09,1.2028
1.6879e-09,1.2007
1.6975e-09,1.1977
1.7072e-09,1.1946
1.7168e-09,1.1920
1.7265e-09,1.1904
1.7361e-09,1.1899
1.7457e-09,1.1902
1.7554e-09,1.1911
1.7650e-09,1.1925
1.7747e-09,1.1941
1.7843e-09,1.1957
1.7940e-09,1.1972
1.8036e-09,1.1982
1.8133e-09,1.1985
1.8229e-09,1.1982
1.8326e-09,1.1974
1.8422e-09,1.1965
1.8518e-09,1.1958
1.8615e-09,1.1957
1.8711e-09,1.1963
1.8808e-09,1.1975
1.8904e-09,1.1992
1.9001e-09,1.2010
1.9097e-09,1.2027
1.9194e-09,1.2044
1.9290e-09,1.2059
1.9386e-09,1.2073
1.9483e-09,1.2084
1.9579e-09,1.2092
1.9676e-09,1.2095
1.9772e-09,1.2092
1.9869e-09,1.2082
1.9965e-09,1.2066
2.0062e-09,1.2044
2.0158e-09,1.2022
2.0255e-09,1.2002
2.0351e-09,1.1996
2.0447e-09,1.1910
2.0544e-09,1.1619
2.0640e-09,1.1153
2.0737e-09,1.0416
2.0833e-09,0.9407
2.0930e-09,0.8366
2.1026e-09,0.7390
2.1123e-09,0.6449
2.1219e-09,0.5631
2.1315e-09,0.5041
2.1412e-09,0.4574
2.1508e-09,0.4148
2.1605e-09,0.3821
2.1701e-09,0.3586
2.1798e-09,0.3381
2.1894e-09,0.3237
2.1991e-09,0.3195
2.2087e-09,0.3202
2.2183e-09,0.3234
2.2280e-09,0.3345
2.2376e-09,0.3545
2.2473e-09,0.3772
2.2569e-09,0.3930
2.2666e-09,0.4040
2.2762e-09,0.4122
2.2859e-09,0.4162
2.2955e-09,0.4200
2.3052e-09,0.4261
2.3148e-09,0.4324
2.3244e-09,0.4382
2.3341e-09,0.4458
2.3437e-09,0.4562
2.3534e-09,0.4669
2.3630e-09,0.4751
2.3727e-09,0.4790
2.3823e-09,0.4755
2.3920e-09,0.4623
2.4016e-09,0.4397
2.4113e-09,0.4108
2.4209e-09,0.3804
2.4305e-09,0.3540
2.4402e-09,0.3387
2.4498e-09,0.3413
2.4595e-09,0.3650
2.4691e-09,0.4086
2.4788e-09,0.4662
2.4884e-09,0.5277
2.4981e-09,0.5806
2.5077e-09,0.6161
2.5173e-09,0.6311
2.5270e-09,0.6273
2.5366e-09,0.6097
2.5463e-09,0.5851
2.5559e-09,0.5588
2.5656e-09,0.5307
2.5752e-09,0.4971
2.5849e-09,0.4557
2.5945e-09,0.4054
2.6042e-09,0.3470
2.6138e-09,0.2845
2.6234e-09,0.2230
2.6331e-09,0.1653
2.6427e-09,0.1133
2.6524e-09,0.0693
2.6620e-09,0.0348
2.6717e-09,0.0080
2.6813e-09,-0.0129
2.6910e-09,-0.0294
2.7006e-09,-0.0439
2.7102e-09,-0.0585
2.7199e-09,-0.0731
2.7295e-09,-0.0861
2.7392e-09,-0.0963
2.7488e-09,-0.1023
2.7585e-09,-0.1026
2.7681e-09,-0.0969
2.7778e-09,-0.0860
2.7874e-09,-0.0704
2.7970e-09,-0.0514
2.8067e-09,-0.0322
2.8163e-09,-0.0169
2.8260e-09,-0.0089
2.8356e-09,-0.0106
2.8453e-09,-0.0222
2.8549e-09,-0.0412
2.8646e-09,-0.0634
2.8742e-09,-0.0840
2.8839e-09,-0.0993
2.8935e-09,-0.1068
2.9031e-09,-0.1059
2.9128e-09,-0.0986
2.9224e-09,-0.0875
2.9321e-09,-0.0754
2.9417e-09,-0.0653
2.9514e-09,-0.0586
2.9610e-09,-0.0551
2.9707e-09,-0.0531
2.9803e-09,-0.0508
2.9900e-09,-0.0469
2.9996e-09,-0.0417
3.0092e-09,-0.0371
3.0189e-09,-0.0361
3.0285e-09,-0.0408
3.0382e-09,-0.0516
3.0478e-09,-0.0670
3.0575e-09,-0.0841
3.0671e-09,-0.0993
3.0768e-09,-0.1104
3.0864e-09,-0.1165
3.0960e-09,-0.1184
3.1057e-09,-0.1170
3.1153e-09,-0.1135
3.1250e-09,-0.1088
3.1346e-09,-0.1038
3.1443e-09,-0.0995
3.1539e-09,-0.0964
3.1636e-09,-0.0950
3.1732e-09,-0.0947
3.1828e-09,-0.0943
3.1925e-09,-0.0923
3.2021e-09,-0.0870
3.2118e-09,-0.0776
3.2214e-09,-0.0639
3.2311e-09,-0.0468
3.2407e-09,-0.0280
3.2504e-09,-0.0095
3.2600e-09,0.0065
3.2697e-09,0.0181
3.2793e-09,0.0213
3.2889e-09,0.0156
3.2986e-09,0.0165
3.3082e-09,0.0304
3.3179e-09,0.0478
3.3275e-09,0.0701
3.3372e-09,0.1066
3.3468e-09,0.1524
3.3565e-09,0.2052
3.3661e-09,0.2694
3.3757e-09,0.3370
3.3854e-09,0.3970
3.3950e-09,0.4489
3.4047e-09,0.4962
3.4143e-09,0.5374
3.4240e-09,0.5718
3.4336e-09,0.6034
3.4433e-09,0.6303
3.4529e-09,0.6488
3.4626e-09,0.6600
3.4722e-09,0.6655
3.4818e-09,0.6644
3.4915e-09,0.6580
3.5011e-09,0.6511
3.5108e-09,0.6462
3.5204e-09,0.6430
3.5301e-09,0.6430
3.5397e-09,0.6464
3.5494e-09,0.6509
3.5590e-09,0.6550
3.5687e-09,0.6581
3.5783e-09,0.6597
3.5879e-09,0.6592
3.5976e-09,0.6565
3.6072e-09,0.6512
3.6169e-09,0.6443
3.6265e-09,0.6381
3.6362e-09,0.6348
3.6458e-09,0.6354
3.6555e-09,0.6417
3.6651e-09,0.6546
3.6747e-09,0.6727
3.6844e-09,0.6931
3.6940e-09,0.7117
3.7037e-09,0.7231
3.7133e-09,0.7244
3.7230e-09,0.7161
3.7326e-09,0.6994
3.7423e-09,0.6762
3.7519e-09,0.6493
3.7616e-09,0.6215
3.7712e-09,0.5944
3.7808e-09,0.5704
3.7905e-09,0.5532
3.8001e-09,0.5448
3.8098e-09,0.5452
3.8194e-09,0.5537
3.8291e-09,0.5693
3.8387e-09,0.5895
3.8484e-09,0.6130
3.8580e-09,0.6406
3.8676e-09,0.6730
3.8773e-09,0.7084
3.8869e-09,0.7446
3.8966e-09,0.7793
3.9062e-09,0.8101
3.9159e-09,0.8197
3.9255e-09,0.8001
3.9352e-09,0.7685
3.9448e-09,0.7233
3.9545e-09,0.6538
3.9641e-09,0.5899
3.9737e-09,0.5450
3.9834e-09,0.4992
3.9930e-09,0.4574
4.0027e-09,0.4323
4.0123e-09,0.4129
4.0220e-09,0.3884
4.0316e-09,0.3684
4.0413e-09,0.3561
4.0509e-09,0.3405
4.0605e-09,0.3233
4.0702e-09,0.3141
4.0798e-09,0.3085
4.0895e-09,0.3037
4.0991e-09,0.3089
4.1088e-09,0.3279
4.1184e-09,0.3547
4.1281e-09,0.3811
4.1377e-09,0.4042
4.1474e-09,0.4231
4.1570e-09,0.4342
4.1666e-09,0.4409
4.1763e-09,0.4474
4.1859e-09,0.4527
4.1956e-09,0.4567
4.2052e-09,0.4604
4.2149e-09,0.4643
4.2245e-09,0.4668
