.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
5.7469e-09,1.1449
5.7702e-09,1.1490
5.7935e-09,1.1236
5.8168e-09,1.0571
5.8400e-09,0.9109
5.8633e-09,0.7925
5.8866e-09,0.7129
5.9098e-09,0.6593
5.9331e-09,0.6262
5.9564e-09,0.6134
5.9796e-09,0.6054
6.0029e-09,0.5923
6.0262e-09,0.5755
6.0494e-09,0.5600
6.0727e-09,0.5466
6.0960e-09,0.5321
6.1192e-09,0.5180
6.1425e-09,0.5100
6.1658e-09,0.5123
6.1890e-09,0.5211
6.2123e-09,0.5301
6.2356e-09,0.5374
6.2588e-09,0.5475
6.2821e-09,0.5627
6.3054e-09,0.5769
6.3286e-09,0.5842
6.3519e-09,0.5847
6.3752e-09,0.5814
6.3984e-09,0.5747
6.4217e-09,0.5763
6.4450e-09,0.6468
6.4682e-09,0.8234
6.4915e-09,0.9696
6.5148e-09,1.0617
6.5380e-09,1.1203
6.5613e-09,1.1529
6.5846e-09,1.1594
6.6078e-09,1.1551
6.6311e-09,1.1563
6.6544e-09,1.1622
6.6776e-09,1.1682
6.7009e-09,1.1737
6.7242e-09,1.1818
6.7474e-09,1.1917
6.7707e-09,1.1973
6.7940e-09,1.1940
6.8172e-09,1.1840
6.8405e-09,1.1743
6.8638e-09,1.1673
6.8870e-09,1.1589
6.9103e-09,1.1466
6.9336e-09,1.1365
6.9568e-09,1.1342
6.9801e-09,1.1392
7.0034e-09,1.1475
7.0266e-09,1.1460
7.0499e-09,1.1133
7.0732e-09,1.0237
7.0964e-09,0.8791
7.1197e-09,0.7636
7.1430e-09,0.6927
7.1662e-09,0.6448
7.1895e-09,0.6187
7.2128e-09,0.6094
7.2360e-09,0.6015
7.2593e-09,0.5877
7.2826e-09,0.5710
7.3058e-09,0.5561
7.3291e-09,0.5425
7.3524e-09,0.5277
7.3756e-09,0.5148
7.3989e-09,0.5096
7.4222e-09,0.5142
7.4454e-09,0.5237
7.4687e-09,0.5321
7.4920e-09,0.5397
7.5152e-09,0.5513
7.5385e-09,0.5669
7.5618e-09,0.5797
7.5850e-09,0.5851
7.6083e-09,0.5842
7.6316e-09,0.5801
7.6548e-09,0.5726
7.6781e-09,0.5841
7.7014e-09,0.6848
7.7246e-09,0.8666
7.7479e-09,0.9871
7.7712e-09,1.0787
7.7944e-09,1.1318
7.8177e-09,1.1545
7.8410e-09,1.1573
7.8642e-09,1.1549
7.8875e-09,1.1578
7.9108e-09,1.1638
7.9340e-09,1.1695
7.9573e-09,1.1758
7.9806e-09,1.1844
8.0038e-09,1.1935
8.0271e-09,1.1970
8.0504e-09,1.1915
8.0736e-09,1.1813
8.0969e-09,1.1725
8.1202e-09,1.1654
8.1435e-09,1.1559
8.1667e-09,1.1437
8.1900e-09,1.1358
8.2133e-09,1.1356
8.2365e-09,1.1416
8.2598e-09,1.1501
8.2831e-09,1.1374
8.3063e-09,1.0968
8.3296e-09,0.9782
8.3529e-09,0.8421
8.3761e-09,0.7416
8.3994e-09,0.6804
8.4227e-09,0.6389
8.4459e-09,0.6167
