.HEADER
..NAMES
Time,V U2.A3
.DATA
2.3823e-09,1.2089
2.3920e-09,1.2052
2.4016e-09,1.2023
2.4113e-09,1.2000
2.4209e-09,1.1985
2.4305e-09,1.1974
2.4402e-09,1.1963
2.4498e-09,1.1949
2.4595e-09,1.1932
2.4691e-09,1.1913
2.4788e-09,1.1900
2.4884e-09,1.1903
2.4981e-09,1.1926
2.5077e-09,1.1972
2.5173e-09,1.2035
2.5270e-09,1.2107
2.5366e-09,1.2175
2.5463e-09,1.2230
2.5559e-09,1.2268
2.5656e-09,1.2286
2.5752e-09,1.2283
2.5849e-09,1.2257
2.5945e-09,1.2208
2.6042e-09,1.2142
2.6138e-09,1.2064
2.6234e-09,1.1986
2.6331e-09,1.1917
2.6427e-09,1.1869
2.6524e-09,1.1845
2.6620e-09,1.1845
2.6717e-09,1.1862
2.6813e-09,1.1887
2.6910e-09,1.1911
2.7006e-09,1.1928
2.7102e-09,1.1934
2.7199e-09,1.1928
2.7295e-09,1.1912
2.7392e-09,1.1891
2.7488e-09,1.1869
2.7585e-09,1.1854
2.7681e-09,1.1847
2.7778e-09,1.1851
2.7874e-09,1.1863
2.7970e-09,1.1880
2.8067e-09,1.1897
2.8163e-09,1.1908
2.8260e-09,1.1910
2.8356e-09,1.1902
2.8453e-09,1.1885
2.8549e-09,1.1862
2.8646e-09,1.1837
2.8742e-09,1.1812
2.8839e-09,1.1792
2.8935e-09,1.1777
2.9031e-09,1.1771
2.9128e-09,1.1773
2.9224e-09,1.1783
2.9321e-09,1.1801
2.9417e-09,1.1824
2.9514e-09,1.1853
2.9610e-09,1.1886
2.9707e-09,1.1921
2.9803e-09,1.1956
2.9900e-09,1.1989
2.9996e-09,1.2017
3.0092e-09,1.2038
3.0189e-09,1.2050
3.0285e-09,1.2055
3.0382e-09,1.2055
3.0478e-09,1.2050
3.0575e-09,1.2041
3.0671e-09,1.2029
3.0768e-09,1.2014
3.0864e-09,1.1999
3.0960e-09,1.1985
3.1057e-09,1.1975
3.1153e-09,1.1971
3.1250e-09,1.1974
3.1346e-09,1.1981
3.1443e-09,1.1990
3.1539e-09,1.1997
3.1636e-09,1.1999
3.1732e-09,1.1996
3.1828e-09,1.1990
3.1925e-09,1.1982
3.2021e-09,1.1976
3.2118e-09,1.1973
3.2214e-09,1.1975
3.2311e-09,1.1984
3.2407e-09,1.1998
3.2504e-09,1.2016
3.2600e-09,1.2035
3.2697e-09,1.2051
3.2793e-09,1.2061
3.2889e-09,1.2064
3.2986e-09,1.2058
3.3082e-09,1.2045
3.3179e-09,1.2027
3.3275e-09,1.2007
3.3372e-09,1.1989
3.3468e-09,1.1975
3.3565e-09,1.1966
3.3661e-09,1.1964
3.3757e-09,1.1967
3.3854e-09,1.1976
3.3950e-09,1.1988
3.4047e-09,1.2001
3.4143e-09,1.2013
3.4240e-09,1.2024
3.4336e-09,1.2032
3.4433e-09,1.2036
3.4529e-09,1.2038
3.4626e-09,1.2038
3.4722e-09,1.2036
3.4818e-09,1.2034
3.4915e-09,1.2033
3.5011e-09,1.2033
3.5108e-09,1.2034
3.5204e-09,1.2035
3.5301e-09,1.2036
3.5397e-09,1.2035
3.5494e-09,1.2031
3.5590e-09,1.2025
3.5687e-09,1.2016
3.5783e-09,1.2008
