.HEADER
..NAMES
Time,V U1.N6
.DATA
5.7237e-09,1.1884
5.7469e-09,1.1852
5.7702e-09,1.1838
5.7935e-09,1.1846
5.8168e-09,1.1875
5.8400e-09,1.1921
5.8633e-09,1.1974
5.8866e-09,1.2025
5.9098e-09,1.2066
5.9331e-09,1.2094
5.9564e-09,1.2107
5.9796e-09,1.2100
6.0029e-09,1.2075
6.0262e-09,1.2038
6.0494e-09,1.2004
6.0727e-09,1.1986
6.0960e-09,1.1993
6.1192e-09,1.2018
6.1425e-09,1.2052
6.1658e-09,1.2078
6.1890e-09,1.2087
6.2123e-09,1.2078
6.2356e-09,1.2055
6.2588e-09,1.2025
6.2821e-09,1.1994
6.3054e-09,1.1969
6.3286e-09,1.1952
6.3519e-09,1.1946
6.3752e-09,1.1952
6.3984e-09,1.1889
6.4217e-09,1.1487
6.4450e-09,1.0588
6.4682e-09,0.8932
6.4915e-09,0.7663
6.5148e-09,0.6894
6.5380e-09,0.6361
6.5613e-09,0.5989
6.5846e-09,0.5709
6.6078e-09,0.5497
6.6311e-09,0.5340
6.6544e-09,0.5232
6.6776e-09,0.5160
6.7009e-09,0.5120
6.7242e-09,0.5108
6.7474e-09,0.5120
6.7707e-09,0.5144
6.7940e-09,0.5152
6.8172e-09,0.5107
6.8405e-09,0.4995
6.8638e-09,0.4803
6.8870e-09,0.4503
6.9103e-09,0.4035
6.9336e-09,0.3375
6.9568e-09,0.2590
6.9801e-09,0.1800
7.0034e-09,0.1126
7.0266e-09,0.0629
7.0499e-09,0.0303
7.0732e-09,0.0094
7.0964e-09,-0.0064
7.1197e-09,-0.0215
7.1430e-09,-0.0364
7.1662e-09,-0.0498
7.1895e-09,-0.0603
7.2128e-09,-0.0677
7.2360e-09,-0.0714
7.2593e-09,-0.0702
7.2826e-09,-0.0628
7.3058e-09,-0.0500
7.3291e-09,-0.0336
7.3524e-09,-0.0145
7.3756e-09,0.0073
7.3989e-09,0.0309
7.4222e-09,0.0529
7.4454e-09,0.0689
7.4687e-09,0.0751
7.4920e-09,0.0710
7.5152e-09,0.0598
7.5385e-09,0.0470
7.5618e-09,0.0378
7.5850e-09,0.0342
7.6083e-09,0.0347
7.6316e-09,0.0358
7.6548e-09,0.0357
7.6781e-09,0.0487
7.7014e-09,0.1032
7.7246e-09,0.2382
7.7479e-09,0.3622
7.7712e-09,0.4488
7.7944e-09,0.5020
7.8177e-09,0.5366
7.8410e-09,0.5571
7.8642e-09,0.5728
7.8875e-09,0.5864
7.9108e-09,0.6015
7.9340e-09,0.6177
7.9573e-09,0.6350
7.9806e-09,0.6503
8.0038e-09,0.6599
8.0271e-09,0.6618
8.0504e-09,0.6580
8.0736e-09,0.6548
8.0969e-09,0.6582
8.1202e-09,0.6713
8.1435e-09,0.6964
8.1667e-09,0.7387
8.1900e-09,0.8024
