.HEADER
..NAMES
Time,V U1.H6
.DATA
5.7004e-09,0.6130
5.7237e-09,0.6195
5.7469e-09,0.6305
5.7702e-09,0.6429
5.7935e-09,0.6561
5.8168e-09,0.6687
5.8400e-09,0.6764
5.8633e-09,0.6782
5.8866e-09,0.6741
5.9098e-09,0.6627
5.9331e-09,0.6467
5.9564e-09,0.6308
5.9796e-09,0.6183
6.0029e-09,0.6145
6.0262e-09,0.6239
6.0494e-09,0.6494
6.0727e-09,0.6926
6.0960e-09,0.7526
6.1192e-09,0.8238
6.1425e-09,0.8982
6.1658e-09,0.9693
6.1890e-09,1.0310
6.2123e-09,1.0795
6.2356e-09,1.1150
6.2588e-09,1.1397
6.2821e-09,1.1567
6.3054e-09,1.1695
6.3286e-09,1.1803
6.3519e-09,1.1902
6.3752e-09,1.1999
6.3984e-09,1.2105
6.4217e-09,1.2218
6.4450e-09,1.2338
6.4682e-09,1.2453
6.4915e-09,1.2546
6.5148e-09,1.2600
6.5380e-09,1.2602
6.5613e-09,1.2540
6.5846e-09,1.2414
6.6078e-09,1.2235
6.6311e-09,1.2023
6.6544e-09,1.1806
6.6776e-09,1.1615
6.7009e-09,1.1475
6.7242e-09,1.1102
6.7474e-09,1.0527
6.7707e-09,0.8972
6.7940e-09,0.7489
6.8172e-09,0.6485
6.8405e-09,0.5839
6.8638e-09,0.5502
6.8870e-09,0.5348
6.9103e-09,0.5256
6.9336e-09,0.5213
6.9568e-09,0.5155
6.9801e-09,0.5056
7.0034e-09,0.4966
7.0266e-09,0.4886
7.0499e-09,0.4815
7.0732e-09,0.4798
7.0964e-09,0.4850
7.1197e-09,0.4959
7.1430e-09,0.5141
7.1662e-09,0.5362
7.1895e-09,0.5558
7.2128e-09,0.5699
7.2360e-09,0.5737
7.2593e-09,0.5606
7.2826e-09,0.5283
7.3058e-09,0.4773
7.3291e-09,0.4098
7.3524e-09,0.3393
7.3756e-09,0.3049
7.3989e-09,0.3705
7.4222e-09,0.4857
7.4454e-09,0.5652
7.4687e-09,0.6137
7.4920e-09,0.6351
7.5152e-09,0.6334
7.5385e-09,0.6244
7.5618e-09,0.6102
7.5850e-09,0.5976
7.6083e-09,0.5919
7.6316e-09,0.5864
7.6548e-09,0.5804
7.6781e-09,0.5747
7.7014e-09,0.5669
7.7246e-09,0.5568
7.7479e-09,0.5480
7.7712e-09,0.5403
7.7944e-09,0.5356
7.8177e-09,0.5386
7.8410e-09,0.5509
7.8642e-09,0.5736
7.8875e-09,0.6099
7.9108e-09,0.6590
7.9340e-09,0.7196
7.9573e-09,0.7867
7.9806e-09,0.8296
8.0038e-09,0.8222
8.0271e-09,0.7226
8.0504e-09,0.6324
8.0736e-09,0.5730
8.0969e-09,0.5454
8.1202e-09,0.5382
8.1435e-09,0.5413
8.1667e-09,0.5480
8.1900e-09,0.5571
8.2133e-09,0.5618
8.2365e-09,0.5619
8.2598e-09,0.5617
8.2831e-09,0.5596
8.3063e-09,0.5555
8.3296e-09,0.5529
