.HEADER
..NAMES
Time,V U1.W2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0165
5.119e-10,0.0625
5.351e-10,0.2015
5.584e-10,0.3476
5.817e-10,0.4652
6.049e-10,0.5434
6.282e-10,0.5979
6.515e-10,0.6265
6.747e-10,0.6409
6.980e-10,0.6476
7.213e-10,0.6515
7.445e-10,0.6545
7.678e-10,0.6581
7.911e-10,0.6615
8.143e-10,0.6641
8.376e-10,0.6664
8.609e-10,0.6665
8.841e-10,0.6643
9.074e-10,0.6615
9.307e-10,0.6592
9.539e-10,0.6575
9.772e-10,0.6551
1.0005e-09,0.6548
1.0237e-09,0.6626
1.0470e-09,0.6839
1.0703e-09,0.7204
1.0935e-09,0.7731
1.1168e-09,0.8392
1.1401e-09,0.9111
1.1633e-09,0.9817
1.1866e-09,1.0455
1.2099e-09,1.0986
1.2332e-09,1.1401
1.2564e-09,1.1710
1.2797e-09,1.1927
1.3030e-09,1.2065
1.3262e-09,1.2153
1.3495e-09,1.2223
1.3728e-09,1.2293
1.3960e-09,1.2357
1.4193e-09,1.2408
1.4426e-09,1.2447
1.4658e-09,1.2484
1.4891e-09,1.2523
1.5124e-09,1.2561
1.5356e-09,1.2591
1.5589e-09,1.2594
1.5822e-09,1.2541
1.6054e-09,1.2418
1.6287e-09,1.2231
1.6520e-09,1.2007
1.6752e-09,1.1781
1.6985e-09,1.1590
1.7218e-09,1.1454
1.7450e-09,1.1378
1.7683e-09,1.1367
1.7916e-09,1.1414
1.8148e-09,1.1497
1.8381e-09,1.1591
1.8614e-09,1.1676
1.8846e-09,1.1741
1.9079e-09,1.1783
1.9312e-09,1.1808
1.9544e-09,1.1823
1.9777e-09,1.1836
2.0010e-09,1.1847
2.0242e-09,1.1851
2.0475e-09,1.1844
2.0708e-09,1.1836
2.0940e-09,1.1840
2.1173e-09,1.1871
2.1406e-09,1.1935
2.1638e-09,1.2022
2.1871e-09,1.2119
2.2104e-09,1.2208
2.2336e-09,1.2276
2.2569e-09,1.2308
2.2802e-09,1.2301
2.3034e-09,1.2259
2.3267e-09,1.2193
2.3500e-09,1.1807
2.3732e-09,1.1161
2.3965e-09,0.9521
2.4198e-09,0.7938
2.4430e-09,0.6856
2.4663e-09,0.6119
2.4896e-09,0.5679
2.5128e-09,0.5437
2.5361e-09,0.5305
2.5594e-09,0.5241
2.5826e-09,0.5208
2.6059e-09,0.5179
2.6292e-09,0.5140
2.6524e-09,0.5093
2.6757e-09,0.5040
2.6990e-09,0.4984
2.7222e-09,0.4946
2.7455e-09,0.4934
2.7688e-09,0.4943
2.7920e-09,0.4962
2.8153e-09,0.4993
2.8386e-09,0.5049
2.8618e-09,0.5094
2.8851e-09,0.5042
2.9084e-09,0.4823
2.9316e-09,0.4431
2.9549e-09,0.3867
2.9782e-09,0.3175
3.0014e-09,0.2444
3.0247e-09,0.1749
3.0480e-09,0.1140
3.0712e-09,0.0646
3.0945e-09,0.0268
3.1178e-09,-0.0012
3.1410e-09,-0.0205
3.1643e-09,-0.0324
3.1876e-09,-0.0396
3.2108e-09,-0.0452
3.2341e-09,-0.0506
3.2574e-09,-0.0553
3.2806e-09,-0.0588
3.3039e-09,-0.0619
3.3272e-09,-0.0661
3.3504e-09,-0.0718
3.3737e-09,-0.0780
3.3970e-09,-0.0831
3.4202e-09,-0.0842
3.4435e-09,-0.0779
3.4668e-09,-0.0628
3.4901e-09,-0.0404
3.5133e-09,-0.0141
3.5366e-09,0.0115
3.5599e-09,0.0326
3.5831e-09,0.0475
3.6064e-09,0.0638
3.6297e-09,0.1039
3.6529e-09,0.2247
3.6762e-09,0.3787
3.6995e-09,0.4973
3.7227e-09,0.5780
3.7460e-09,0.6281
3.7693e-09,0.6556
3.7925e-09,0.6683
3.8158e-09,0.6727
3.8391e-09,0.6749
3.8623e-09,0.6772
3.8856e-09,0.6817
3.9089e-09,0.6878
3.9321e-09,0.6933
3.9554e-09,0.6966
3.9787e-09,0.6937
4.0019e-09,0.6836
4.0252e-09,0.6689
4.0485e-09,0.6533
4.0717e-09,0.6392
4.0950e-09,0.6273
4.1183e-09,0.6205
4.1415e-09,0.6254
4.1648e-09,0.6477
4.1881e-09,0.6885
4.2113e-09,0.7384
4.2346e-09,0.7771
4.2579e-09,0.7569
4.2811e-09,0.6650
4.3044e-09,0.5873
4.3277e-09,0.5439
4.3509e-09,0.5228
4.3742e-09,0.5197
4.3975e-09,0.5244
4.4207e-09,0.5290
4.4440e-09,0.5317
