.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
5.7469e-09,0.9203
5.7702e-09,0.8992
5.7935e-09,0.8459
5.8168e-09,0.7483
5.8400e-09,0.5882
5.8633e-09,0.4641
5.8866e-09,0.3903
5.9098e-09,0.3513
5.9331e-09,0.3364
5.9564e-09,0.3361
5.9796e-09,0.3313
6.0029e-09,0.3106
6.0262e-09,0.2808
6.0494e-09,0.2540
6.0727e-09,0.2428
6.0960e-09,0.2525
6.1192e-09,0.2822
6.1425e-09,0.3256
6.1658e-09,0.3721
6.1890e-09,0.4075
6.2123e-09,0.4201
6.2356e-09,0.4068
6.2588e-09,0.3745
6.2821e-09,0.3331
6.3054e-09,0.2916
6.3286e-09,0.2602
6.3519e-09,0.2478
6.3752e-09,0.2554
6.3984e-09,0.2747
6.4217e-09,0.3067
6.4450e-09,0.3861
6.4682e-09,0.5537
6.4915e-09,0.7003
6.5148e-09,0.7830
6.5380e-09,0.8230
6.5613e-09,0.8415
6.5846e-09,0.8433
6.6078e-09,0.8470
6.6311e-09,0.8680
6.6544e-09,0.8999
6.6776e-09,0.9268
6.7009e-09,0.9370
6.7242e-09,0.9255
6.7474e-09,0.8939
6.7707e-09,0.8485
6.7940e-09,0.7997
6.8172e-09,0.7617
6.8405e-09,0.7474
6.8638e-09,0.7598
6.8870e-09,0.7919
6.9103e-09,0.8338
6.9336e-09,0.8768
6.9568e-09,0.9097
6.9801e-09,0.9234
7.0034e-09,0.9170
7.0266e-09,0.8868
7.0499e-09,0.8293
7.0732e-09,0.7086
7.0964e-09,0.5539
7.1197e-09,0.4411
7.1430e-09,0.3772
7.1662e-09,0.3436
7.1895e-09,0.3352
7.2128e-09,0.3359
7.2360e-09,0.3269
7.2593e-09,0.3027
7.2826e-09,0.2721
7.3058e-09,0.2485
7.3291e-09,0.2430
7.3524e-09,0.2587
7.3756e-09,0.2930
7.3989e-09,0.3386
7.4222e-09,0.3836
7.4454e-09,0.4137
7.4687e-09,0.4189
7.4920e-09,0.3993
7.5152e-09,0.3635
7.5385e-09,0.3213
7.5618e-09,0.2814
7.5850e-09,0.2546
7.6083e-09,0.2482
7.6316e-09,0.2602
7.6548e-09,0.2814
7.6781e-09,0.3212
7.7014e-09,0.4240
7.7246e-09,0.6004
7.7479e-09,0.7196
7.7712e-09,0.7947
7.7944e-09,0.8305
7.8177e-09,0.8414
7.8410e-09,0.8412
7.8642e-09,0.8509
7.8875e-09,0.8762
7.9108e-09,0.9085
7.9340e-09,0.9319
7.9573e-09,0.9364
7.9806e-09,0.9190
8.0038e-09,0.8825
8.0271e-09,0.8348
8.0504e-09,0.7875
8.0736e-09,0.7553
8.0969e-09,0.7487
8.1202e-09,0.7675
8.1435e-09,0.8033
8.1667e-09,0.8464
