.HEADER
..NAMES
Time,V U1.H5
.DATA
5.7469e-09,1.1953
5.7702e-09,1.2054
5.7935e-09,1.2121
5.8168e-09,1.2149
5.8400e-09,1.2146
5.8633e-09,1.2096
5.8866e-09,1.1984
5.9098e-09,1.1830
5.9331e-09,1.1648
5.9564e-09,1.1491
5.9796e-09,1.1382
6.0029e-09,1.1340
6.0262e-09,1.1360
6.0494e-09,1.1415
6.0727e-09,1.1504
6.0960e-09,1.1377
6.1192e-09,1.0936
6.1425e-09,0.9695
6.1658e-09,0.8236
6.1890e-09,0.7102
6.2123e-09,0.6517
6.2356e-09,0.6175
6.2588e-09,0.5963
6.2821e-09,0.5797
6.3054e-09,0.5637
6.3286e-09,0.5469
6.3519e-09,0.5315
6.3752e-09,0.5190
6.3984e-09,0.5099
6.4217e-09,0.5045
6.4450e-09,0.5023
6.4682e-09,0.5040
6.4915e-09,0.5098
6.5148e-09,0.5206
6.5380e-09,0.5347
6.5613e-09,0.5499
6.5846e-09,0.5633
6.6078e-09,0.5739
6.6311e-09,0.5805
6.6544e-09,0.5834
6.6776e-09,0.5831
6.7009e-09,0.5788
6.7242e-09,0.5710
6.7474e-09,0.5603
6.7707e-09,0.5481
6.7940e-09,0.5370
6.8172e-09,0.5289
6.8405e-09,0.5243
6.8638e-09,0.5231
6.8870e-09,0.5238
6.9103e-09,0.5242
6.9336e-09,0.5232
6.9568e-09,0.5204
6.9801e-09,0.5161
7.0034e-09,0.5119
7.0266e-09,0.5082
7.0499e-09,0.5055
7.0732e-09,0.5035
7.0964e-09,0.5017
7.1197e-09,0.5004
7.1430e-09,0.4998
7.1662e-09,0.5003
7.1895e-09,0.5018
7.2128e-09,0.5039
7.2360e-09,0.5062
7.2593e-09,0.5081
7.2826e-09,0.5094
7.3058e-09,0.5099
7.3291e-09,0.5098
7.3524e-09,0.5094
7.3756e-09,0.5089
7.3989e-09,0.5084
7.4222e-09,0.5078
7.4454e-09,0.5074
7.4687e-09,0.5071
7.4920e-09,0.5073
