.HEADER
..NAMES
Time,V U1.J1
.DATA
5.6771e-09,0.6826
5.7004e-09,0.6980
5.7237e-09,0.7211
5.7469e-09,0.7578
5.7702e-09,0.8074
5.7935e-09,0.8664
5.8168e-09,0.9321
5.8400e-09,0.9998
5.8633e-09,1.0630
5.8866e-09,1.1177
5.9098e-09,1.1623
5.9331e-09,1.1974
5.9564e-09,1.2236
5.9796e-09,1.2404
6.0029e-09,1.2492
6.0262e-09,1.2521
6.0494e-09,1.2507
6.0727e-09,1.2467
6.0960e-09,1.2412
6.1192e-09,1.2355
6.1425e-09,1.2310
6.1658e-09,1.2285
6.1890e-09,1.2288
6.2123e-09,1.2310
6.2356e-09,1.2326
6.2588e-09,1.2308
6.2821e-09,1.2240
6.3054e-09,1.2121
6.3286e-09,1.1958
6.3519e-09,1.1775
6.3752e-09,1.1608
6.3984e-09,1.1404
6.4217e-09,1.0910
6.4450e-09,0.9919
6.4682e-09,0.8204
6.4915e-09,0.6835
6.5148e-09,0.5947
6.5380e-09,0.5364
6.5613e-09,0.5079
6.5846e-09,0.4995
6.6078e-09,0.5011
6.6311e-09,0.5076
6.6544e-09,0.5152
6.6776e-09,0.5228
6.7009e-09,0.5274
6.7242e-09,0.5278
6.7474e-09,0.5254
6.7707e-09,0.5212
6.7940e-09,0.5169
6.8172e-09,0.5137
6.8405e-09,0.5131
6.8638e-09,0.5130
6.8870e-09,0.5118
6.9103e-09,0.5073
6.9336e-09,0.4962
6.9568e-09,0.4732
6.9801e-09,0.4324
7.0034e-09,0.3751
7.0266e-09,0.3071
7.0499e-09,0.2332
7.0732e-09,0.1592
7.0964e-09,0.0920
7.1197e-09,0.0362
7.1430e-09,-0.0072
7.1662e-09,-0.0394
7.1895e-09,-0.0617
7.2128e-09,-0.0741
7.2360e-09,-0.0778
7.2593e-09,-0.0753
7.2826e-09,-0.0693
7.3058e-09,-0.0622
7.3291e-09,-0.0560
7.3524e-09,-0.0523
7.3756e-09,-0.0520
7.3989e-09,-0.0547
7.4222e-09,-0.0595
7.4454e-09,-0.0645
7.4687e-09,-0.0663
7.4920e-09,-0.0616
7.5152e-09,-0.0496
7.5385e-09,-0.0308
7.5618e-09,-0.0072
7.5850e-09,0.0178
7.6083e-09,0.0400
7.6316e-09,0.0565
7.6548e-09,0.0667
7.6781e-09,0.0710
7.7014e-09,0.0703
7.7246e-09,0.0649
7.7479e-09,0.0558
7.7712e-09,0.0444
7.7944e-09,0.0321
7.8177e-09,0.0202
7.8410e-09,0.0101
7.8642e-09,0.0030
7.8875e-09,-0.0002
7.9108e-09,0.0005
7.9340e-09,0.0044
7.9573e-09,0.0103
7.9806e-09,0.0163
8.0038e-09,0.0202
8.0271e-09,0.0202
8.0504e-09,0.0157
8.0736e-09,0.0071
8.0969e-09,-0.0037
8.1202e-09,-0.0142
8.1435e-09,-0.0224
8.1667e-09,-0.0273
8.1900e-09,-0.0288
8.2133e-09,-0.0273
8.2365e-09,-0.0233
8.2598e-09,-0.0174
8.2831e-09,-0.0104
8.3063e-09,-0.0029
8.3296e-09,0.0045
8.3529e-09,0.0108
8.3761e-09,0.0152
8.3994e-09,0.0171
8.4227e-09,0.0163
8.4459e-09,0.0129
8.4692e-09,0.0077
8.4925e-09,0.0017
8.5157e-09,-0.0037
8.5390e-09,-0.0072
