.HEADER
..NAMES
Time,V U1.G2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0165
5.119e-10,0.0627
5.351e-10,0.2022
5.584e-10,0.3494
5.817e-10,0.4677
6.049e-10,0.5446
6.282e-10,0.5930
6.515e-10,0.6127
6.747e-10,0.6209
6.980e-10,0.6233
7.213e-10,0.6229
7.445e-10,0.6260
7.678e-10,0.6348
7.911e-10,0.6430
8.143e-10,0.6500
8.376e-10,0.6584
8.609e-10,0.6627
8.841e-10,0.6600
9.074e-10,0.6537
9.307e-10,0.6454
9.539e-10,0.6341
9.772e-10,0.6239
1.0005e-09,0.6216
1.0237e-09,0.6272
1.0470e-09,0.6430
1.0703e-09,0.6739
1.0935e-09,0.7213
1.1168e-09,0.7814
1.1401e-09,0.8513
1.1633e-09,0.9263
1.1866e-09,0.9979
1.2099e-09,1.0590
1.2332e-09,1.1077
1.2564e-09,1.1431
1.2797e-09,1.1655
1.3030e-09,1.1791
1.3262e-09,1.1883
1.3495e-09,1.1950
1.3728e-09,1.2010
1.3960e-09,1.2086
1.4193e-09,1.2176
1.4426e-09,1.2267
1.4658e-09,1.2358
1.4891e-09,1.2444
1.5124e-09,1.2506
1.5356e-09,1.2531
1.5589e-09,1.2522
1.5822e-09,1.2472
1.6054e-09,1.2377
1.6287e-09,1.2246
1.6520e-09,1.2089
1.6752e-09,1.1909
1.6985e-09,1.1723
1.7218e-09,1.1307
1.7450e-09,1.0616
1.7683e-09,0.9089
1.7916e-09,0.7482
1.8148e-09,0.6385
1.8381e-09,0.5702
1.8614e-09,0.5384
1.8846e-09,0.5314
1.9079e-09,0.5312
1.9312e-09,0.5312
1.9544e-09,0.5312
1.9777e-09,0.5256
2.0010e-09,0.5136
2.0242e-09,0.5030
2.0475e-09,0.4960
2.0708e-09,0.4897
2.0940e-09,0.4889
2.1173e-09,0.4969
2.1406e-09,0.5101
2.1638e-09,0.5246
2.1871e-09,0.5415
2.2104e-09,0.5569
2.2336e-09,0.5643
2.2569e-09,0.5613
2.2802e-09,0.5462
2.3034e-09,0.5139
2.3267e-09,0.4625
2.3500e-09,0.4010
2.3732e-09,0.3648
2.3965e-09,0.4157
2.4198e-09,0.5199
2.4430e-09,0.5851
2.4663e-09,0.6214
2.4896e-09,0.6340
2.5128e-09,0.6289
2.5361e-09,0.6205
2.5594e-09,0.6128
2.5826e-09,0.6021
2.6059e-09,0.5958
2.6292e-09,0.5942
2.6524e-09,0.5908
2.6757e-09,0.5846
2.6990e-09,0.5805
2.7222e-09,0.5743
2.7455e-09,0.5621
2.7688e-09,0.5497
2.7920e-09,0.5410
2.8153e-09,0.5342
2.8386e-09,0.5334
2.8618e-09,0.5462
2.8851e-09,0.5735
2.9084e-09,0.6145
2.9316e-09,0.6729
2.9549e-09,0.7455
2.9782e-09,0.7964
3.0014e-09,0.8118
3.0247e-09,0.7257
3.0480e-09,0.6396
3.0712e-09,0.5822
3.0945e-09,0.5484
3.1178e-09,0.5372
3.1410e-09,0.5403
3.1643e-09,0.5439
3.1876e-09,0.5513
3.2108e-09,0.5598
3.2341e-09,0.5626
3.2574e-09,0.5615
3.2806e-09,0.5622
3.3039e-09,0.5618
3.3272e-09,0.5585
3.3504e-09,0.5590
3.3737e-09,0.5631
3.3970e-09,0.5662
3.4202e-09,0.5667
3.4435e-09,0.5658
3.4668e-09,0.5585
3.4901e-09,0.5403
3.5133e-09,0.5122
3.5366e-09,0.4724
3.5599e-09,0.4184
3.5831e-09,0.3537
3.6064e-09,0.2946
3.6297e-09,0.2761
3.6529e-09,0.3574
3.6762e-09,0.4655
3.6995e-09,0.5430
3.7227e-09,0.5868
3.7460e-09,0.6021
3.7693e-09,0.5999
3.7925e-09,0.5914
3.8158e-09,0.5793
3.8391e-09,0.5681
3.8623e-09,0.5635
3.8856e-09,0.5651
3.9089e-09,0.5671
3.9321e-09,0.5693
3.9554e-09,0.5738
3.9787e-09,0.5750
4.0019e-09,0.5715
4.0252e-09,0.5680
4.0485e-09,0.5665
4.0717e-09,0.5662
4.0950e-09,0.5717
4.1183e-09,0.5886
4.1415e-09,0.6166
4.1648e-09,0.6559
4.1881e-09,0.7090
4.2113e-09,0.7739
4.2346e-09,0.8451
4.2579e-09,0.9190
4.2811e-09,0.9917
4.3044e-09,1.0559
4.3277e-09,1.1074
4.3509e-09,1.1465
4.3742e-09,1.1738
4.3975e-09,1.1905
4.4207e-09,1.2003
4.4440e-09,1.2070
4.4673e-09,1.2117
4.4905e-09,1.2158
