.HEADER
..NAMES
Time,V U1.P5
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1689
1.861e-10,1.1134
2.094e-10,0.9592
2.327e-10,0.8104
2.559e-10,0.7133
2.792e-10,0.6526
3.025e-10,0.6124
3.257e-10,0.5838
3.490e-10,0.5624
3.723e-10,0.5451
3.955e-10,0.5310
4.188e-10,0.5202
4.421e-10,0.5116
4.653e-10,0.5059
4.886e-10,0.5020
5.119e-10,0.4999
5.351e-10,0.5004
5.584e-10,0.5033
5.817e-10,0.5084
6.049e-10,0.5116
6.282e-10,0.5099
6.515e-10,0.5023
6.747e-10,0.4879
6.980e-10,0.4640
7.213e-10,0.4242
7.445e-10,0.3648
7.678e-10,0.2903
7.911e-10,0.2108
8.143e-10,0.1381
8.376e-10,0.0806
8.609e-10,0.0408
8.841e-10,0.0162
9.074e-10,0.0009
9.307e-10,-0.0109
9.539e-10,-0.0230
9.772e-10,-0.0362
1.0005e-09,-0.0494
1.0237e-09,-0.0604
1.0470e-09,-0.0684
1.0703e-09,-0.0743
1.0935e-09,-0.0788
1.1168e-09,-0.0808
1.1401e-09,-0.0784
1.1633e-09,-0.0707
1.1866e-09,-0.0583
1.2099e-09,-0.0425
1.2332e-09,-0.0239
1.2564e-09,-0.0023
1.2797e-09,0.0212
1.3030e-09,0.0436
1.3262e-09,0.0611
1.3495e-09,0.0701
1.3728e-09,0.0694
1.3960e-09,0.0607
1.4193e-09,0.0481
1.4426e-09,0.0364
1.4658e-09,0.0291
1.4891e-09,0.0276
1.5124e-09,0.0302
1.5356e-09,0.0335
1.5589e-09,0.0347
1.5822e-09,0.0329
1.6054e-09,0.0289
1.6287e-09,0.0237
1.6520e-09,0.0176
1.6752e-09,0.0104
1.6985e-09,0.0023
1.7218e-09,-0.0063
1.7450e-09,-0.0144
1.7683e-09,-0.0214
1.7916e-09,-0.0268
1.8148e-09,-0.0302
1.8381e-09,-0.0310
1.8614e-09,-0.0286
1.8846e-09,-0.0232
1.9079e-09,-0.0155
1.9312e-09,-0.0072
1.9544e-09,-0.0002
1.9777e-09,0.0037
2.0010e-09,0.0035
