.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
5.7469e-09,1.2523
5.7702e-09,1.2513
5.7935e-09,1.2258
5.8168e-09,1.2024
5.8400e-09,1.1925
5.8633e-09,1.1932
5.8866e-09,1.1954
5.9098e-09,1.1916
5.9331e-09,1.1850
5.9564e-09,1.1870
5.9796e-09,1.1868
6.0029e-09,1.1462
6.0262e-09,1.0467
6.0494e-09,0.8708
6.0727e-09,0.7327
6.0960e-09,0.6479
6.1192e-09,0.5882
6.1425e-09,0.5439
6.1658e-09,0.5166
6.1890e-09,0.5167
6.2123e-09,0.5355
6.2356e-09,0.5498
6.2588e-09,0.5518
6.2821e-09,0.5441
6.3054e-09,0.5354
6.3286e-09,0.5334
6.3519e-09,0.5342
6.3752e-09,0.5278
6.3984e-09,0.5188
6.4217e-09,0.5330
6.4450e-09,0.6353
6.4682e-09,0.8395
6.4915e-09,1.0058
6.5148e-09,1.1068
6.5380e-09,1.1800
6.5613e-09,1.2288
6.5846e-09,1.2545
6.6078e-09,1.2475
6.6311e-09,1.2201
6.6544e-09,1.1992
6.6776e-09,1.1919
6.7009e-09,1.1939
6.7242e-09,1.1952
6.7474e-09,1.1900
6.7707e-09,1.1845
6.7940e-09,1.1884
6.8172e-09,1.1806
6.8405e-09,1.1336
6.8638e-09,1.0122
6.8870e-09,0.8400
6.9103e-09,0.7141
6.9336e-09,0.6343
6.9568e-09,0.5788
6.9801e-09,0.5369
7.0034e-09,0.5144
7.0266e-09,0.5198
7.0499e-09,0.5394
7.0732e-09,0.5513
7.0964e-09,0.5509
7.1197e-09,0.5419
7.1430e-09,0.5342
7.1662e-09,0.5336
7.1895e-09,0.5336
7.2128e-09,0.5257
7.2360e-09,0.5184
7.2593e-09,0.5398
7.2826e-09,0.6744
7.3058e-09,0.8896
7.3291e-09,1.0293
7.3524e-09,1.1293
7.3756e-09,1.1901
7.3989e-09,1.2367
7.4222e-09,1.2561
7.4454e-09,1.2426
7.4687e-09,1.2147
7.4920e-09,1.1965
7.5152e-09,1.1918
7.5385e-09,1.1945
7.5618e-09,1.1947
7.5850e-09,1.1885
7.6083e-09,1.1844
7.6316e-09,1.1900
7.6548e-09,1.1736
7.6781e-09,1.1179
7.7014e-09,0.9723
7.7246e-09,0.8081
7.7479e-09,0.6940
7.7712e-09,0.6226
7.7944e-09,0.5700
7.8177e-09,0.5303
7.8410e-09,0.5131
7.8642e-09,0.5235
7.8875e-09,0.5427
7.9108e-09,0.5521
7.9340e-09,0.5494
7.9573e-09,0.5399
7.9806e-09,0.5335
8.0038e-09,0.5339
8.0271e-09,0.5326
8.0504e-09,0.5237
8.0736e-09,0.5197
8.0969e-09,0.5577
8.1202e-09,0.7160
8.1435e-09,0.9206
8.1667e-09,1.0497
8.1900e-09,1.1427
8.2133e-09,1.2035
8.2365e-09,1.2432
8.2598e-09,1.2559
8.2831e-09,1.2370
8.3063e-09,1.2099
8.3296e-09,1.1945
8.3529e-09,1.1919
8.3761e-09,1.1950
8.3994e-09,1.1939
8.4227e-09,1.1870
8.4459e-09,1.1848
8.4692e-09,1.1916
8.4925e-09,1.1657
8.5157e-09,1.1042
8.5390e-09,0.9371
8.5623e-09,0.7798
8.5855e-09,0.6781
8.6088e-09,0.6108
8.6321e-09,0.5609
8.6553e-09,0.5252
8.6786e-09,0.5134
8.7019e-09,0.5276
8.7251e-09,0.5454
8.7484e-09,0.5524
8.7717e-09,0.5478
8.7949e-09,0.5382
8.8182e-09,0.5331
8.8415e-09,0.5342
8.8647e-09,0.5313
8.8880e-09,0.5218
8.9113e-09,0.5222
8.9345e-09,0.5741
8.9578e-09,0.7596
8.9811e-09,0.9511
9.0043e-09,1.0680
9.0276e-09,1.1549
9.0509e-09,1.2116
9.0741e-09,1.2479
9.0974e-09,1.2543
9.1207e-09,1.2312
9.1439e-09,1.2058
9.1672e-09,1.1931
9.1905e-09,1.1924
9.2137e-09,1.1953
9.2370e-09,1.1928
9.2603e-09,1.1858
9.2835e-09,1.1857
9.3068e-09,1.1899
9.3301e-09,1.1567
9.3533e-09,1.0754
