.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.1989
5.817e-10,1.1647
6.049e-10,1.1017
6.282e-10,0.9495
6.515e-10,0.8143
6.747e-10,0.7228
6.980e-10,0.6661
7.213e-10,0.6296
7.445e-10,0.6141
7.678e-10,0.6091
7.911e-10,0.5996
8.143e-10,0.5836
8.376e-10,0.5662
8.609e-10,0.5503
8.841e-10,0.5350
9.074e-10,0.5202
9.307e-10,0.5099
9.539e-10,0.5090
9.772e-10,0.5157
1.0005e-09,0.5316
1.0237e-09,0.5997
1.0470e-09,0.7882
1.0703e-09,0.9655
1.0935e-09,1.0930
1.1168e-09,1.1749
1.1401e-09,1.2160
1.1633e-09,1.2254
1.1866e-09,1.2137
1.2099e-09,1.2013
1.2332e-09,1.1946
1.2564e-09,1.1918
1.2797e-09,1.1914
1.3030e-09,1.1946
1.3262e-09,1.2019
1.3495e-09,1.2094
1.3728e-09,1.2108
1.3960e-09,1.2003
1.4193e-09,1.1521
1.4426e-09,1.0641
1.4658e-09,0.8937
1.4891e-09,0.7483
1.5124e-09,0.6506
1.5356e-09,0.5871
1.5589e-09,0.5540
1.5822e-09,0.5473
1.6054e-09,0.5509
1.6287e-09,0.5519
1.6520e-09,0.5495
1.6752e-09,0.5457
1.6985e-09,0.5396
1.7218e-09,0.5293
1.7450e-09,0.5175
1.7683e-09,0.5095
1.7916e-09,0.5095
1.8148e-09,0.5146
1.8381e-09,0.5332
1.8614e-09,0.6244
1.8846e-09,0.8198
1.9079e-09,0.9983
1.9312e-09,1.1076
1.9544e-09,1.1834
1.9777e-09,1.2212
2.0010e-09,1.2274
2.0242e-09,1.2167
2.0475e-09,1.2055
2.0708e-09,1.1989
2.0940e-09,1.1952
2.1173e-09,1.1936
2.1406e-09,1.1953
2.1638e-09,1.2006
2.1871e-09,1.2058
2.2104e-09,1.2051
2.2336e-09,1.1870
2.2569e-09,1.1343
2.2802e-09,1.0281
2.3034e-09,0.8612
2.3267e-09,0.7272
2.3500e-09,0.6361
2.3732e-09,0.5780
2.3965e-09,0.5510
2.4198e-09,0.5484
2.4430e-09,0.5520
2.4663e-09,0.5521
2.4896e-09,0.5487
2.5128e-09,0.5442
2.5361e-09,0.5373
2.5594e-09,0.5266
2.5826e-09,0.5151
2.6059e-09,0.5086
2.6292e-09,0.5102
2.6524e-09,0.5160
2.6757e-09,0.5421
2.6990e-09,0.6585
2.7222e-09,0.8690
2.7455e-09,1.0227
2.7688e-09,1.1308
2.7920e-09,1.1939
2.8153e-09,1.2249
2.8386e-09,1.2257
2.8618e-09,1.2142
2.8851e-09,1.2042
2.9084e-09,1.1982
2.9316e-09,1.1948
2.9549e-09,1.1938
2.9782e-09,1.1963
3.0014e-09,1.2022
3.0247e-09,1.2065
3.0480e-09,1.2040
3.0712e-09,1.1776
3.0945e-09,1.1221
3.1178e-09,0.9931
3.1410e-09,0.8297
3.1643e-09,0.7035
3.1876e-09,0.6227
3.2108e-09,0.5710
3.2341e-09,0.5489
3.2574e-09,0.5493
3.2806e-09,0.5524
3.3039e-09,0.5518
3.3272e-09,0.5481
3.3504e-09,0.5433
3.3737e-09,0.5355
3.3970e-09,0.5243
3.4202e-09,0.5133
3.4435e-09,0.5084
3.4668e-09,0.5112
3.4901e-09,0.5189
3.5133e-09,0.5521
3.5366e-09,0.6953
3.5599e-09,0.9005
3.5831e-09,1.0451
3.6064e-09,1.1468
3.6297e-09,1.2009
3.6529e-09,1.2277
3.6762e-09,1.2239
3.6995e-09,1.2117
3.7227e-09,1.2027
3.7460e-09,1.1974
3.7693e-09,1.1944
3.7925e-09,1.1939
3.8158e-09,1.1973
3.8391e-09,1.2034
3.8623e-09,1.2066
3.8856e-09,1.2028
3.9089e-09,1.1680
3.9321e-09,1.1070
3.9554e-09,0.9564
3.9787e-09,0.8025
4.0019e-09,0.6860
4.0252e-09,0.6107
4.0485e-09,0.5649
4.0717e-09,0.5483
4.0950e-09,0.5503
4.1183e-09,0.5527
4.1415e-09,0.5511
4.1648e-09,0.5472
4.1881e-09,0.5421
4.2113e-09,0.5336
4.2346e-09,0.5220
4.2579e-09,0.5116
4.2811e-09,0.5085
4.3044e-09,0.5124
4.3277e-09,0.5226
4.3509e-09,0.5710
4.3742e-09,0.7405
4.3975e-09,0.9347
4.4207e-09,1.0656
4.4440e-09,1.1606
4.4673e-09,1.2115
4.4905e-09,1.2278
4.5138e-09,1.2215
4.5371e-09,1.2095
4.5603e-09,1.2015
4.5836e-09,1.1967
4.6069e-09,1.1941
4.6301e-09,1.1943
4.6534e-09,1.1985
4.6767e-09,1.2045
4.6999e-09,1.2065
4.7232e-09,1.2003
4.7465e-09,1.1578
4.7697e-09,1.0863
4.7930e-09,0.9236
4.8163e-09,0.7745
4.8395e-09,0.6686
4.8628e-09,0.5988
4.8861e-09,0.5595
4.9093e-09,0.5484
4.9326e-09,0.5513
4.9559e-09,0.5528
4.9791e-09,0.5503
5.0024e-09,0.5463
5.0257e-09,0.5407
5.0489e-09,0.5315
5.0722e-09,0.5197
5.0955e-09,0.5104
5.1187e-09,0.5089
5.1420e-09,0.5137
5.1653e-09,0.5269
5.1885e-09,0.5925
5.2118e-09,0.7818
5.2351e-09,0.9632
5.2583e-09,1.0908
5.2816e-09,1.1718
5.3049e-09,1.2162
5.3281e-09,1.2285
5.3514e-09,1.2192
5.3747e-09,1.2077
5.3979e-09,1.2003
5.4212e-09,1.1961
5.4445e-09,1.1939
5.4677e-09,1.1949
5.4910e-09,1.1998
5.5143e-09,1.2054
5.5375e-09,1.2060
5.5608e-09,1.1952
5.5841e-09,1.1481
5.6073e-09,1.0608
5.6306e-09,0.8909
5.6539e-09,0.7490
5.6771e-09,0.6527
5.7004e-09,0.5890
5.7237e-09,0.5557
5.7469e-09,0.5486
5.7702e-09,0.5521
5.7935e-09,0.5526
5.8168e-09,0.5497
5.8400e-09,0.5454
5.8633e-09,0.5392
5.8866e-09,0.5292
5.9098e-09,0.5175
5.9331e-09,0.5094
5.9564e-09,0.5095
5.9796e-09,0.5150
6.0029e-09,0.5336
