.HEADER
..NAMES
Time,V U1.U2
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1990
3.723e-10,1.1658
3.955e-10,1.1040
4.188e-10,0.9400
4.421e-10,0.7899
4.653e-10,0.6861
4.886e-10,0.6124
5.119e-10,0.5688
5.351e-10,0.5466
5.584e-10,0.5341
5.817e-10,0.5273
6.049e-10,0.5229
6.282e-10,0.5191
6.515e-10,0.5147
6.747e-10,0.5117
6.980e-10,0.5113
7.213e-10,0.5131
7.445e-10,0.5162
7.678e-10,0.5178
7.911e-10,0.5183
8.143e-10,0.5166
8.376e-10,0.5132
8.609e-10,0.5101
8.841e-10,0.5065
9.074e-10,0.4952
9.307e-10,0.4699
9.539e-10,0.4307
9.772e-10,0.3790
1.0005e-09,0.3156
1.0237e-09,0.2453
1.0470e-09,0.1750
1.0703e-09,0.1105
1.0935e-09,0.0557
1.1168e-09,0.0140
1.1401e-09,-0.0137
1.1633e-09,-0.0293
1.1866e-09,-0.0372
1.2099e-09,-0.0420
1.2332e-09,-0.0470
1.2564e-09,-0.0529
1.2797e-09,-0.0590
1.3030e-09,-0.0640
1.3262e-09,-0.0672
1.3495e-09,-0.0694
1.3728e-09,-0.0715
1.3960e-09,-0.0726
1.4193e-09,-0.0713
1.4426e-09,-0.0677
1.4658e-09,-0.0613
1.4891e-09,-0.0510
1.5124e-09,-0.0363
1.5356e-09,-0.0180
1.5589e-09,0.0029
1.5822e-09,0.0247
1.6054e-09,0.0444
1.6287e-09,0.0586
1.6520e-09,0.0649
1.6752e-09,0.0631
1.6985e-09,0.0553
1.7218e-09,0.0445
1.7450e-09,0.0338
1.7683e-09,0.0252
1.7916e-09,0.0195
1.8148e-09,0.0168
1.8381e-09,0.0167
1.8614e-09,0.0185
1.8846e-09,0.0206
1.9079e-09,0.0216
1.9312e-09,0.0211
1.9544e-09,0.0193
1.9777e-09,0.0163
2.0010e-09,0.0126
2.0242e-09,0.0086
