.HEADER
..NAMES
Time,V U1.R2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0321
2.094e-10,0.1136
2.327e-10,0.2736
2.559e-10,0.4004
2.792e-10,0.5010
3.025e-10,0.5696
3.257e-10,0.6118
3.490e-10,0.6334
3.723e-10,0.6431
3.955e-10,0.6483
4.188e-10,0.6517
4.421e-10,0.6549
4.653e-10,0.6587
4.886e-10,0.6618
5.119e-10,0.6646
5.351e-10,0.6650
5.584e-10,0.6627
5.817e-10,0.6594
6.049e-10,0.6558
6.282e-10,0.6535
6.515e-10,0.6545
6.747e-10,0.6598
6.980e-10,0.6698
7.213e-10,0.6860
7.445e-10,0.7144
7.678e-10,0.7587
7.911e-10,0.8167
8.143e-10,0.8846
8.376e-10,0.9576
8.609e-10,1.0279
8.841e-10,1.0894
9.074e-10,1.1382
9.307e-10,1.1738
9.539e-10,1.1976
9.772e-10,1.2120
1.0005e-09,1.2199
1.0237e-09,1.2240
1.0470e-09,1.2274
1.0703e-09,1.2322
1.0935e-09,1.2389
1.1168e-09,1.2465
1.1401e-09,1.2532
1.1633e-09,1.2570
1.1866e-09,1.2575
1.2099e-09,1.2554
1.2332e-09,1.2518
1.2564e-09,1.2459
1.2797e-09,1.2369
1.3030e-09,1.2243
1.3262e-09,1.2080
1.3495e-09,1.1887
1.3728e-09,1.1686
1.3960e-09,1.1510
1.4193e-09,1.1390
1.4426e-09,1.1338
1.4658e-09,1.1355
1.4891e-09,1.1427
1.5124e-09,1.1535
1.5356e-09,1.1659
1.5589e-09,1.1774
1.5822e-09,1.1860
1.6054e-09,1.1903
1.6287e-09,1.1906
1.6520e-09,1.1880
1.6752e-09,1.1849
1.6985e-09,1.1832
1.7218e-09,1.1839
1.7450e-09,1.1868
1.7683e-09,1.1913
1.7916e-09,1.1965
1.8148e-09,1.1942
1.8381e-09,1.1563
1.8614e-09,1.0694
1.8846e-09,0.9062
1.9079e-09,0.7707
1.9312e-09,0.6818
1.9544e-09,0.6232
1.9777e-09,0.5874
2.0010e-09,0.5646
2.0242e-09,0.5485
2.0475e-09,0.5345
2.0708e-09,0.5222
2.0940e-09,0.5110
2.1173e-09,0.5022
2.1406e-09,0.4977
2.1638e-09,0.4975
2.1871e-09,0.5017
2.2104e-09,0.5090
2.2336e-09,0.5162
2.2569e-09,0.5211
2.2802e-09,0.5214
2.3034e-09,0.5163
2.3267e-09,0.5067
2.3500e-09,0.4928
2.3732e-09,0.4722
2.3965e-09,0.4394
2.4198e-09,0.3909
2.4430e-09,0.3299
2.4663e-09,0.2611
2.4896e-09,0.1903
2.5128e-09,0.1246
2.5361e-09,0.0698
2.5594e-09,0.0287
2.5826e-09,0.0006
2.6059e-09,-0.0168
2.6292e-09,-0.0266
2.6524e-09,-0.0322
2.6757e-09,-0.0226
2.6990e-09,0.0086
2.7222e-09,0.1298
2.7455e-09,0.2596
2.7688e-09,0.3556
2.7920e-09,0.4235
2.8153e-09,0.4760
2.8386e-09,0.5101
2.8618e-09,0.5322
2.8851e-09,0.5496
2.9084e-09,0.5659
2.9316e-09,0.5837
2.9549e-09,0.6059
2.9782e-09,0.6313
3.0014e-09,0.6587
3.0247e-09,0.6852
3.0480e-09,0.7058
3.0712e-09,0.7182
3.0945e-09,0.7222
3.1178e-09,0.7193
3.1410e-09,0.7126
3.1643e-09,0.7056
3.1876e-09,0.7017
3.2108e-09,0.7035
3.2341e-09,0.7175
3.2574e-09,0.7506
3.2806e-09,0.8024
3.3039e-09,0.8674
3.3272e-09,0.9391
3.3504e-09,1.0090
3.3737e-09,1.0697
3.3970e-09,1.1174
3.4202e-09,1.1515
3.4435e-09,1.1741
3.4668e-09,1.1877
3.4901e-09,1.1948
3.5133e-09,1.1976
3.5366e-09,1.1981
3.5599e-09,1.1996
3.5831e-09,1.2040
3.6064e-09,1.2120
3.6297e-09,1.2223
3.6529e-09,1.2330
3.6762e-09,1.2422
3.6995e-09,1.2495
3.7227e-09,1.2547
3.7460e-09,1.2566
3.7693e-09,1.2530
3.7925e-09,1.2424
3.8158e-09,1.2251
3.8391e-09,1.2026
3.8623e-09,1.1783
3.8856e-09,1.1568
3.9089e-09,1.1422
3.9321e-09,1.1364
3.9554e-09,1.1389
3.9787e-09,1.1474
4.0019e-09,1.1591
4.0252e-09,1.1717
4.0485e-09,1.1834
4.0717e-09,1.1924
4.0950e-09,1.1973
4.1183e-09,1.1978
4.1415e-09,1.1948
4.1648e-09,1.1900
4.1881e-09,1.1855
4.2113e-09,1.1827
4.2346e-09,1.1820
4.2579e-09,1.1832
4.2811e-09,1.1859
4.3044e-09,1.1900
4.3277e-09,1.1957
4.3509e-09,1.2032
4.3742e-09,1.2124
4.3975e-09,1.2219
4.4207e-09,1.2295
4.4440e-09,1.2333
4.4673e-09,1.2323
