.HEADER
..NAMES
Time,V U1.G5
.DATA
5.7469e-09,0.4079
5.7702e-09,0.4211
5.7935e-09,0.4440
5.8168e-09,0.4700
5.8400e-09,0.4931
5.8633e-09,0.5073
5.8866e-09,0.5057
5.9098e-09,0.4847
5.9331e-09,0.4430
5.9564e-09,0.3825
5.9796e-09,0.3101
6.0029e-09,0.2336
6.0262e-09,0.1626
6.0494e-09,0.1057
6.0727e-09,0.0677
6.0960e-09,0.0490
6.1192e-09,0.0457
6.1425e-09,0.0501
6.1658e-09,0.0544
6.1890e-09,0.0522
6.2123e-09,0.0510
6.2356e-09,0.0762
6.2588e-09,0.1680
6.2821e-09,0.2856
6.3054e-09,0.3615
6.3286e-09,0.4092
6.3519e-09,0.4389
6.3752e-09,0.4641
6.3984e-09,0.4874
6.4217e-09,0.5177
6.4450e-09,0.5567
6.4682e-09,0.5989
6.4915e-09,0.6392
6.5148e-09,0.6734
6.5380e-09,0.6973
6.5613e-09,0.7089
6.5846e-09,0.7078
6.6078e-09,0.6955
6.6311e-09,0.6754
6.6544e-09,0.6532
6.6776e-09,0.6349
6.7009e-09,0.6262
6.7242e-09,0.6332
6.7474e-09,0.6577
6.7707e-09,0.6994
6.7940e-09,0.7565
6.8172e-09,0.8243
6.8405e-09,0.8961
6.8638e-09,0.9649
6.8870e-09,1.0234
6.9103e-09,1.0666
6.9336e-09,1.0936
6.9568e-09,1.1069
6.9801e-09,1.1127
7.0034e-09,1.1177
7.0266e-09,1.1104
7.0499e-09,1.0806
7.0732e-09,0.9805
7.0964e-09,0.8433
7.1197e-09,0.7483
7.1430e-09,0.7003
7.1662e-09,0.6776
7.1895e-09,0.6644
7.2128e-09,0.6498
7.2360e-09,0.6267
7.2593e-09,0.5940
7.2826e-09,0.5558
7.3058e-09,0.5185
7.3291e-09,0.4866
7.3524e-09,0.4645
7.3756e-09,0.4537
7.3989e-09,0.4547
7.4222e-09,0.4650
7.4454e-09,0.4821
7.4687e-09,0.5013
7.4920e-09,0.5171
7.5152e-09,0.5257
7.5385e-09,0.5228
7.5618e-09,0.5042
7.5850e-09,0.4686
7.6083e-09,0.4153
7.6316e-09,0.3478
7.6548e-09,0.2728
7.6781e-09,0.1978
7.7014e-09,0.1321
7.7246e-09,0.0829
7.7479e-09,0.0526
7.7712e-09,0.0395
7.7944e-09,0.0374
7.8177e-09,0.0385
7.8410e-09,0.0360
7.8642e-09,0.0260
7.8875e-09,0.0077
7.9108e-09,-0.0162
7.9340e-09,-0.0414
7.9573e-09,-0.0631
7.9806e-09,-0.0776
8.0038e-09,-0.0829
8.0271e-09,-0.0788
8.0504e-09,-0.0667
8.0736e-09,-0.0488
8.0969e-09,-0.0282
8.1202e-09,-0.0079
8.1435e-09,0.0103
8.1667e-09,0.0253
8.1900e-09,0.0368
8.2133e-09,0.0449
8.2365e-09,0.0491
8.2598e-09,0.0493
8.2831e-09,0.0480
8.3063e-09,0.0658
8.3296e-09,0.1377
8.3529e-09,0.2840
8.3761e-09,0.4144
8.3994e-09,0.5005
8.4227e-09,0.5593
8.4459e-09,0.5966
8.4692e-09,0.6190
8.4925e-09,0.6321
8.5157e-09,0.6419
8.5390e-09,0.6495
8.5623e-09,0.6527
8.5855e-09,0.6529
8.6088e-09,0.6499
8.6321e-09,0.6442
8.6553e-09,0.6361
8.6786e-09,0.6259
8.7019e-09,0.5921
8.7251e-09,0.5306
8.7484e-09,0.3751
8.7717e-09,0.2269
8.7949e-09,0.1278
8.8182e-09,0.0705
8.8415e-09,0.0526
8.8647e-09,0.0797
8.8880e-09,0.1283
8.9113e-09,0.1890
8.9345e-09,0.2527
8.9578e-09,0.3135
8.9811e-09,0.3645
9.0043e-09,0.4034
9.0276e-09,0.4310
9.0509e-09,0.4512
9.0741e-09,0.4695
9.0974e-09,0.4900
9.1207e-09,0.5223
9.1439e-09,0.6030
9.1672e-09,0.8188
9.1905e-09,1.0110
9.2137e-09,1.1404
9.2370e-09,1.1951
9.2603e-09,1.1798
9.2835e-09,1.1298
9.3068e-09,1.0520
9.3301e-09,0.9638
9.3533e-09,0.8768
9.3766e-09,0.7981
9.3999e-09,0.7341
9.4231e-09,0.6876
9.4464e-09,0.6548
9.4697e-09,0.6302
9.4929e-09,0.6069
9.5162e-09,0.5769
9.5395e-09,0.5225
9.5627e-09,0.4202
9.5860e-09,0.2533
9.6093e-09,0.1035
9.6325e-09,0.0017
9.6558e-09,-0.0419
9.6791e-09,-0.0343
9.7023e-09,0.0157
9.7256e-09,0.0967
9.7489e-09,0.1923
9.7721e-09,0.2916
9.7954e-09,0.3840
9.8187e-09,0.4602
9.8419e-09,0.5162
9.8652e-09,0.5529
9.8885e-09,0.5759
9.9117e-09,0.5917
9.9350e-09,0.6057
9.9583e-09,0.6210
9.9815e-09,0.6347
1.00048e-08,0.6443
1.00281e-08,0.6471
1.00513e-08,0.6386
1.00746e-08,0.6161
1.00979e-08,0.5757
1.01211e-08,0.5143
1.01444e-08,0.4327
1.01677e-08,0.3348
1.01909e-08,0.2299
1.02142e-08,0.1298
1.02375e-08,0.0451
1.02607e-08,-0.0179
1.02840e-08,-0.0590
1.03073e-08,-0.0827
1.03305e-08,-0.0950
