.HEADER
..NAMES
Time,V U1.G2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0338
4.188e-10,0.1306
4.421e-10,0.2774
4.653e-10,0.4175
4.886e-10,0.5080
5.119e-10,0.5726
5.351e-10,0.6048
5.584e-10,0.6166
5.817e-10,0.6222
6.049e-10,0.6224
6.282e-10,0.6236
6.515e-10,0.6302
6.747e-10,0.6391
6.980e-10,0.6462
7.213e-10,0.6543
7.445e-10,0.6614
7.678e-10,0.6620
7.911e-10,0.6569
8.143e-10,0.6499
8.376e-10,0.6399
8.609e-10,0.6283
8.841e-10,0.6218
9.074e-10,0.6235
9.307e-10,0.6336
9.539e-10,0.6565
9.772e-10,0.6961
1.0005e-09,0.7503
1.0237e-09,0.8156
1.0470e-09,0.8888
1.0703e-09,0.9631
1.0935e-09,1.0299
1.1168e-09,1.0848
1.1401e-09,1.1268
1.1633e-09,1.1554
1.1866e-09,1.1674
1.2099e-09,1.1410
1.2332e-09,1.0663
1.2564e-09,0.9033
1.2797e-09,0.7680
1.3030e-09,0.6787
1.3262e-09,0.6251
1.3495e-09,0.6040
1.3728e-09,0.6014
1.3960e-09,0.6016
1.4193e-09,0.6031
1.4426e-09,0.6019
1.4658e-09,0.5912
1.4891e-09,0.5728
1.5124e-09,0.5530
1.5356e-09,0.5310
1.5589e-09,0.5066
1.5822e-09,0.4868
1.6054e-09,0.4744
1.6287e-09,0.4803
1.6520e-09,0.5519
1.6752e-09,0.7558
1.6985e-09,0.9353
1.7218e-09,1.0646
1.7450e-09,1.1412
1.7683e-09,1.1560
1.7916e-09,1.1311
1.8148e-09,1.0799
1.8381e-09,1.0091
1.8614e-09,0.9285
1.8846e-09,0.8526
1.9079e-09,0.7890
1.9312e-09,0.7364
1.9544e-09,0.6983
1.9777e-09,0.6768
2.0010e-09,0.6613
2.0242e-09,0.6367
2.0475e-09,0.5940
2.0708e-09,0.4782
2.0940e-09,0.3123
2.1173e-09,0.1579
2.1406e-09,0.0451
2.1638e-09,-0.0211
2.1871e-09,-0.0423
2.2104e-09,-0.0175
2.2336e-09,0.0327
2.2569e-09,0.1012
2.2802e-09,0.1804
2.3034e-09,0.2597
2.3267e-09,0.3339
2.3500e-09,0.4008
2.3732e-09,0.4570
2.3965e-09,0.5028
2.4198e-09,0.5416
2.4430e-09,0.5748
2.4663e-09,0.6211
2.4896e-09,0.7468
2.5128e-09,0.9711
2.5361e-09,1.1244
2.5594e-09,1.2289
2.5826e-09,1.2771
2.6059e-09,1.2624
2.6292e-09,1.2241
2.6524e-09,1.1673
2.6757e-09,1.0931
2.6990e-09,1.0118
2.7222e-09,0.9350
2.7455e-09,0.8622
2.7688e-09,0.7939
2.7920e-09,0.7361
2.8153e-09,0.6884
2.8386e-09,0.6415
2.8618e-09,0.5965
2.8851e-09,0.5580
2.9084e-09,0.5234
2.9316e-09,0.4933
2.9549e-09,0.4752
2.9782e-09,0.4725
3.0014e-09,0.4830
3.0247e-09,0.5116
3.0480e-09,0.5634
3.0712e-09,0.6359
3.0945e-09,0.7243
3.1178e-09,0.8244
3.1410e-09,0.9263
3.1643e-09,1.0179
3.1876e-09,1.0947
3.2108e-09,1.1563
3.2341e-09,1.2019
3.2574e-09,1.2348
3.2806e-09,1.2396
3.3039e-09,1.2092
3.3272e-09,1.0892
3.3504e-09,0.9423
3.3737e-09,0.8307
3.3970e-09,0.7574
3.4202e-09,0.7111
3.4435e-09,0.6881
3.4668e-09,0.6743
3.4901e-09,0.6593
3.5133e-09,0.6449
3.5366e-09,0.6252
3.5599e-09,0.5961
3.5831e-09,0.5644
3.6064e-09,0.5344
3.6297e-09,0.5026
3.6529e-09,0.4730
3.6762e-09,0.4517
3.6995e-09,0.4419
3.7227e-09,0.4700
3.7460e-09,0.6082
3.7693e-09,0.8113
3.7925e-09,0.9747
3.8158e-09,1.0796
3.8391e-09,1.1281
3.8623e-09,1.1222
3.8856e-09,1.0837
3.9089e-09,1.0253
3.9321e-09,0.9535
3.9554e-09,0.8809
3.9787e-09,0.8193
4.0019e-09,0.7689
4.0252e-09,0.7291
4.0485e-09,0.7036
4.0717e-09,0.6883
4.0950e-09,0.6739
4.1183e-09,0.6365
4.1415e-09,0.5743
4.1648e-09,0.4159
4.1881e-09,0.2434
4.2113e-09,0.1132
4.2346e-09,0.0208
4.2579e-09,-0.0281
4.2811e-09,-0.0228
4.3044e-09,0.0121
4.3277e-09,0.0696
4.3509e-09,0.1423
4.3742e-09,0.2200
4.3975e-09,0.2956
4.4207e-09,0.3662
4.4440e-09,0.4285
4.4673e-09,0.4792
