.HEADER
..NAMES
Time,V U1.F1
.DATA
5.7469e-09,0.6858
5.7702e-09,0.6509
5.7935e-09,0.6047
5.8168e-09,0.4985
5.8400e-09,0.3294
5.8633e-09,0.1733
5.8866e-09,0.0543
5.9098e-09,-0.0192
5.9331e-09,-0.0542
5.9564e-09,-0.0438
5.9796e-09,-0.0005
6.0029e-09,0.0576
6.0262e-09,0.1241
6.0494e-09,0.1973
6.0727e-09,0.2720
6.0960e-09,0.3394
6.1192e-09,0.3959
6.1425e-09,0.4454
6.1658e-09,0.4910
6.1890e-09,0.5309
6.2123e-09,0.5626
6.2356e-09,0.5877
6.2588e-09,0.6091
6.2821e-09,0.6245
6.3054e-09,0.6292
6.3286e-09,0.6228
6.3519e-09,0.6060
6.3752e-09,0.5774
6.3984e-09,0.5338
6.4217e-09,0.4760
6.4450e-09,0.4090
6.4682e-09,0.3372
6.4915e-09,0.2637
6.5148e-09,0.1926
6.5380e-09,0.1284
6.5613e-09,0.0728
6.5846e-09,0.0242
6.6078e-09,-0.0172
6.6311e-09,-0.0376
6.6544e-09,-0.0202
6.6776e-09,0.0701
6.7009e-09,0.1952
6.7242e-09,0.2922
6.7474e-09,0.3738
6.7707e-09,0.4399
6.7940e-09,0.4706
6.8172e-09,0.4830
6.8405e-09,0.4916
6.8638e-09,0.5009
6.8870e-09,0.5067
6.9103e-09,0.5133
6.9336e-09,0.5288
6.9568e-09,0.5533
6.9801e-09,0.5805
7.0034e-09,0.6066
7.0266e-09,0.6197
7.0499e-09,0.6112
7.0732e-09,0.5141
7.0964e-09,0.3659
7.1197e-09,0.2349
7.1430e-09,0.1300
7.1662e-09,0.0649
7.1895e-09,0.0394
7.2128e-09,0.0465
7.2360e-09,0.0758
7.2593e-09,0.1157
7.2826e-09,0.1640
7.3058e-09,0.2187
7.3291e-09,0.2737
7.3524e-09,0.3227
7.3756e-09,0.3651
7.3989e-09,0.4037
7.4222e-09,0.4375
7.4454e-09,0.4662
7.4687e-09,0.5150
7.4920e-09,0.6611
7.5152e-09,0.8762
7.5385e-09,1.0419
7.5618e-09,1.1474
7.5850e-09,1.2065
7.6083e-09,1.2131
7.6316e-09,1.1807
7.6548e-09,1.1292
7.6781e-09,1.0722
7.7014e-09,1.0070
7.7246e-09,0.9352
7.7479e-09,0.8691
7.7712e-09,0.8163
7.7944e-09,0.7711
7.8177e-09,0.7262
7.8410e-09,0.6841
7.8642e-09,0.6287
7.8875e-09,0.5514
7.9108e-09,0.3874
7.9340e-09,0.2012
7.9573e-09,0.0613
7.9806e-09,-0.0434
8.0038e-09,-0.1042
8.0271e-09,-0.1174
8.0504e-09,-0.0853
8.0736e-09,-0.0273
8.0969e-09,0.0425
8.1202e-09,0.1224
8.1435e-09,0.2073
8.1667e-09,0.2873
8.1900e-09,0.3548
8.2133e-09,0.4115
8.2365e-09,0.4628
8.2598e-09,0.5079
8.2831e-09,0.5445
8.3063e-09,0.5736
8.3296e-09,0.5987
8.3529e-09,0.6194
8.3761e-09,0.6308
8.3994e-09,0.6317
8.4227e-09,0.6234
8.4459e-09,0.6050
8.4692e-09,0.5724
8.4925e-09,0.5239
8.5157e-09,0.4633
8.5390e-09,0.3947
8.5623e-09,0.3207
8.5855e-09,0.2454
8.6088e-09,0.1744
8.6321e-09,0.1112
8.6553e-09,0.0552
8.6786e-09,0.0057
8.7019e-09,-0.0353
8.7251e-09,-0.0658
8.7484e-09,-0.0869
8.7717e-09,-0.1011
8.7949e-09,-0.1087
8.8182e-09,-0.1102
8.8415e-09,-0.1087
8.8647e-09,-0.1076
8.8880e-09,-0.1071
8.9113e-09,-0.1054
8.9345e-09,-0.1017
8.9578e-09,-0.0974
8.9811e-09,-0.0924
9.0043e-09,-0.0849
9.0276e-09,-0.0736
9.0509e-09,-0.0593
9.0741e-09,-0.0427
9.0974e-09,-0.0238
9.1207e-09,0.0018
9.1439e-09,0.0523
9.1672e-09,0.1657
9.1905e-09,0.3461
9.2137e-09,0.4830
9.2370e-09,0.5882
9.2603e-09,0.6634
9.2835e-09,0.6989
9.3068e-09,0.7063
9.3301e-09,0.7017
9.3533e-09,0.6942
9.3766e-09,0.6836
9.3999e-09,0.6710
9.4231e-09,0.6645
9.4464e-09,0.6665
9.4697e-09,0.6719
9.4929e-09,0.6749
9.5162e-09,0.6771
9.5395e-09,0.6789
9.5627e-09,0.6759
9.5860e-09,0.6654
9.6093e-09,0.6513
9.6325e-09,0.6396
9.6558e-09,0.6304
9.6791e-09,0.6244
9.7023e-09,0.6286
9.7256e-09,0.6504
9.7489e-09,0.6908
9.7721e-09,0.7453
9.7954e-09,0.8111
9.8187e-09,0.8856
9.8419e-09,0.9615
9.8652e-09,1.0297
9.8885e-09,1.0863
9.9117e-09,1.1331
9.9350e-09,1.1710
9.9583e-09,1.1978
9.9815e-09,1.2133
1.00048e-08,1.2215
1.00281e-08,1.2257
1.00513e-08,1.2264
1.00746e-08,1.2240
1.00979e-08,1.2220
1.01211e-08,1.2236
1.01444e-08,1.2285
1.01677e-08,1.2345
1.01909e-08,1.2412
1.02142e-08,1.2486
1.02375e-08,1.2548
1.02607e-08,1.2565
1.02840e-08,1.2523
1.03073e-08,1.2426
