.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
5.7469e-09,0.9124
5.7702e-09,0.9203
5.7935e-09,0.9289
5.8168e-09,0.9362
5.8400e-09,0.9342
5.8633e-09,0.9191
5.8866e-09,0.8927
5.9098e-09,0.8592
5.9331e-09,0.8251
5.9564e-09,0.7965
5.9796e-09,0.7717
6.0029e-09,0.7392
6.0262e-09,0.6597
6.0494e-09,0.5339
6.0727e-09,0.4311
6.0960e-09,0.3639
6.1192e-09,0.3141
6.1425e-09,0.2828
6.1658e-09,0.2705
6.1890e-09,0.2609
6.2123e-09,0.2500
6.2356e-09,0.2436
6.2588e-09,0.2474
6.2821e-09,0.2637
6.3054e-09,0.2902
6.3286e-09,0.3225
6.3519e-09,0.3545
6.3752e-09,0.3797
6.3984e-09,0.3914
6.4217e-09,0.4012
6.4450e-09,0.4630
6.4682e-09,0.6110
6.4915e-09,0.7390
6.5148e-09,0.8159
6.5380e-09,0.8683
6.5613e-09,0.9006
6.5846e-09,0.9146
6.6078e-09,0.9218
6.6311e-09,0.9308
6.6544e-09,0.9368
6.6776e-09,0.9322
6.7009e-09,0.9146
6.7242e-09,0.8863
6.7474e-09,0.8521
6.7707e-09,0.8186
6.7940e-09,0.7919
6.8172e-09,0.7642
6.8405e-09,0.7294
6.8638e-09,0.6372
6.8870e-09,0.5120
6.9103e-09,0.4179
6.9336e-09,0.3540
6.9568e-09,0.3045
6.9801e-09,0.2801
7.0034e-09,0.2693
7.0266e-09,0.2584
7.0499e-09,0.2481
7.0732e-09,0.2434
7.0964e-09,0.2496
7.1197e-09,0.2683
7.1430e-09,0.2963
7.1662e-09,0.3290
7.1895e-09,0.3603
7.2128e-09,0.3833
7.2360e-09,0.3925
7.2593e-09,0.4042
7.2826e-09,0.4878
7.3058e-09,0.6482
7.3291e-09,0.7558
7.3524e-09,0.8312
7.3756e-09,0.8774
7.3989e-09,0.9049
7.4222e-09,0.9160
7.4454e-09,0.9237
7.4687e-09,0.9324
7.4920e-09,0.9369
7.5152e-09,0.9296
7.5385e-09,0.9096
7.5618e-09,0.8797
7.5850e-09,0.8451
7.6083e-09,0.8124
7.6316e-09,0.7879
7.6548e-09,0.7573
7.6781e-09,0.7181
7.7014e-09,0.6070
7.7246e-09,0.4852
7.7479e-09,0.4038
7.7712e-09,0.3433
7.7944e-09,0.2995
7.8177e-09,0.2764
7.8410e-09,0.2670
7.8642e-09,0.2564
7.8875e-09,0.2465
7.9108e-09,0.2436
7.9340e-09,0.2524
7.9573e-09,0.2732
7.9806e-09,0.3027
8.0038e-09,0.3355
8.0271e-09,0.3657
8.0504e-09,0.3863
8.0736e-09,0.3940
8.0969e-09,0.4149
8.1202e-09,0.5176
8.1435e-09,0.6742
8.1667e-09,0.7707
8.1900e-09,0.8411
8.2133e-09,0.8863
8.2365e-09,0.9077
8.2598e-09,0.9174
8.2831e-09,0.9253
8.3063e-09,0.9339
8.3296e-09,0.9365
8.3529e-09,0.9265
8.3761e-09,0.9043
8.3994e-09,0.8729
8.4227e-09,0.8382
8.4459e-09,0.8066
8.4692e-09,0.7845
8.4925e-09,0.7509
8.5157e-09,0.7076
8.5390e-09,0.5809
8.5623e-09,0.4667
8.5855e-09,0.3906
8.6088e-09,0.3347
8.6321e-09,0.2926
8.6553e-09,0.2744
8.6786e-09,0.2655
8.7019e-09,0.2541
8.7251e-09,0.2451
8.7484e-09,0.2444
8.7717e-09,0.2558
8.7949e-09,0.2785
8.8182e-09,0.3092
8.8415e-09,0.3420
8.8647e-09,0.3708
8.8880e-09,0.3886
8.9113e-09,0.3956
8.9345e-09,0.4242
8.9578e-09,0.5507
8.9811e-09,0.6968
9.0043e-09,0.7863
9.0276e-09,0.8495
9.0509e-09,0.8917
9.0741e-09,0.9109
9.0974e-09,0.9187
9.1207e-09,0.9272
9.1439e-09,0.9352
9.1672e-09,0.9355
9.1905e-09,0.9230
9.2137e-09,0.8986
9.2370e-09,0.8660
9.2603e-09,0.8315
9.2835e-09,0.8014
9.3068e-09,0.7791
9.3301e-09,0.7453
9.3533e-09,0.6834
9.3766e-09,0.5572
9.3999e-09,0.4492
9.4231e-09,0.3783
9.4464e-09,0.3212
9.4697e-09,0.2886
9.4929e-09,0.2729
9.5162e-09,0.2626
9.5395e-09,0.2519
9.5627e-09,0.2442
9.5860e-09,0.2456
9.6093e-09,0.2595
9.6325e-09,0.2841
9.6558e-09,0.3157
9.6791e-09,0.3483
9.7023e-09,0.3753
