.HEADER
..NAMES
Time,V U1.P1
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1685
1.861e-10,1.1112
2.094e-10,0.9504
2.327e-10,0.7893
2.559e-10,0.6727
2.792e-10,0.5922
3.025e-10,0.5390
3.257e-10,0.5112
3.490e-10,0.4991
3.723e-10,0.4956
3.955e-10,0.4960
4.188e-10,0.4977
4.421e-10,0.4995
4.653e-10,0.5007
4.886e-10,0.5009
5.119e-10,0.5002
5.351e-10,0.4994
5.584e-10,0.4988
5.817e-10,0.5000
6.049e-10,0.5024
6.282e-10,0.5039
6.515e-10,0.5035
6.747e-10,0.5004
6.980e-10,0.4932
7.213e-10,0.4787
7.445e-10,0.4510
7.678e-10,0.4077
7.911e-10,0.3521
8.143e-10,0.2893
8.376e-10,0.2232
8.609e-10,0.1588
8.841e-10,0.1010
9.074e-10,0.0523
9.307e-10,0.0135
9.539e-10,-0.0162
9.772e-10,-0.0382
1.0005e-09,-0.0471
1.0237e-09,-0.0283
1.0470e-09,0.0518
1.0703e-09,0.2033
1.0935e-09,0.3157
1.1168e-09,0.4136
1.1401e-09,0.4893
1.1633e-09,0.5310
1.1866e-09,0.5553
1.2099e-09,0.5624
1.2332e-09,0.5617
1.2564e-09,0.5588
1.2797e-09,0.5586
1.3030e-09,0.5652
1.3262e-09,0.5796
1.3495e-09,0.6015
1.3728e-09,0.6282
1.3960e-09,0.6560
1.4193e-09,0.6806
1.4426e-09,0.6984
1.4658e-09,0.7093
1.4891e-09,0.7158
1.5124e-09,0.7203
1.5356e-09,0.7237
1.5589e-09,0.7278
1.5822e-09,0.7380
1.6054e-09,0.7607
1.6287e-09,0.7970
1.6520e-09,0.8448
1.6752e-09,0.9013
1.6985e-09,0.9627
1.7218e-09,1.0237
1.7450e-09,1.0804
1.7683e-09,1.1302
1.7916e-09,1.1716
1.8148e-09,1.2034
1.8381e-09,1.2252
1.8614e-09,1.2368
1.8846e-09,1.2394
1.9079e-09,1.2350
1.9312e-09,1.2272
1.9544e-09,1.2198
1.9777e-09,1.2156
2.0010e-09,1.2154
2.0242e-09,1.2188
2.0475e-09,1.2252
