.HEADER
..NAMES
Time,V U1.L6
.DATA
5.7237e-09,0.0195
5.7469e-09,0.0106
5.7702e-09,0.0004
5.7935e-09,-0.0108
5.8168e-09,-0.0216
5.8400e-09,-0.0294
5.8633e-09,-0.0323
5.8866e-09,-0.0298
5.9098e-09,-0.0234
5.9331e-09,-0.0157
5.9564e-09,-0.0096
5.9796e-09,-0.0066
6.0029e-09,-0.0067
6.0262e-09,-0.0085
6.0494e-09,-0.0102
6.0727e-09,-0.0104
6.0960e-09,-0.0087
6.1192e-09,-0.0054
6.1425e-09,-0.0010
6.1658e-09,0.0038
6.1890e-09,0.0082
6.2123e-09,0.0119
6.2356e-09,0.0146
6.2588e-09,0.0164
6.2821e-09,0.0174
6.3054e-09,0.0173
6.3286e-09,0.0157
6.3519e-09,0.0126
6.3752e-09,0.0085
6.3984e-09,0.0042
6.4217e-09,0.0011
6.4450e-09,-0.0001
6.4682e-09,0.0007
6.4915e-09,0.0027
6.5148e-09,0.0044
6.5380e-09,0.0048
6.5613e-09,0.0035
6.5846e-09,0.0011
6.6078e-09,-0.0017
6.6311e-09,-0.0039
6.6544e-09,-0.0051
6.6776e-09,-0.0054
6.7009e-09,-0.0051
6.7242e-09,-0.0045
6.7474e-09,-0.0036
6.7707e-09,-0.0024
6.7940e-09,-0.0008
6.8172e-09,0.0010
6.8405e-09,0.0170
6.8638e-09,0.0615
6.8870e-09,0.1999
6.9103e-09,0.3377
6.9336e-09,0.4318
6.9568e-09,0.4843
6.9801e-09,0.5245
7.0034e-09,0.5527
7.0266e-09,0.5777
7.0499e-09,0.6023
7.0732e-09,0.6246
7.0964e-09,0.6414
7.1197e-09,0.6529
7.1430e-09,0.6593
7.1662e-09,0.6622
7.1895e-09,0.6634
7.2128e-09,0.6621
7.2360e-09,0.6568
7.2593e-09,0.6475
7.2826e-09,0.6375
7.3058e-09,0.6339
7.3291e-09,0.6446
7.3524e-09,0.6767
7.3756e-09,0.7305
7.3989e-09,0.8026
7.4222e-09,0.8835
7.4454e-09,0.9612
7.4687e-09,1.0250
7.4920e-09,1.0701
7.5152e-09,1.0993
7.5385e-09,1.1203
7.5618e-09,1.1406
7.5850e-09,1.1636
7.6083e-09,1.1881
7.6316e-09,1.2105
7.6548e-09,1.2057
7.6781e-09,1.1653
7.7014e-09,1.0423
7.7246e-09,0.8995
7.7479e-09,0.8028
7.7712e-09,0.7477
7.7944e-09,0.7039
7.8177e-09,0.6542
7.8410e-09,0.5992
7.8642e-09,0.5434
7.8875e-09,0.4954
7.9108e-09,0.4618
7.9340e-09,0.4436
7.9573e-09,0.4387
7.9806e-09,0.4423
8.0038e-09,0.4492
8.0271e-09,0.4574
8.0504e-09,0.4657
8.0736e-09,0.4745
8.0969e-09,0.4813
8.1202e-09,0.4818
8.1435e-09,0.4710
8.1667e-09,0.4443
8.1900e-09,0.3992
8.2133e-09,0.3381
8.2365e-09,0.2687
8.2598e-09,0.2027
8.2831e-09,0.1511
8.3063e-09,0.1181
8.3296e-09,0.0994
8.3529e-09,0.0853
8.3761e-09,0.0667
8.3994e-09,0.0401
8.4227e-09,0.0087
8.4459e-09,-0.0212
8.4692e-09,-0.0444
8.4925e-09,-0.0593
8.5157e-09,-0.0676
8.5390e-09,-0.0718
8.5623e-09,-0.0731
8.5855e-09,-0.0709
8.6088e-09,-0.0630
8.6321e-09,-0.0479
8.6553e-09,-0.0266
8.6786e-09,-0.0026
8.7019e-09,0.0194
8.7251e-09,0.0353
