.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
0.0e+00,0.8982
2.33e-11,0.8982
4.65e-11,0.8982
6.98e-11,0.8982
9.31e-11,0.8982
1.163e-10,0.8982
1.396e-10,0.8982
1.629e-10,0.8982
1.861e-10,0.8982
2.094e-10,0.8982
2.327e-10,0.8982
2.559e-10,0.8982
2.792e-10,0.8982
3.025e-10,0.8982
3.257e-10,0.8982
3.490e-10,0.8982
3.723e-10,0.8982
3.955e-10,0.8982
4.188e-10,0.8982
4.421e-10,0.8982
4.653e-10,0.8982
4.886e-10,0.8982
5.119e-10,0.8982
5.351e-10,0.8982
5.584e-10,0.8968
5.817e-10,0.8649
6.049e-10,0.8014
6.282e-10,0.6459
6.515e-10,0.5084
6.747e-10,0.4145
6.980e-10,0.3459
7.213e-10,0.3051
7.445e-10,0.2919
7.678e-10,0.2896
7.911e-10,0.2844
8.143e-10,0.2753
8.376e-10,0.2686
8.609e-10,0.2706
8.841e-10,0.2829
9.074e-10,0.3040
9.307e-10,0.3318
9.539e-10,0.3624
9.772e-10,0.3871
1.0005e-09,0.4037
1.0237e-09,0.4497
1.0470e-09,0.5885
1.0703e-09,0.7254
1.0935e-09,0.8023
1.1168e-09,0.8471
1.1401e-09,0.8724
1.1633e-09,0.8810
1.1866e-09,0.8874
1.2099e-09,0.9007
1.2332e-09,0.9184
1.2564e-09,0.9292
1.2797e-09,0.9232
1.3030e-09,0.8989
1.3262e-09,0.8614
1.3495e-09,0.8186
1.3728e-09,0.7785
1.3960e-09,0.7463
1.4193e-09,0.7124
1.4426e-09,0.6494
1.4658e-09,0.5322
1.4891e-09,0.4410
1.5124e-09,0.3842
1.5356e-09,0.3476
1.5589e-09,0.3210
1.5822e-09,0.3021
1.6054e-09,0.2846
1.6287e-09,0.2633
1.6520e-09,0.2464
1.6752e-09,0.2429
1.6985e-09,0.2588
1.7218e-09,0.2913
1.7450e-09,0.3327
1.7683e-09,0.3741
1.7916e-09,0.4064
1.8148e-09,0.4200
1.8381e-09,0.4222
1.8614e-09,0.4668
1.8846e-09,0.5966
1.9079e-09,0.7182
1.9312e-09,0.7840
1.9544e-09,0.8323
1.9777e-09,0.8683
2.0010e-09,0.8903
2.0242e-09,0.9056
2.0475e-09,0.9225
2.0708e-09,0.9350
2.0940e-09,0.9328
2.1173e-09,0.9119
2.1406e-09,0.8766
2.1638e-09,0.8351
2.1871e-09,0.7957
2.2104e-09,0.7654
2.2336e-09,0.7411
2.2569e-09,0.7175
2.2802e-09,0.6407
2.3034e-09,0.5263
2.3267e-09,0.4361
2.3500e-09,0.3772
2.3732e-09,0.3324
2.3965e-09,0.3043
2.4198e-09,0.2876
2.4430e-09,0.2724
2.4663e-09,0.2577
2.4896e-09,0.2493
2.5128e-09,0.2538
2.5361e-09,0.2744
2.5594e-09,0.3068
2.5826e-09,0.3439
2.6059e-09,0.3786
2.6292e-09,0.4035
2.6524e-09,0.4109
2.6757e-09,0.4170
2.6990e-09,0.4810
2.7222e-09,0.6308
2.7455e-09,0.7374
2.7688e-09,0.8051
2.7920e-09,0.8476
2.8153e-09,0.8788
2.8386e-09,0.8939
2.8618e-09,0.9056
2.8851e-09,0.9195
2.9084e-09,0.9292
2.9316e-09,0.9251
2.9549e-09,0.9042
2.9782e-09,0.8708
3.0014e-09,0.8320
3.0247e-09,0.7948
3.0480e-09,0.7663
3.0712e-09,0.7379
3.0945e-09,0.7116
3.1178e-09,0.6149
3.1410e-09,0.4980
3.1643e-09,0.4184
3.1876e-09,0.3650
3.2108e-09,0.3257
3.2341e-09,0.3037
3.2574e-09,0.2888
3.2806e-09,0.2739
3.3039e-09,0.2587
3.3272e-09,0.2501
3.3504e-09,0.2553
3.3737e-09,0.2769
3.3970e-09,0.3102
3.4202e-09,0.3479
3.4435e-09,0.3829
3.4668e-09,0.4070
3.4901e-09,0.4136
3.5133e-09,0.4238
3.5366e-09,0.5100
3.5599e-09,0.6595
3.5831e-09,0.7518
3.6064e-09,0.8152
3.6297e-09,0.8543
3.6529e-09,0.8798
3.6762e-09,0.8941
3.6995e-09,0.9074
3.7227e-09,0.9225
3.7460e-09,0.9314
3.7693e-09,0.9244
3.7925e-09,0.9003
3.8158e-09,0.8643
3.8391e-09,0.8242
3.8623e-09,0.7870
3.8856e-09,0.7607
3.9089e-09,0.7304
3.9321e-09,0.6995
3.9554e-09,0.5874
3.9787e-09,0.4786
4.0019e-09,0.4081
4.0252e-09,0.3599
4.0485e-09,0.3225
4.0717e-09,0.2998
4.0950e-09,0.2863
4.1183e-09,0.2699
4.1415e-09,0.2550
4.1648e-09,0.2489
4.1881e-09,0.2580
4.2113e-09,0.2831
4.2346e-09,0.3183
4.2579e-09,0.3563
4.2811e-09,0.3897
4.3044e-09,0.4101
4.3277e-09,0.4143
4.3509e-09,0.4334
4.3742e-09,0.5412
4.3975e-09,0.6809
4.4207e-09,0.7645
4.4440e-09,0.8230
4.4673e-09,0.8620
4.4905e-09,0.8844
4.5138e-09,0.8971
4.5371e-09,0.9111
4.5603e-09,0.9254
4.5836e-09,0.9313
4.6069e-09,0.9203
4.6301e-09,0.8931
4.6534e-09,0.8558
4.6767e-09,0.8161
4.6999e-09,0.7808
4.7232e-09,0.7566
4.7465e-09,0.7263
4.7697e-09,0.6841
4.7930e-09,0.5647
4.8163e-09,0.4618
4.8395e-09,0.3980
4.8628e-09,0.3492
4.8861e-09,0.3162
4.9093e-09,0.2973
4.9326e-09,0.2825
4.9559e-09,0.2666
4.9791e-09,0.2532
5.0024e-09,0.2498
5.0257e-09,0.2623
5.0489e-09,0.2897
5.0722e-09,0.3259
5.0955e-09,0.3633
5.1187e-09,0.3947
5.1420e-09,0.4115
5.1653e-09,0.4146
5.1885e-09,0.4451
5.2118e-09,0.5703
5.2351e-09,0.7017
5.2583e-09,0.7793
5.2816e-09,0.8305
5.3049e-09,0.8680
5.3281e-09,0.8872
5.3514e-09,0.8996
5.3747e-09,0.9139
5.3979e-09,0.9274
5.4212e-09,0.9304
5.4445e-09,0.9160
5.4677e-09,0.8864
5.4910e-09,0.8480
5.5143e-09,0.8087
5.5375e-09,0.7752
5.5608e-09,0.7506
5.5841e-09,0.7226
5.6073e-09,0.6612
5.6306e-09,0.5430
5.6539e-09,0.4470
5.6771e-09,0.3849
5.7004e-09,0.3417
5.7237e-09,0.3127
5.7469e-09,0.2942
5.7702e-09,0.2798
5.7935e-09,0.2637
5.8168e-09,0.2516
5.8400e-09,0.2509
5.8633e-09,0.2667
5.8866e-09,0.2963
5.9098e-09,0.3334
5.9331e-09,0.3703
5.9564e-09,0.3995
5.9796e-09,0.4125
6.0029e-09,0.4165
6.0262e-09,0.4637
6.0494e-09,0.5983
6.0727e-09,0.7226
