.HEADER
..NAMES
Time,V U1.F2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0337
4.188e-10,0.1300
4.421e-10,0.2757
4.653e-10,0.4150
4.886e-10,0.5068
5.119e-10,0.5778
5.351e-10,0.6149
5.584e-10,0.6258
5.817e-10,0.6302
6.049e-10,0.6328
6.282e-10,0.6321
6.515e-10,0.6309
6.747e-10,0.6363
6.980e-10,0.6453
7.213e-10,0.6520
7.445e-10,0.6565
7.678e-10,0.6612
7.911e-10,0.6392
8.143e-10,0.5657
8.376e-10,0.4041
8.609e-10,0.2465
8.841e-10,0.1293
9.074e-10,0.0285
9.307e-10,-0.0212
9.539e-10,-0.0240
9.772e-10,-0.0012
1.0005e-09,0.0393
1.0237e-09,0.0949
1.0470e-09,0.1623
1.0703e-09,0.2287
1.0935e-09,0.2859
1.1168e-09,0.3375
1.1401e-09,0.3849
1.1633e-09,0.4223
1.1866e-09,0.4483
1.2099e-09,0.4724
1.2332e-09,0.4983
1.2564e-09,0.5211
1.2797e-09,0.5374
1.3030e-09,0.5503
1.3262e-09,0.5600
1.3495e-09,0.5586
1.3728e-09,0.5409
1.3960e-09,0.5098
1.4193e-09,0.4680
1.4426e-09,0.4140
1.4658e-09,0.3502
1.4891e-09,0.2848
1.5124e-09,0.2230
1.5356e-09,0.1637
1.5589e-09,0.1069
1.5822e-09,0.0568
1.6054e-09,0.0152
1.6287e-09,-0.0117
1.6520e-09,-0.0069
1.6752e-09,0.0764
1.6985e-09,0.2067
1.7218e-09,0.3117
1.7450e-09,0.3926
1.7683e-09,0.4516
1.7916e-09,0.4843
1.8148e-09,0.4964
1.8381e-09,0.4998
1.8614e-09,0.5017
1.8846e-09,0.5020
1.9079e-09,0.5062
1.9312e-09,0.5196
1.9544e-09,0.5404
1.9777e-09,0.5648
2.0010e-09,0.5913
2.0242e-09,0.6202
2.0475e-09,0.6464
2.0708e-09,0.6638
2.0940e-09,0.6732
2.1173e-09,0.6788
2.1406e-09,0.6822
2.1638e-09,0.6833
2.1871e-09,0.6873
2.2104e-09,0.7008
2.2336e-09,0.7250
2.2569e-09,0.7589
2.2802e-09,0.8030
2.3034e-09,0.8572
2.3267e-09,0.9165
2.3500e-09,0.9750
2.3732e-09,1.0298
2.3965e-09,1.0796
2.4198e-09,1.1211
2.4430e-09,1.1519
2.4663e-09,1.1734
2.4896e-09,1.1880
2.5128e-09,1.1960
2.5361e-09,1.1974
2.5594e-09,1.1956
2.5826e-09,1.1941
2.6059e-09,1.1941
2.6292e-09,1.1957
2.6524e-09,1.2002
2.6757e-09,1.2086
2.6990e-09,1.2187
2.7222e-09,1.2276
2.7455e-09,1.2341
2.7688e-09,1.2377
2.7920e-09,1.2367
2.8153e-09,1.2299
2.8386e-09,1.2189
2.8618e-09,1.1889
2.8851e-09,1.1280
2.9084e-09,0.9888
2.9316e-09,0.8088
2.9549e-09,0.6743
2.9782e-09,0.5814
3.0014e-09,0.5226
3.0247e-09,0.4993
3.0480e-09,0.4984
3.0712e-09,0.5025
3.0945e-09,0.5082
3.1178e-09,0.5174
3.1410e-09,0.5243
3.1643e-09,0.5227
3.1876e-09,0.5163
3.2108e-09,0.5108
3.2341e-09,0.5050
3.2574e-09,0.4958
3.2806e-09,0.4892
3.3039e-09,0.4922
3.3272e-09,0.5015
3.3504e-09,0.5122
3.3737e-09,0.5240
3.3970e-09,0.5370
3.4202e-09,0.5437
3.4435e-09,0.5348
3.4668e-09,0.5090
3.4901e-09,0.4683
3.5133e-09,0.4132
3.5366e-09,0.3451
3.5599e-09,0.2722
3.5831e-09,0.2036
3.6064e-09,0.1422
3.6297e-09,0.0882
3.6529e-09,0.0443
3.6762e-09,0.0126
3.6995e-09,-0.0100
3.7227e-09,-0.0272
3.7460e-09,-0.0383
3.7693e-09,-0.0420
3.7925e-09,-0.0418
3.8158e-09,-0.0418
3.8391e-09,-0.0427
3.8623e-09,-0.0444
3.8856e-09,-0.0488
3.9089e-09,-0.0578
3.9321e-09,-0.0686
3.9554e-09,-0.0775
3.9787e-09,-0.0832
4.0019e-09,-0.0849
4.0252e-09,-0.0799
4.0485e-09,-0.0664
4.0717e-09,-0.0472
4.0950e-09,-0.0258
4.1183e-09,-0.0040
4.1415e-09,0.0166
4.1648e-09,0.0331
4.1881e-09,0.0433
4.2113e-09,0.0487
4.2346e-09,0.0511
4.2579e-09,0.0509
4.2811e-09,0.0476
4.3044e-09,0.0426
4.3277e-09,0.0368
4.3509e-09,0.0302
4.3742e-09,0.0229
4.3975e-09,0.0169
4.4207e-09,0.0139
4.4440e-09,0.0138
