.HEADER
..NAMES
Time,V U1.K1
.DATA
5.7004e-09,0.0588
5.7237e-09,0.0517
5.7469e-09,0.0436
5.7702e-09,0.0355
5.7935e-09,0.0280
5.8168e-09,0.0215
5.8400e-09,0.0165
5.8633e-09,0.0135
5.8866e-09,0.0124
5.9098e-09,0.0124
5.9331e-09,0.0132
5.9564e-09,0.0149
5.9796e-09,0.0175
6.0029e-09,0.0204
6.0262e-09,0.0219
6.0494e-09,0.0206
6.0727e-09,0.0158
6.0960e-09,0.0080
6.1192e-09,-0.0023
6.1425e-09,-0.0135
6.1658e-09,-0.0235
6.1890e-09,-0.0298
6.2123e-09,-0.0313
6.2356e-09,-0.0285
6.2588e-09,-0.0228
6.2821e-09,-0.0159
6.3054e-09,-0.0093
6.3286e-09,-0.0037
6.3519e-09,0.0005
6.3752e-09,0.0035
6.3984e-09,0.0051
6.4217e-09,0.0054
6.4450e-09,0.0049
6.4682e-09,0.0039
6.4915e-09,0.0025
6.5148e-09,0.0006
6.5380e-09,-0.0017
6.5613e-09,-0.0041
6.5846e-09,-0.0057
6.6078e-09,-0.0061
6.6311e-09,-0.0050
6.6544e-09,-0.0020
6.6776e-09,0.0025
6.7009e-09,0.0080
6.7242e-09,0.0131
6.7474e-09,0.0162
6.7707e-09,0.0167
6.7940e-09,0.0144
6.8172e-09,0.0103
6.8405e-09,0.0200
6.8638e-09,0.0590
6.8870e-09,0.1951
6.9103e-09,0.3391
6.9336e-09,0.4535
6.9568e-09,0.5348
6.9801e-09,0.5965
7.0034e-09,0.6290
7.0266e-09,0.6445
7.0499e-09,0.6514
7.0732e-09,0.6552
7.0964e-09,0.6573
7.1197e-09,0.6595
7.1430e-09,0.6617
7.1662e-09,0.6642
7.1895e-09,0.6664
7.2128e-09,0.6677
7.2360e-09,0.6675
7.2593e-09,0.6654
7.2826e-09,0.6606
7.3058e-09,0.6551
7.3291e-09,0.6525
7.3524e-09,0.6561
7.3756e-09,0.6641
7.3989e-09,0.6762
7.4222e-09,0.6955
7.4454e-09,0.7288
7.4687e-09,0.7777
7.4920e-09,0.8374
7.5152e-09,0.9028
7.5385e-09,0.9707
7.5618e-09,1.0358
7.5850e-09,1.0925
7.6083e-09,1.1379
7.6316e-09,1.1721
7.6548e-09,1.1739
7.6781e-09,1.1374
7.7014e-09,1.0124
7.7246e-09,0.8600
7.7479e-09,0.7441
7.7712e-09,0.6651
7.7944e-09,0.6111
7.8177e-09,0.5819
