.HEADER
..NAMES
Time,V U1.E3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1990
3.723e-10,1.1657
3.955e-10,1.1039
4.188e-10,0.9397
4.421e-10,0.7887
4.653e-10,0.6840
4.886e-10,0.6096
5.119e-10,0.5682
5.351e-10,0.5533
5.584e-10,0.5467
5.817e-10,0.5409
6.049e-10,0.5387
6.282e-10,0.5378
6.515e-10,0.5313
6.747e-10,0.5210
6.980e-10,0.5138
7.213e-10,0.5090
7.445e-10,0.5028
7.678e-10,0.4974
7.911e-10,0.5081
8.143e-10,0.5719
8.376e-10,0.7655
8.609e-10,0.9509
8.841e-10,1.0938
9.074e-10,1.1872
9.307e-10,1.2163
9.539e-10,1.2004
9.772e-10,1.1586
1.0005e-09,1.1026
1.0237e-09,1.0291
1.0470e-09,0.9493
1.0703e-09,0.8809
1.0935e-09,0.8253
1.1168e-09,0.7732
1.1401e-09,0.7294
1.1633e-09,0.7013
1.1866e-09,0.6817
1.2099e-09,0.6578
1.2332e-09,0.6323
1.2564e-09,0.6125
1.2797e-09,0.5948
1.3030e-09,0.5751
1.3262e-09,0.5608
1.3495e-09,0.5623
1.3728e-09,0.5787
1.3960e-09,0.6087
1.4193e-09,0.6586
1.4426e-09,0.7295
1.4658e-09,0.8102
1.4891e-09,0.8903
1.5124e-09,0.9700
1.5356e-09,1.0480
1.5589e-09,1.1157
1.5822e-09,1.1695
1.6054e-09,1.2079
1.6287e-09,1.2045
1.6520e-09,1.1403
1.6752e-09,0.9840
1.6985e-09,0.8515
1.7218e-09,0.7651
1.7450e-09,0.6975
1.7683e-09,0.6581
1.7916e-09,0.6422
1.8148e-09,0.6351
1.8381e-09,0.6283
1.8614e-09,0.6244
1.8846e-09,0.6205
1.9079e-09,0.6095
1.9312e-09,0.5904
1.9544e-09,0.5686
1.9777e-09,0.5451
2.0010e-09,0.5173
2.0242e-09,0.4894
2.0475e-09,0.4865
