.HEADER
..NAMES
Time,V U1.L5
.DATA
5.6539e-09,-0.0001
5.6771e-09,0.0015
5.7004e-09,0.0027
5.7237e-09,0.0033
5.7469e-09,0.0031
5.7702e-09,0.0024
5.7935e-09,0.0015
5.8168e-09,0.0008
5.8400e-09,0.0004
5.8633e-09,0.0001
5.8866e-09,-0.0002
5.9098e-09,-0.0006
5.9331e-09,-0.0010
5.9564e-09,-0.0012
5.9796e-09,-0.0011
6.0029e-09,-0.0006
6.0262e-09,0.0001
6.0494e-09,0.0010
6.0727e-09,0.0017
6.0960e-09,0.0021
6.1192e-09,0.0021
6.1425e-09,0.0016
6.1658e-09,0.0009
6.1890e-09,-0.0000
6.2123e-09,-0.0007
6.2356e-09,-0.0009
6.2588e-09,-0.0007
6.2821e-09,0.0000
6.3054e-09,0.0008
6.3286e-09,0.0014
6.3519e-09,0.0017
6.3752e-09,0.0016
6.3984e-09,0.0014
6.4217e-09,0.0012
6.4450e-09,0.0011
6.4682e-09,0.0011
6.4915e-09,0.0010
6.5148e-09,0.0008
6.5380e-09,0.0005
6.5613e-09,0.0002
6.5846e-09,-0.0001
6.6078e-09,-0.0001
6.6311e-09,0.0000
6.6544e-09,0.0004
6.6776e-09,0.0009
6.7009e-09,0.0013
6.7242e-09,0.0015
6.7474e-09,0.0015
6.7707e-09,0.0013
6.7940e-09,0.0008
6.8172e-09,0.0003
6.8405e-09,-0.0000
6.8638e-09,-0.0001
6.8870e-09,-0.0000
6.9103e-09,0.0003
6.9336e-09,0.0006
6.9568e-09,0.0008
6.9801e-09,0.0009
7.0034e-09,0.0009
7.0266e-09,0.0008
7.0499e-09,0.0008
7.0732e-09,0.0009
7.0964e-09,0.0010
7.1197e-09,0.0010
7.1430e-09,0.0009
7.1662e-09,0.0007
7.1895e-09,0.0005
7.2128e-09,0.0003
7.2360e-09,0.0002
7.2593e-09,0.0003
7.2826e-09,0.0005
7.3058e-09,0.0008
7.3291e-09,0.0010
7.3524e-09,0.0012
7.3756e-09,0.0012
7.3989e-09,0.0010
7.4222e-09,0.0008
7.4454e-09,0.0006
7.4687e-09,0.0004
7.4920e-09,0.0004
7.5152e-09,0.0005
7.5385e-09,0.0006
7.5618e-09,0.0007
7.5850e-09,0.0007
7.6083e-09,0.0007
7.6316e-09,0.0007
7.6548e-09,0.0020
7.6781e-09,0.0214
7.7014e-09,0.0815
7.7246e-09,0.2341
7.7479e-09,0.3639
7.7712e-09,0.4660
7.7944e-09,0.5335
7.8177e-09,0.5731
7.8410e-09,0.5993
7.8642e-09,0.6148
7.8875e-09,0.6263
7.9108e-09,0.6372
7.9340e-09,0.6461
7.9573e-09,0.6541
7.9806e-09,0.6600
8.0038e-09,0.6643
8.0271e-09,0.6666
8.0504e-09,0.6667
8.0736e-09,0.6639
8.0969e-09,0.6596
8.1202e-09,0.6560
8.1435e-09,0.6566
8.1667e-09,0.6634
8.1900e-09,0.6785
8.2133e-09,0.7048
8.2365e-09,0.7477
8.2598e-09,0.8082
8.2831e-09,0.8815
8.3063e-09,0.9590
8.3296e-09,1.0313
8.3529e-09,1.0905
8.3761e-09,1.1337
8.3994e-09,1.1624
8.4227e-09,1.1806
8.4459e-09,1.1934
8.4692e-09,1.2043
8.4925e-09,1.2152
8.5157e-09,1.2254
8.5390e-09,1.2340
8.5623e-09,1.2409
8.5855e-09,1.2467
8.6088e-09,1.2514
8.6321e-09,1.2538
8.6553e-09,1.2524
8.6786e-09,1.2467
8.7019e-09,1.2371
8.7251e-09,1.2239
8.7484e-09,1.2070
8.7717e-09,1.1868
8.7949e-09,1.1651
8.8182e-09,1.1451
8.8415e-09,1.1302
8.8647e-09,1.1235
8.8880e-09,1.1256
8.9113e-09,1.1351
8.9345e-09,1.1485
8.9578e-09,1.1615
8.9811e-09,1.1708
9.0043e-09,1.1752
9.0276e-09,1.1760
9.0509e-09,1.1756
9.0741e-09,1.1758
9.0974e-09,1.1774
9.1207e-09,1.1802
9.1439e-09,1.1838
9.1672e-09,1.1885
9.1905e-09,1.1942
9.2137e-09,1.2007
9.2370e-09,1.2079
9.2603e-09,1.2151
9.2835e-09,1.2217
9.3068e-09,1.2240
9.3301e-09,1.1905
9.3533e-09,1.1163
9.3766e-09,0.9516
9.3999e-09,0.8046
9.4231e-09,0.7033
9.4464e-09,0.6351
9.4697e-09,0.5896
9.4929e-09,0.5611
9.5162e-09,0.5432
9.5395e-09,0.5331
9.5627e-09,0.5258
9.5860e-09,0.5198
9.6093e-09,0.5130
9.6325e-09,0.5065
9.6558e-09,0.5002
9.6791e-09,0.4956
9.7023e-09,0.4934
9.7256e-09,0.4943
9.7489e-09,0.4972
9.7721e-09,0.4986
9.7954e-09,0.4956
9.8187e-09,0.4870
9.8419e-09,0.4711
9.8652e-09,0.4438
9.8885e-09,0.4001
9.9117e-09,0.3398
9.9350e-09,0.2688
9.9583e-09,0.1956
9.9815e-09,0.1293
1.00048e-08,0.0756
1.00281e-08,0.0361
1.00513e-08,0.0085
1.00746e-08,-0.0106
1.00979e-08,-0.0248
1.01211e-08,-0.0362
1.01444e-08,-0.0458
1.01677e-08,-0.0446
1.01909e-08,-0.0182
1.02142e-08,0.0806
1.02375e-08,0.2161
1.02607e-08,0.3235
1.02840e-08,0.3918
1.03073e-08,0.4486
1.03305e-08,0.4910
1.03538e-08,0.5235
1.03771e-08,0.5551
1.04003e-08,0.5892
1.04236e-08,0.6253
1.04469e-08,0.6618
1.04702e-08,0.6945
1.04934e-08,0.7191
1.05167e-08,0.7335
1.05400e-08,0.7365
1.05632e-08,0.7296
1.05865e-08,0.7164
1.06098e-08,0.7028
1.06330e-08,0.6942
1.06563e-08,0.6941
1.06796e-08,0.7032
1.07028e-08,0.7213
1.07261e-08,0.7518
1.07494e-08,0.7983
1.07726e-08,0.8593
1.07959e-08,0.9282
1.08192e-08,0.9961
1.08424e-08,1.0541
1.08657e-08,1.0974
1.08890e-08,1.1258
1.09122e-08,1.1427
1.09355e-08,1.1531
1.09588e-08,1.1617
1.09820e-08,1.1717
1.10053e-08,1.1841
1.10286e-08,1.1984
1.10518e-08,1.2137
1.10751e-08,1.2294
1.10984e-08,1.2441
1.11216e-08,1.2553
1.11449e-08,1.2601
1.11682e-08,1.2572
1.11914e-08,1.2478
1.12147e-08,1.2343
1.12380e-08,1.2183
1.12612e-08,1.2006
1.12845e-08,1.1818
1.13078e-08,1.1634
1.13310e-08,1.1482
1.13543e-08,1.1392
1.13776e-08,1.1381
1.14008e-08,1.1446
1.14241e-08,1.1561
1.14474e-08,1.1688
1.14706e-08,1.1786
1.14939e-08,1.1831
1.15172e-08,1.1825
1.15404e-08,1.1790
1.15637e-08,1.1751
1.15870e-08,1.1724
1.16102e-08,1.1716
1.16335e-08,1.1730
1.16568e-08,1.1770
1.16800e-08,1.1838
1.17033e-08,1.1927
1.17266e-08,1.2024
1.17498e-08,1.2114
1.17731e-08,1.2186
1.17964e-08,1.2236
1.18196e-08,1.2036
1.18429e-08,1.1511
1.18662e-08,1.0123
1.18894e-08,0.8505
1.19127e-08,0.7347
1.19360e-08,0.6581
1.19592e-08,0.6056
1.19825e-08,0.5711
1.20058e-08,0.5503
1.20290e-08,0.5386
1.20523e-08,0.5316
1.20756e-08,0.5263
1.20988e-08,0.5205
1.21221e-08,0.5141
