.HEADER
..NAMES
Time,V U1.H2
.DATA
5.7469e-09,1.1576
5.7702e-09,1.1561
5.7935e-09,1.1573
5.8168e-09,1.1601
5.8400e-09,1.1634
5.8633e-09,1.1670
5.8866e-09,1.1714
5.9098e-09,1.1764
5.9331e-09,1.1810
5.9564e-09,1.1846
5.9796e-09,1.1793
6.0029e-09,1.1371
6.0262e-09,1.0421
6.0494e-09,0.8682
6.0727e-09,0.7231
6.0960e-09,0.6251
6.1192e-09,0.5586
6.1425e-09,0.5245
6.1658e-09,0.5138
6.1890e-09,0.5115
6.2123e-09,0.5121
6.2356e-09,0.5167
6.2588e-09,0.5213
6.2821e-09,0.5219
6.3054e-09,0.5210
6.3286e-09,0.5217
6.3519e-09,0.5228
6.3752e-09,0.5224
6.3984e-09,0.5243
6.4217e-09,0.5324
6.4450e-09,0.5442
6.4682e-09,0.5568
6.4915e-09,0.5705
6.5148e-09,0.5835
6.5380e-09,0.5908
6.5613e-09,0.5882
6.5846e-09,0.5758
6.6078e-09,0.5545
6.6311e-09,0.5241
6.6544e-09,0.4859
6.6776e-09,0.4423
6.7009e-09,0.3940
6.7242e-09,0.3398
6.7474e-09,0.2813
6.7707e-09,0.2222
6.7940e-09,0.1660
6.8172e-09,0.1150
6.8405e-09,0.0725
6.8638e-09,0.0415
6.8870e-09,0.0215
6.9103e-09,0.0094
6.9336e-09,0.0027
6.9568e-09,-0.0008
6.9801e-09,-0.0040
7.0034e-09,-0.0093
7.0266e-09,-0.0175
7.0499e-09,-0.0281
7.0732e-09,-0.0414
7.0964e-09,-0.0569
7.1197e-09,-0.0726
7.1430e-09,-0.0861
7.1662e-09,-0.0962
7.1895e-09,-0.1015
7.2128e-09,-0.0998
7.2360e-09,-0.0903
7.2593e-09,-0.0739
7.2826e-09,-0.0534
7.3058e-09,-0.0314
7.3291e-09,-0.0108
7.3524e-09,0.0054
7.3756e-09,0.0157
7.3989e-09,0.0207
7.4222e-09,0.0215
7.4454e-09,0.0197
7.4687e-09,0.0168
7.4920e-09,0.0142
7.5152e-09,0.0125
7.5385e-09,0.0115
7.5618e-09,0.0114
7.5850e-09,0.0125
7.6083e-09,0.0150
7.6316e-09,0.0183
7.6548e-09,0.0222
7.6781e-09,0.0261
7.7014e-09,0.0293
7.7246e-09,0.0310
7.7479e-09,0.0312
7.7712e-09,0.0299
7.7944e-09,0.0276
7.8177e-09,0.0247
7.8410e-09,0.0218
7.8642e-09,0.0189
7.8875e-09,0.0157
7.9108e-09,0.0117
7.9340e-09,0.0069
7.9573e-09,0.0013
