.HEADER
..NAMES
Time,V U1.M4
.DATA
5.7004e-09,0.6977
5.7237e-09,0.7194
5.7469e-09,0.7554
5.7702e-09,0.8080
5.7935e-09,0.8740
5.8168e-09,0.9464
5.8400e-09,1.0166
5.8633e-09,1.0775
5.8866e-09,1.1253
5.9098e-09,1.1600
5.9331e-09,1.1837
5.9564e-09,1.1996
5.9796e-09,1.2034
6.0029e-09,1.1694
6.0262e-09,1.0850
6.0494e-09,0.9230
6.0727e-09,0.7928
6.0960e-09,0.7142
6.1192e-09,0.6654
6.1425e-09,0.6362
6.1658e-09,0.6156
6.1890e-09,0.5965
6.2123e-09,0.5779
6.2356e-09,0.5578
6.2588e-09,0.5363
6.2821e-09,0.5127
6.3054e-09,0.4883
6.3286e-09,0.4641
6.3519e-09,0.4439
6.3752e-09,0.4313
6.3984e-09,0.4293
6.4217e-09,0.4368
6.4450e-09,0.4486
6.4682e-09,0.4589
6.4915e-09,0.4625
6.5148e-09,0.4558
6.5380e-09,0.4343
6.5613e-09,0.3939
6.5846e-09,0.3352
6.6078e-09,0.2643
6.6311e-09,0.1896
6.6544e-09,0.1214
6.6776e-09,0.0672
6.7009e-09,0.0300
6.7242e-09,0.0081
6.7474e-09,-0.0033
6.7707e-09,-0.0093
6.7940e-09,-0.0140
6.8172e-09,-0.0190
6.8405e-09,-0.0105
6.8638e-09,0.0235
6.8870e-09,0.1495
6.9103e-09,0.2821
6.9336e-09,0.3778
6.9568e-09,0.4333
6.9801e-09,0.4756
7.0034e-09,0.5002
7.0266e-09,0.5215
7.0499e-09,0.5464
7.0732e-09,0.5776
7.0964e-09,0.6137
7.1197e-09,0.6521
7.1430e-09,0.6878
7.1662e-09,0.7163
7.1895e-09,0.7346
7.2128e-09,0.7404
7.2360e-09,0.7341
7.2593e-09,0.7186
7.2826e-09,0.7006
7.3058e-09,0.6871
7.3291e-09,0.6837
7.3524e-09,0.6917
7.3756e-09,0.7104
7.3989e-09,0.7428
7.4222e-09,0.7917
7.4454e-09,0.8555
7.4687e-09,0.9285
7.4920e-09,1.0016
7.5152e-09,1.0650
7.5385e-09,1.1124
7.5618e-09,1.1422
7.5850e-09,1.1572
7.6083e-09,1.1630
7.6316e-09,1.1659
7.6548e-09,1.1476
7.6781e-09,1.1027
7.7014e-09,0.9774
7.7246e-09,0.8345
7.7479e-09,0.7371
7.7712e-09,0.6863
7.7944e-09,0.6584
7.8177e-09,0.6412
7.8410e-09,0.6250
7.8642e-09,0.6047
7.8875e-09,0.5799
7.9108e-09,0.5520
7.9340e-09,0.5233
7.9573e-09,0.4954
7.9806e-09,0.4703
8.0038e-09,0.4488
8.0271e-09,0.4352
8.0504e-09,0.4313
8.0736e-09,0.4391
8.0969e-09,0.4542
8.1202e-09,0.4706
8.1435e-09,0.4812
8.1667e-09,0.4810
8.1900e-09,0.4655
8.2133e-09,0.4306
8.2365e-09,0.3749
8.2598e-09,0.3031
8.2831e-09,0.2240
8.3063e-09,0.1479
8.3296e-09,0.0842
8.3529e-09,0.0387
8.3761e-09,0.0119
8.3994e-09,-0.0004
8.4227e-09,-0.0042
8.4459e-09,-0.0057
8.4692e-09,-0.0089
8.4925e-09,-0.0148
8.5157e-09,-0.0224
8.5390e-09,-0.0307
8.5623e-09,-0.0400
8.5855e-09,-0.0508
8.6088e-09,-0.0626
8.6321e-09,-0.0730
8.6553e-09,-0.0788
8.6786e-09,-0.0776
8.7019e-09,-0.0686
8.7251e-09,-0.0515
8.7484e-09,-0.0279
8.7717e-09,-0.0004
8.7949e-09,0.0270
8.8182e-09,0.0502
8.8415e-09,0.0655
8.8647e-09,0.0708
8.8880e-09,0.0663
8.9113e-09,0.0543
8.9345e-09,0.0390
8.9578e-09,0.0252
8.9811e-09,0.0164
9.0043e-09,0.0140
9.0276e-09,0.0165
9.0509e-09,0.0210
9.0741e-09,0.0252
9.0974e-09,0.0280
9.1207e-09,0.0296
9.1439e-09,0.0298
9.1672e-09,0.0284
9.1905e-09,0.0247
9.2137e-09,0.0184
9.2370e-09,0.0093
9.2603e-09,-0.0018
9.2835e-09,-0.0132
9.3068e-09,-0.0231
9.3301e-09,-0.0296
9.3533e-09,-0.0315
9.3766e-09,-0.0285
9.3999e-09,-0.0215
9.4231e-09,-0.0120
9.4464e-09,-0.0019
9.4697e-09,0.0066
9.4929e-09,0.0115
9.5162e-09,0.0117
9.5395e-09,0.0079
9.5627e-09,0.0022
9.5860e-09,-0.0031
9.6093e-09,-0.0063
9.6325e-09,-0.0068
9.6558e-09,-0.0052
9.6791e-09,-0.0024
9.7023e-09,0.0009
9.7256e-09,0.0043
9.7489e-09,0.0076
9.7721e-09,0.0111
9.7954e-09,0.0144
9.8187e-09,0.0170
9.8419e-09,0.0180
9.8652e-09,0.0168
9.8885e-09,0.0134
9.9117e-09,0.0084
9.9350e-09,0.0030
9.9583e-09,-0.0018
9.9815e-09,-0.0052
1.00048e-08,-0.0064
1.00281e-08,-0.0053
1.00513e-08,-0.0022
1.00746e-08,0.0020
1.00979e-08,0.0060
1.01211e-08,0.0084
1.01444e-08,0.0088
1.01677e-08,0.0167
1.01909e-08,0.0526
1.02142e-08,0.1680
1.02375e-08,0.3163
1.02607e-08,0.4318
1.02840e-08,0.5042
1.03073e-08,0.5578
1.03305e-08,0.5906
1.03538e-08,0.6088
1.03771e-08,0.6223
1.04003e-08,0.6346
1.04236e-08,0.6461
1.04469e-08,0.6568
1.04702e-08,0.6656
1.04934e-08,0.6713
1.05167e-08,0.6747
1.05400e-08,0.6748
1.05632e-08,0.6718
1.05865e-08,0.6655
1.06098e-08,0.6589
1.06330e-08,0.6549
1.06563e-08,0.6572
1.06796e-08,0.6672
1.07028e-08,0.6856
1.07261e-08,0.7168
1.07494e-08,0.7650
1.07726e-08,0.8289
1.07959e-08,0.9029
1.08192e-08,0.9784
1.08424e-08,1.0466
1.08657e-08,1.1013
1.08890e-08,1.1406
1.09122e-08,1.1664
1.09355e-08,1.1827
1.09588e-08,1.1941
1.09820e-08,1.2042
1.10053e-08,1.2146
1.10286e-08,1.2246
1.10518e-08,1.2333
1.10751e-08,1.2410
1.10984e-08,1.2479
1.11216e-08,1.2538
1.11449e-08,1.2569
1.11682e-08,1.2555
1.11914e-08,1.2497
1.12147e-08,1.2401
1.12380e-08,1.2271
1.12612e-08,1.2106
1.12845e-08,1.1911
1.13078e-08,1.1700
1.13310e-08,1.1501
1.13543e-08,1.1349
1.13776e-08,1.1271
1.14008e-08,1.1278
1.14241e-08,1.1359
1.14474e-08,1.1485
1.14706e-08,1.1617
1.14939e-08,1.1718
1.15172e-08,1.1770
1.15404e-08,1.1781
1.15637e-08,1.1775
1.15870e-08,1.1771
1.16102e-08,1.1777
1.16335e-08,1.1792
1.16568e-08,1.1818
1.16800e-08,1.1857
1.17033e-08,1.1910
1.17266e-08,1.1975
1.17498e-08,1.2046
1.17731e-08,1.2119
1.17964e-08,1.2187
1.18196e-08,1.2247
1.18429e-08,1.2290
