.HEADER
..NAMES
Time,V U1.T1
.DATA
5.7237e-09,0.4279
5.7469e-09,0.3937
5.7702e-09,0.3467
5.7935e-09,0.2910
5.8168e-09,0.2298
5.8400e-09,0.1673
5.8633e-09,0.1079
5.8866e-09,0.0540
5.9098e-09,0.0070
5.9331e-09,-0.0311
5.9564e-09,-0.0577
5.9796e-09,-0.0716
6.0029e-09,-0.0741
6.0262e-09,-0.0687
6.0494e-09,-0.0602
6.0727e-09,-0.0534
6.0960e-09,-0.0507
6.1192e-09,-0.0521
6.1425e-09,-0.0570
6.1658e-09,-0.0650
6.1890e-09,-0.0750
6.2123e-09,-0.0842
6.2356e-09,-0.0892
6.2588e-09,-0.0877
6.2821e-09,-0.0792
6.3054e-09,-0.0642
6.3286e-09,-0.0443
6.3519e-09,-0.0218
6.3752e-09,0.0005
6.3984e-09,0.0211
6.4217e-09,0.0389
6.4450e-09,0.0527
6.4682e-09,0.0609
6.4915e-09,0.0620
6.5148e-09,0.0560
6.5380e-09,0.0446
6.5613e-09,0.0311
6.5846e-09,0.0190
6.6078e-09,0.0107
6.6311e-09,0.0070
6.6544e-09,0.0075
6.6776e-09,0.0116
6.7009e-09,0.0181
6.7242e-09,0.0254
6.7474e-09,0.0318
6.7707e-09,0.0359
6.7940e-09,0.0366
6.8172e-09,0.0332
6.8405e-09,0.0258
6.8638e-09,0.0156
6.8870e-09,0.0041
6.9103e-09,-0.0072
6.9336e-09,-0.0174
6.9568e-09,-0.0255
6.9801e-09,-0.0304
7.0034e-09,-0.0310
7.0266e-09,-0.0270
7.0499e-09,-0.0191
7.0732e-09,-0.0092
7.0964e-09,0.0004
7.1197e-09,0.0079
7.1430e-09,0.0120
7.1662e-09,0.0126
7.1895e-09,0.0103
7.2128e-09,0.0059
7.2360e-09,0.0006
7.2593e-09,-0.0050
7.2826e-09,-0.0099
7.3058e-09,-0.0134
7.3291e-09,-0.0145
7.3524e-09,-0.0128
7.3756e-09,-0.0085
7.3989e-09,-0.0024
7.4222e-09,0.0046
7.4454e-09,0.0113
7.4687e-09,0.0171
7.4920e-09,0.0208
7.5152e-09,0.0220
7.5385e-09,0.0202
7.5618e-09,0.0156
7.5850e-09,0.0093
7.6083e-09,0.0026
7.6316e-09,-0.0032
7.6548e-09,-0.0056
7.6781e-09,0.0122
7.7014e-09,0.0724
7.7246e-09,0.2298
7.7479e-09,0.3715
7.7712e-09,0.4937
7.7944e-09,0.5863
7.8177e-09,0.6469
7.8410e-09,0.6853
7.8642e-09,0.7033
7.8875e-09,0.7088
7.9108e-09,0.7046
7.9340e-09,0.6932
7.9573e-09,0.6799
7.9806e-09,0.6668
8.0038e-09,0.6561
8.0271e-09,0.6487
8.0504e-09,0.6448
8.0736e-09,0.6437
8.0969e-09,0.6444
8.1202e-09,0.6470
8.1435e-09,0.6519
8.1667e-09,0.6591
8.1900e-09,0.6695
8.2133e-09,0.6853
8.2365e-09,0.7127
8.2598e-09,0.7542
8.2831e-09,0.8063
8.3063e-09,0.8644
8.3296e-09,0.9249
8.3529e-09,0.9841
8.3761e-09,1.0383
8.3994e-09,1.0867
8.4227e-09,1.1303
8.4459e-09,1.1689
8.4692e-09,1.2009
8.4925e-09,1.1935
8.5157e-09,1.1512
8.5390e-09,1.0002
8.5623e-09,0.8452
8.5855e-09,0.7335
8.6088e-09,0.6524
8.6321e-09,0.5992
8.6553e-09,0.5686
8.6786e-09,0.5548
8.7019e-09,0.5515
8.7251e-09,0.5543
8.7484e-09,0.5582
8.7717e-09,0.5577
8.7949e-09,0.5522
8.8182e-09,0.5419
8.8415e-09,0.5283
8.8647e-09,0.5144
8.8880e-09,0.5019
8.9113e-09,0.4925
8.9345e-09,0.4837
8.9578e-09,0.4741
8.9811e-09,0.4644
9.0043e-09,0.4543
9.0276e-09,0.4412
9.0509e-09,0.4191
9.0741e-09,0.3840
9.0974e-09,0.3377
9.1207e-09,0.2843
9.1439e-09,0.2267
9.1672e-09,0.1686
9.1905e-09,0.1142
9.2137e-09,0.0658
9.2370e-09,0.0236
9.2603e-09,-0.0114
9.2835e-09,-0.0378
9.3068e-09,-0.0543
9.3301e-09,-0.0562
9.3533e-09,-0.0299
9.3766e-09,0.0562
9.3999e-09,0.2116
9.4231e-09,0.3333
9.4464e-09,0.4292
9.4697e-09,0.5079
9.4929e-09,0.5527
9.5162e-09,0.5762
9.5395e-09,0.5856
9.5627e-09,0.5890
9.5860e-09,0.5906
9.6093e-09,0.5945
9.6325e-09,0.6033
9.6558e-09,0.6170
9.6791e-09,0.6346
9.7023e-09,0.6531
9.7256e-09,0.6703
9.7489e-09,0.6849
9.7721e-09,0.6962
9.7954e-09,0.7043
9.8187e-09,0.7090
9.8419e-09,0.7112
9.8652e-09,0.7129
9.8885e-09,0.7202
9.9117e-09,0.7415
9.9350e-09,0.7789
9.9583e-09,0.8290
9.9815e-09,0.8876
1.00048e-08,0.9505
1.00281e-08,1.0127
1.00513e-08,1.0694
1.00746e-08,1.1188
1.00979e-08,1.1605
