.HEADER
..NAMES
Time,V U1.K4
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1687
1.861e-10,1.1123
2.094e-10,0.9547
2.327e-10,0.8009
2.559e-10,0.6959
2.792e-10,0.6316
3.025e-10,0.5898
3.257e-10,0.5649
3.490e-10,0.5479
3.723e-10,0.5356
3.955e-10,0.5250
4.188e-10,0.5166
4.421e-10,0.5093
4.653e-10,0.5041
4.886e-10,0.5004
5.119e-10,0.4981
5.351e-10,0.4976
5.584e-10,0.4991
5.817e-10,0.5031
6.049e-10,0.5073
6.282e-10,0.5089
6.515e-10,0.5059
6.747e-10,0.4960
6.980e-10,0.4757
7.213e-10,0.4397
7.445e-10,0.3849
7.678e-10,0.3148
7.911e-10,0.2375
8.143e-10,0.1628
8.376e-10,0.0992
8.609e-10,0.0510
8.841e-10,0.0175
9.074e-10,-0.0047
9.307e-10,-0.0200
9.539e-10,-0.0321
9.772e-10,-0.0429
1.0005e-09,-0.0528
1.0237e-09,-0.0612
1.0470e-09,-0.0676
1.0703e-09,-0.0730
1.0935e-09,-0.0780
1.1168e-09,-0.0824
1.1401e-09,-0.0847
1.1633e-09,-0.0834
1.1866e-09,-0.0780
1.2099e-09,-0.0683
1.2332e-09,-0.0537
1.2564e-09,-0.0339
1.2797e-09,-0.0099
1.3030e-09,0.0159
1.3262e-09,0.0392
1.3495e-09,0.0561
1.3728e-09,0.0639
1.3960e-09,0.0628
1.4193e-09,0.0552
1.4426e-09,0.0450
1.4658e-09,0.0358
1.4891e-09,0.0300
1.5124e-09,0.0277
1.5356e-09,0.0277
1.5589e-09,0.0279
1.5822e-09,0.0274
1.6054e-09,0.0262
1.6287e-09,0.0247
1.6520e-09,0.0229
1.6752e-09,0.0203
1.6985e-09,0.0163
1.7218e-09,0.0106
1.7450e-09,0.0033
1.7683e-09,-0.0052
1.7916e-09,-0.0142
1.8148e-09,-0.0228
1.8381e-09,-0.0296
1.8614e-09,-0.0332
1.8846e-09,-0.0327
1.9079e-09,-0.0281
1.9312e-09,-0.0204
1.9544e-09,-0.0118
1.9777e-09,-0.0043
2.0010e-09,0.0002
