.HEADER
..NAMES
Time,V U1.K3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1687
1.861e-10,1.1121
2.094e-10,0.9533
2.327e-10,0.7966
2.559e-10,0.6859
2.792e-10,0.6142
3.025e-10,0.5686
3.257e-10,0.5426
3.490e-10,0.5286
3.723e-10,0.5201
3.955e-10,0.5143
4.188e-10,0.5098
4.421e-10,0.5055
4.653e-10,0.5021
4.886e-10,0.4995
5.119e-10,0.4974
5.351e-10,0.4969
5.584e-10,0.4980
5.817e-10,0.5018
6.049e-10,0.5056
6.282e-10,0.5069
6.515e-10,0.5048
6.747e-10,0.4977
6.980e-10,0.4847
7.213e-10,0.4617
7.445e-10,0.4233
7.678e-10,0.3687
7.911e-10,0.3021
8.143e-10,0.2293
8.376e-10,0.1581
8.609e-10,0.0956
8.841e-10,0.0461
9.074e-10,0.0104
9.307e-10,-0.0134
9.539e-10,-0.0290
9.772e-10,-0.0396
1.0005e-09,-0.0479
1.0237e-09,-0.0546
1.0470e-09,-0.0599
1.0703e-09,-0.0646
1.0935e-09,-0.0697
1.1168e-09,-0.0753
1.1401e-09,-0.0804
1.1633e-09,-0.0834
1.1866e-09,-0.0836
1.2099e-09,-0.0812
1.2332e-09,-0.0762
1.2564e-09,-0.0677
1.2797e-09,-0.0544
1.3030e-09,-0.0363
1.3262e-09,-0.0141
1.3495e-09,0.0101
1.3728e-09,0.0328
1.3960e-09,0.0505
1.4193e-09,0.0605
1.4426e-09,0.0619
1.4658e-09,0.0563
1.4891e-09,0.0470
1.5124e-09,0.0376
1.5356e-09,0.0303
1.5589e-09,0.0257
1.5822e-09,0.0233
1.6054e-09,0.0225
1.6287e-09,0.0229
1.6520e-09,0.0239
1.6752e-09,0.0248
1.6985e-09,0.0250
1.7218e-09,0.0238
1.7450e-09,0.0215
1.7683e-09,0.0179
1.7916e-09,0.0130
1.8148e-09,0.0069
1.8381e-09,0.0096
1.8614e-09,0.0403
1.8846e-09,0.1488
1.9079e-09,0.2919
1.9312e-09,0.4009
1.9544e-09,0.4807
1.9777e-09,0.5418
2.0010e-09,0.5858
2.0242e-09,0.6133
