.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
5.7469e-09,1.2121
5.7702e-09,1.2021
5.7935e-09,1.1939
5.8168e-09,1.1882
5.8400e-09,1.1850
5.8633e-09,1.1857
5.8866e-09,1.1925
5.9098e-09,1.2013
5.9331e-09,1.2067
5.9564e-09,1.2066
5.9796e-09,1.1942
6.0029e-09,1.1459
6.0262e-09,1.0489
6.0494e-09,0.8789
6.0727e-09,0.7411
6.0960e-09,0.6520
6.1192e-09,0.5951
6.1425e-09,0.5684
6.1658e-09,0.5646
6.1890e-09,0.5657
6.2123e-09,0.5648
6.2356e-09,0.5614
6.2588e-09,0.5542
6.2821e-09,0.5429
6.3054e-09,0.5287
6.3286e-09,0.5168
6.3519e-09,0.5101
6.3752e-09,0.5092
6.3984e-09,0.5129
6.4217e-09,0.5345
6.4450e-09,0.6361
6.4682e-09,0.8376
6.4915e-09,1.0059
6.5148e-09,1.1118
6.5380e-09,1.1825
6.5613e-09,1.2113
6.5846e-09,1.2100
6.6078e-09,1.2002
6.6311e-09,1.1925
6.6544e-09,1.1874
6.6776e-09,1.1847
6.7009e-09,1.1867
6.7242e-09,1.1943
6.7474e-09,1.2028
6.7707e-09,1.2072
6.7940e-09,1.2059
6.8172e-09,1.1856
6.8405e-09,1.1330
6.8638e-09,1.0156
6.8870e-09,0.8488
6.9103e-09,0.7217
6.9336e-09,0.6380
6.9568e-09,0.5880
6.9801e-09,0.5664
7.0034e-09,0.5652
7.0266e-09,0.5657
7.0499e-09,0.5645
7.0732e-09,0.5603
7.0964e-09,0.5523
7.1197e-09,0.5400
7.1430e-09,0.5259
7.1662e-09,0.5149
7.1895e-09,0.5094
7.2128e-09,0.5097
7.2360e-09,0.5148
7.2593e-09,0.5417
7.2826e-09,0.6746
7.3058e-09,0.8875
7.3291e-09,1.0303
7.3524e-09,1.1348
7.3756e-09,1.1901
7.3989e-09,1.2132
7.4222e-09,1.2081
7.4454e-09,1.1983
7.4687e-09,1.1912
7.4920e-09,1.1865
7.5152e-09,1.1846
7.5385e-09,1.1878
7.5618e-09,1.1961
7.5850e-09,1.2041
7.6083e-09,1.2075
7.6316e-09,1.2050
7.6548e-09,1.1765
7.6781e-09,1.1174
7.7014e-09,0.9770
7.7246e-09,0.8174
7.7479e-09,0.7006
7.7712e-09,0.6262
7.7944e-09,0.5820
7.8177e-09,0.5652
7.8410e-09,0.5654
7.8642e-09,0.5654
7.8875e-09,0.5639
7.9108e-09,0.5590
7.9340e-09,0.5501
7.9573e-09,0.5372
7.9806e-09,0.5233
8.0038e-09,0.5132
8.0271e-09,0.5090
8.0504e-09,0.5103
8.0736e-09,0.5179
8.0969e-09,0.5598
8.1202e-09,0.7155
8.1435e-09,0.9187
8.1667e-09,1.0519
8.1900e-09,1.1484
8.2133e-09,1.2003
8.2365e-09,1.2138
8.2598e-09,1.2060
8.2831e-09,1.1966
8.3063e-09,1.1900
8.3296e-09,1.1858
8.3529e-09,1.1846
8.3761e-09,1.1892
8.3994e-09,1.1980
8.4227e-09,1.2052
8.4459e-09,1.2075
8.4692e-09,1.2040
8.4925e-09,1.1671
8.5157e-09,1.1042
8.5390e-09,0.9431
8.5623e-09,0.7890
8.5855e-09,0.6838
8.6088e-09,0.6148
8.6321e-09,0.5764
8.6553e-09,0.5650
8.6786e-09,0.5658
8.7019e-09,0.5653
8.7251e-09,0.5630
8.7484e-09,0.5574
8.7717e-09,0.5479
8.7949e-09,0.5344
8.8182e-09,0.5210
8.8415e-09,0.5119
8.8647e-09,0.5089
8.8880e-09,0.5111
8.9113e-09,0.5219
8.9345e-09,0.5760
8.9578e-09,0.7585
8.9811e-09,0.9496
9.0043e-09,1.0713
9.0276e-09,1.1602
9.0509e-09,1.2043
9.0741e-09,1.2129
9.0974e-09,1.2039
9.1207e-09,1.1952
9.1439e-09,1.1890
9.1672e-09,1.1853
9.1905e-09,1.1850
9.2137e-09,1.1908
9.2370e-09,1.1997
9.2603e-09,1.2061
9.2835e-09,1.2072
9.3068e-09,1.1997
9.3301e-09,1.1570
9.3533e-09,1.0764
9.3766e-09,0.9105
9.3999e-09,0.7662
9.4231e-09,0.6678
9.4464e-09,0.6048
9.4697e-09,0.5725
9.4929e-09,0.5651
9.5162e-09,0.5659
9.5395e-09,0.5650
9.5627e-09,0.5622
9.5860e-09,0.5558
9.6093e-09,0.5454
9.6325e-09,0.5315
9.6558e-09,0.5188
9.6791e-09,0.5109
9.7023e-09,0.5089
9.7256e-09,0.5120
9.7489e-09,0.5273
9.7721e-09,0.6036
9.7954e-09,0.8016
9.8187e-09,0.9790
9.8419e-09,1.0957
9.8652e-09,1.1699
9.8885e-09,1.2079
9.9117e-09,1.2120
9.9350e-09,1.2019
9.9583e-09,1.1938
9.9815e-09,1.1881
1.00048e-08,1.1849
1.00281e-08,1.1856
1.00513e-08,1.1925
1.00746e-08,1.2013
1.00979e-08,1.2067
1.01211e-08,1.2067
1.01444e-08,1.1941
1.01677e-08,1.1465
1.01909e-08,1.0491
1.02142e-08,0.8778
1.02375e-08,0.7416
1.02607e-08,0.6532
1.02840e-08,0.5963
1.03073e-08,0.5693
1.03305e-08,0.5653
1.03538e-08,0.5660
1.03771e-08,0.5649
1.04003e-08,0.5614
1.04236e-08,0.5541
1.04469e-08,0.5428
1.04702e-08,0.5286
1.04934e-08,0.5167
1.05167e-08,0.5100
1.05400e-08,0.5092
1.05632e-08,0.5129
1.05865e-08,0.5344
1.06098e-08,0.6338
1.06330e-08,0.8381
1.06563e-08,1.0018
1.06796e-08,1.1117
1.07028e-08,1.1830
1.07261e-08,1.2109
1.07494e-08,1.2098
1.07726e-08,1.2002
1.07959e-08,1.1925
1.08192e-08,1.1873
1.08424e-08,1.1847
1.08657e-08,1.1866
1.08890e-08,1.1942
1.09122e-08,1.2026
1.09355e-08,1.2071
1.09588e-08,1.2059
1.09820e-08,1.1857
1.10053e-08,1.1336
1.10286e-08,1.0160
1.10518e-08,0.8480
1.10751e-08,0.7222
1.10984e-08,0.6389
1.11216e-08,0.5892
1.11449e-08,0.5671
1.11682e-08,0.5658
1.11914e-08,0.5659
1.12147e-08,0.5646
1.12380e-08,0.5604
1.12612e-08,0.5523
1.12845e-08,0.5401
1.13078e-08,0.5259
1.13310e-08,0.5149
1.13543e-08,0.5094
1.13776e-08,0.5097
1.14008e-08,0.5147
1.14241e-08,0.5424
1.14474e-08,0.6717
1.14706e-08,0.8835
1.14939e-08,1.0247
1.15172e-08,1.1327
1.15404e-08,1.1900
1.15637e-08,1.2125
1.15870e-08,1.2080
1.16102e-08,1.1986
1.16335e-08,1.1912
1.16568e-08,1.1865
1.16800e-08,1.1846
1.17033e-08,1.1878
1.17266e-08,1.1960
1.17498e-08,1.2038
1.17731e-08,1.2073
1.17964e-08,1.2050
1.18196e-08,1.1767
1.18429e-08,1.1183
1.18662e-08,0.9766
1.18894e-08,0.8158
1.19127e-08,0.7022
1.19360e-08,0.6271
1.19592e-08,0.5831
1.19825e-08,0.5659
1.20058e-08,0.5659
1.20290e-08,0.5657
1.20523e-08,0.5640
1.20756e-08,0.5590
1.20988e-08,0.5502
1.21221e-08,0.5373
1.21454e-08,0.5234
1.21686e-08,0.5132
1.21919e-08,0.5090
1.22152e-08,0.5103
1.22384e-08,0.5178
1.22617e-08,0.5598
1.22850e-08,0.7133
1.23082e-08,0.9136
1.23315e-08,1.0474
1.23548e-08,1.1457
1.23780e-08,1.1990
1.24013e-08,1.2133
1.24246e-08,1.2060
1.24478e-08,1.1970
1.24711e-08,1.1901
1.24944e-08,1.1858
1.25176e-08,1.1846
1.25409e-08,1.1891
1.25642e-08,1.1977
1.25874e-08,1.2048
1.26107e-08,1.2073
1.26340e-08,1.2039
1.26572e-08,1.1673
1.26805e-08,1.1041
1.27038e-08,0.9430
1.27270e-08,0.7891
1.27503e-08,0.6853
1.27736e-08,0.6157
1.27968e-08,0.5772
1.28201e-08,0.5656
1.28434e-08,0.5662
1.28667e-08,0.5655
1.28899e-08,0.5631
1.29132e-08,0.5575
1.29365e-08,0.5480
1.29597e-08,0.5345
1.29830e-08,0.5210
1.30063e-08,0.5119
1.30295e-08,0.5088
1.30528e-08,0.5110
1.30761e-08,0.5218
1.30993e-08,0.5745
1.31226e-08,0.7559
1.31459e-08,0.9451
1.31691e-08,1.0667
1.31924e-08,1.1579
1.32157e-08,1.2032
1.32389e-08,1.2124
1.32622e-08,1.2041
