.HEADER
..NAMES
Time,V U1.M5
.DATA
5.7004e-09,1.1753
5.7237e-09,1.1773
5.7469e-09,1.1784
5.7702e-09,1.1796
5.7935e-09,1.1809
5.8168e-09,1.1824
5.8400e-09,1.1846
5.8633e-09,1.1880
5.8866e-09,1.1929
5.9098e-09,1.1990
5.9331e-09,1.2057
5.9564e-09,1.2125
5.9796e-09,1.2188
6.0029e-09,1.2242
6.0262e-09,1.2281
6.0494e-09,1.2295
6.0727e-09,1.2278
6.0960e-09,1.2231
6.1192e-09,1.2158
6.1425e-09,1.2074
6.1658e-09,1.1999
6.1890e-09,1.1950
6.2123e-09,1.1937
6.2356e-09,1.1952
6.2588e-09,1.1981
6.2821e-09,1.2007
6.3054e-09,1.2020
6.3286e-09,1.2018
6.3519e-09,1.2006
6.3752e-09,1.1989
6.3984e-09,1.1969
6.4217e-09,1.1948
6.4450e-09,1.1927
6.4682e-09,1.1909
6.4915e-09,1.1896
6.5148e-09,1.1891
6.5380e-09,1.1895
6.5613e-09,1.1910
6.5846e-09,1.1934
6.6078e-09,1.1966
6.6311e-09,1.2001
6.6544e-09,1.2036
6.6776e-09,1.2065
6.7009e-09,1.2081
6.7242e-09,1.2079
6.7474e-09,1.2060
6.7707e-09,1.2030
6.7940e-09,1.2001
6.8172e-09,1.1983
6.8405e-09,1.1980
6.8638e-09,1.1991
6.8870e-09,1.2008
6.9103e-09,1.2025
6.9336e-09,1.2038
6.9568e-09,1.2043
6.9801e-09,1.2043
7.0034e-09,1.2040
7.0266e-09,1.2035
7.0499e-09,1.2027
7.0732e-09,1.2017
7.0964e-09,1.2004
7.1197e-09,1.1990
7.1430e-09,1.1976
7.1662e-09,1.1967
7.1895e-09,1.1962
7.2128e-09,1.1962
7.2360e-09,1.1969
7.2593e-09,1.1982
7.2826e-09,1.1999
7.3058e-09,1.2015
7.3291e-09,1.2026
7.3524e-09,1.2029
7.3756e-09,1.2021
7.3989e-09,1.2008
7.4222e-09,1.1993
7.4454e-09,1.1983
7.4687e-09,1.1980
7.4920e-09,1.1983
7.5152e-09,1.1991
7.5385e-09,1.2000
7.5618e-09,1.2007
7.5850e-09,1.2012
7.6083e-09,1.2015
7.6316e-09,1.2018
7.6548e-09,1.1792
7.6781e-09,1.1254
7.7014e-09,0.9883
7.7246e-09,0.8294
7.7479e-09,0.7155
7.7712e-09,0.6457
7.7944e-09,0.6001
7.8177e-09,0.5706
7.8410e-09,0.5517
7.8642e-09,0.5379
7.8875e-09,0.5273
7.9108e-09,0.5187
7.9340e-09,0.5118
7.9573e-09,0.5065
7.9806e-09,0.5030
8.0038e-09,0.5000
8.0271e-09,0.4989
8.0504e-09,0.4994
8.0736e-09,0.5027
8.0969e-09,0.5064
8.1202e-09,0.5077
8.1435e-09,0.5040
