.HEADER
..NAMES
Time,V U1.N3
.DATA
5.7004e-09,0.4529
5.7237e-09,0.4148
5.7469e-09,0.3616
5.7702e-09,0.2964
5.7935e-09,0.2242
5.8168e-09,0.1521
5.8400e-09,0.0869
5.8633e-09,0.0333
5.8866e-09,-0.0059
5.9098e-09,-0.0301
5.9331e-09,-0.0412
5.9564e-09,-0.0436
5.9796e-09,-0.0429
6.0029e-09,-0.0342
6.0262e-09,-0.0039
6.0494e-09,0.0971
6.0727e-09,0.2338
6.0960e-09,0.3434
6.1192e-09,0.4184
6.1425e-09,0.4783
6.1658e-09,0.5202
6.1890e-09,0.5461
6.2123e-09,0.5680
6.2356e-09,0.5892
6.2588e-09,0.6129
6.2821e-09,0.6394
6.3054e-09,0.6659
6.3286e-09,0.6888
6.3519e-09,0.7068
6.3752e-09,0.7189
6.3984e-09,0.7244
6.4217e-09,0.7238
6.4450e-09,0.7177
6.4682e-09,0.7093
6.4915e-09,0.7024
6.5148e-09,0.7013
6.5380e-09,0.7098
6.5613e-09,0.7343
6.5846e-09,0.7779
6.6078e-09,0.8375
6.6311e-09,0.9071
6.6544e-09,0.9788
6.6776e-09,1.0449
6.7009e-09,1.1005
6.7242e-09,1.1426
6.7474e-09,1.1708
6.7707e-09,1.1860
6.7940e-09,1.1914
6.8172e-09,1.1771
6.8405e-09,1.1303
6.8638e-09,1.0187
6.8870e-09,0.8570
6.9103e-09,0.7374
6.9336e-09,0.6642
6.9568e-09,0.6241
6.9801e-09,0.6025
7.0034e-09,0.5930
7.0266e-09,0.5859
7.0499e-09,0.5779
7.0732e-09,0.5648
7.0964e-09,0.5459
7.1197e-09,0.5229
7.1430e-09,0.5001
7.1662e-09,0.4803
7.1895e-09,0.4649
7.2128e-09,0.4553
7.2360e-09,0.4508
7.2593e-09,0.4513
7.2826e-09,0.4549
7.3058e-09,0.4593
7.3291e-09,0.4615
7.3524e-09,0.4557
7.3756e-09,0.4344
7.3989e-09,0.3920
7.4222e-09,0.3307
7.4454e-09,0.2564
7.4687e-09,0.1781
7.4920e-09,0.1054
7.5152e-09,0.0449
7.5385e-09,0.0003
7.5618e-09,-0.0277
7.5850e-09,-0.0403
7.6083e-09,-0.0410
7.6316e-09,-0.0350
7.6548e-09,-0.0284
7.6781e-09,-0.0250
7.7014e-09,-0.0266
7.7246e-09,-0.0331
7.7479e-09,-0.0420
7.7712e-09,-0.0509
7.7944e-09,-0.0579
7.8177e-09,-0.0625
7.8410e-09,-0.0649
7.8642e-09,-0.0642
7.8875e-09,-0.0585
7.9108e-09,-0.0461
7.9340e-09,-0.0268
7.9573e-09,-0.0024
7.9806e-09,0.0235
8.0038e-09,0.0467
8.0271e-09,0.0641
8.0504e-09,0.0736
8.0736e-09,0.0740
8.0969e-09,0.0657
8.1202e-09,0.0507
8.1435e-09,0.0326
8.1667e-09,0.0159
8.1900e-09,0.0041
8.2133e-09,-0.0007
8.2365e-09,0.0014
8.2598e-09,0.0081
8.2831e-09,0.0161
8.3063e-09,0.0225
8.3296e-09,0.0257
8.3529e-09,0.0256
8.3761e-09,0.0225
8.3994e-09,0.0171
8.4227e-09,0.0097
8.4459e-09,0.0008
8.4692e-09,-0.0086
8.4925e-09,-0.0172
8.5157e-09,-0.0240
8.5390e-09,-0.0281
8.5623e-09,-0.0291
8.5855e-09,-0.0269
8.6088e-09,-0.0212
8.6321e-09,-0.0125
8.6553e-09,-0.0020
8.6786e-09,0.0081
8.7019e-09,0.0157
8.7251e-09,0.0189
8.7484e-09,0.0171
8.7717e-09,0.0113
8.7949e-09,0.0035
8.8182e-09,-0.0037
8.8415e-09,-0.0086
8.8647e-09,-0.0102
8.8880e-09,-0.0086
8.9113e-09,-0.0044
8.9345e-09,0.0012
8.9578e-09,0.0072
8.9811e-09,0.0124
9.0043e-09,0.0157
9.0276e-09,0.0167
9.0509e-09,0.0157
