.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
0.0e+00,-0.6923
2.33e-11,-0.6923
4.65e-11,-0.6923
6.98e-11,-0.6923
9.31e-11,-0.6923
1.163e-10,-0.6923
1.396e-10,-0.6923
1.629e-10,-0.6923
1.861e-10,-0.6923
2.094e-10,-0.6923
2.327e-10,-0.6923
2.559e-10,-0.6923
2.792e-10,-0.6923
3.025e-10,-0.6923
3.257e-10,-0.6923
3.490e-10,-0.6923
3.723e-10,-0.6923
3.955e-10,-0.6923
4.188e-10,-0.6923
4.421e-10,-0.6923
4.653e-10,-0.6923
4.886e-10,-0.6923
5.119e-10,-0.6923
5.351e-10,-0.6923
5.584e-10,-0.6913
5.817e-10,-0.6513
6.049e-10,-0.5404
6.282e-10,-0.2218
6.515e-10,0.0790
6.747e-10,0.2786
6.980e-10,0.4137
7.213e-10,0.5022
7.445e-10,0.5550
7.678e-10,0.5655
7.911e-10,0.5435
8.143e-10,0.5310
8.376e-10,0.5446
8.609e-10,0.5735
8.841e-10,0.6034
9.074e-10,0.6246
9.307e-10,0.6388
9.539e-10,0.6585
9.772e-10,0.6757
1.0005e-09,0.6337
1.0237e-09,0.4796
1.0470e-09,0.1141
1.0703e-09,-0.2097
1.0935e-09,-0.4302
1.1168e-09,-0.5765
1.1401e-09,-0.6796
1.1633e-09,-0.7428
1.1866e-09,-0.7450
1.2099e-09,-0.6985
1.2332e-09,-0.6519
1.2564e-09,-0.6326
1.2797e-09,-0.6375
1.3030e-09,-0.6487
1.3262e-09,-0.6505
1.3495e-09,-0.6469
1.3728e-09,-0.6560
1.3960e-09,-0.6703
1.4193e-09,-0.6290
1.4426e-09,-0.4650
1.4658e-09,-0.0927
1.4891e-09,0.2353
1.5124e-09,0.4331
1.5356e-09,0.5737
1.5589e-09,0.6757
1.5822e-09,0.7401
1.6054e-09,0.7445
1.6287e-09,0.7032
1.6520e-09,0.6624
1.6752e-09,0.6461
1.6985e-09,0.6516
1.7218e-09,0.6613
1.7450e-09,0.6595
1.7683e-09,0.6514
1.7916e-09,0.6563
1.8148e-09,0.6630
1.8381e-09,0.6120
1.8614e-09,0.4228
1.8846e-09,0.0516
1.9079e-09,-0.2632
1.9312e-09,-0.4525
1.9544e-09,-0.5882
1.9777e-09,-0.6829
2.0010e-09,-0.7386
2.0242e-09,-0.7378
2.0475e-09,-0.6953
2.0708e-09,-0.6567
2.0940e-09,-0.6432
2.1173e-09,-0.6508
2.1406e-09,-0.6614
2.1638e-09,-0.6600
2.1871e-09,-0.6532
2.2104e-09,-0.6585
2.2336e-09,-0.6600
2.2569e-09,-0.6018
2.2802e-09,-0.3906
2.3034e-09,-0.0156
2.3267e-09,0.2872
2.3500e-09,0.4724
2.3732e-09,0.6044
2.3965e-09,0.6950
2.4198e-09,0.7439
2.4430e-09,0.7360
2.4663e-09,0.6915
2.4896e-09,0.6554
2.5128e-09,0.6439
2.5361e-09,0.6520
2.5594e-09,0.6613
2.5826e-09,0.6589
2.6059e-09,0.6535
2.6292e-09,0.6616
2.6524e-09,0.6593
2.6757e-09,0.5923
2.6990e-09,0.3550
2.7222e-09,-0.0277
2.7455e-09,-0.3052
2.7688e-09,-0.4895
2.7920e-09,-0.6117
2.8153e-09,-0.7000
2.8386e-09,-0.7447
2.8618e-09,-0.7323
2.8851e-09,-0.6870
2.9084e-09,-0.6526
2.9316e-09,-0.6437
2.9549e-09,-0.6528
2.9782e-09,-0.6610
3.0014e-09,-0.6574
3.0247e-09,-0.6525
3.0480e-09,-0.6609
3.0712e-09,-0.6529
3.0945e-09,-0.5838
3.1178e-09,-0.3150
3.1410e-09,0.0621
3.1643e-09,0.3315
3.1876e-09,0.5067
3.2108e-09,0.6223
3.2341e-09,0.7090
3.2574e-09,0.7470
3.2806e-09,0.7281
3.3039e-09,0.6824
3.3272e-09,0.6514
3.3504e-09,0.6449
3.3737e-09,0.6546
3.3970e-09,0.6616
3.4202e-09,0.6571
3.4435e-09,0.6536
3.4668e-09,0.6643
3.4901e-09,0.6509
3.5133e-09,0.5664
3.5366e-09,0.2784
3.5599e-09,-0.0901
3.5831e-09,-0.3477
3.6064e-09,-0.5169
3.6297e-09,-0.6297
3.6529e-09,-0.7141
3.6762e-09,-0.7471
3.6995e-09,-0.7240
3.7227e-09,-0.6782
3.7460e-09,-0.6488
3.7693e-09,-0.6448
3.7925e-09,-0.6553
3.8158e-09,-0.6614
3.8391e-09,-0.6560
3.8623e-09,-0.6532
3.8856e-09,-0.6639
3.9089e-09,-0.6444
3.9321e-09,-0.5508
3.9554e-09,-0.2367
3.9787e-09,0.1213
4.0019e-09,0.3672
4.0252e-09,0.5313
4.0485e-09,0.6448
4.0717e-09,0.7205
4.0950e-09,0.7473
4.1183e-09,0.7190
4.1415e-09,0.6742
4.1648e-09,0.6480
4.1881e-09,0.6459
4.2113e-09,0.6566
4.2346e-09,0.6614
4.2579e-09,0.6554
4.2811e-09,0.6545
4.3044e-09,0.6669
4.3277e-09,0.6409
4.3509e-09,0.5349
4.3742e-09,0.1975
4.3975e-09,-0.1538
4.4207e-09,-0.3829
4.4440e-09,-0.5427
4.4673e-09,-0.6519
4.4905e-09,-0.7238
4.5138e-09,-0.7463
4.5371e-09,-0.7149
4.5603e-09,-0.6706
4.5836e-09,-0.6463
4.6069e-09,-0.6465
4.6301e-09,-0.6575
4.6534e-09,-0.6612
4.6767e-09,-0.6545
4.6999e-09,-0.6545
4.7232e-09,-0.6656
4.7465e-09,-0.6336
4.7697e-09,-0.5121
4.7930e-09,-0.1590
4.8163e-09,0.1807
4.8395e-09,0.4025
4.8628e-09,0.5558
4.8861e-09,0.6611
4.9093e-09,0.7296
4.9326e-09,0.7454
4.9559e-09,0.7096
4.9791e-09,0.6670
5.0024e-09,0.6458
5.0257e-09,0.6476
5.0489e-09,0.6585
5.0722e-09,0.6608
5.0955e-09,0.6540
5.1187e-09,0.6562
5.1420e-09,0.6664
5.1653e-09,0.6289
5.1885e-09,0.4841
5.2118e-09,0.1220
5.2351e-09,-0.2041
5.2583e-09,-0.4223
5.2816e-09,-0.5655
5.3049e-09,-0.6677
5.3281e-09,-0.7335
5.3514e-09,-0.7438
5.3747e-09,-0.7056
5.3979e-09,-0.6637
5.4212e-09,-0.6448
5.4445e-09,-0.6486
5.4677e-09,-0.6594
5.4910e-09,-0.6604
5.5143e-09,-0.6534
5.5375e-09,-0.6564
5.5608e-09,-0.6646
5.5841e-09,-0.6210
5.6073e-09,-0.4578
5.6306e-09,-0.0851
5.6539e-09,0.2399
5.6771e-09,0.4395
5.7004e-09,0.5776
5.7237e-09,0.6770
5.7469e-09,0.7380
5.7702e-09,0.7411
5.7935e-09,0.6999
5.8168e-09,0.6606
5.8400e-09,0.6446
5.8633e-09,0.6498
5.8866e-09,0.6600
5.9098e-09,0.6597
5.9331e-09,0.6530
5.9564e-09,0.6585
5.9796e-09,0.6644
6.0029e-09,0.6128
6.0262e-09,0.4238
6.0494e-09,0.0503
6.0727e-09,-0.2618
6.0960e-09,-0.4527
6.1192e-09,-0.5881
6.1425e-09,-0.6844
6.1658e-09,-0.7399
6.1890e-09,-0.7386
6.2123e-09,-0.6958
6.2356e-09,-0.6577
6.2588e-09,-0.6442
6.2821e-09,-0.6511
6.3054e-09,-0.6609
6.3286e-09,-0.6593
6.3519e-09,-0.6528
6.3752e-09,-0.6588
6.3984e-09,-0.6605
6.4217e-09,-0.6024
6.4450e-09,-0.3925
6.4682e-09,-0.0146
6.4915e-09,0.2842
6.5148e-09,0.4699
6.5380e-09,0.6022
6.5613e-09,0.6934
6.5846e-09,0.7427
6.6078e-09,0.7349
6.6311e-09,0.6902
6.6544e-09,0.6551
6.6776e-09,0.6442
6.7009e-09,0.6523
6.7242e-09,0.6612
6.7474e-09,0.6583
6.7707e-09,0.6527
6.7940e-09,0.6612
6.8172e-09,0.6591
6.8405e-09,0.5923
6.8638e-09,0.3558
6.8870e-09,-0.0336
6.9103e-09,-0.3044
6.9336e-09,-0.4879
6.9568e-09,-0.6112
6.9801e-09,-0.6994
7.0034e-09,-0.7445
7.0266e-09,-0.7321
7.0499e-09,-0.6864
7.0732e-09,-0.6527
7.0964e-09,-0.6443
7.1197e-09,-0.6537
7.1430e-09,-0.6619
7.1662e-09,-0.6578
7.1895e-09,-0.6527
7.2128e-09,-0.6615
7.2360e-09,-0.6539
7.2593e-09,-0.5842
7.2826e-09,-0.3173
7.3058e-09,0.0684
7.3291e-09,0.3293
7.3524e-09,0.5055
7.3756e-09,0.6213
7.3989e-09,0.7076
7.4222e-09,0.7462
7.4454e-09,0.7272
7.4687e-09,0.6812
7.4920e-09,0.6507
7.5152e-09,0.6446
7.5385e-09,0.6546
7.5618e-09,0.6617
7.5850e-09,0.6568
7.6083e-09,0.6531
7.6316e-09,0.6641
7.6548e-09,0.6510
7.6781e-09,0.5663
7.7014e-09,0.2776
7.7246e-09,-0.0973
7.7479e-09,-0.3474
7.7712e-09,-0.5170
7.7944e-09,-0.6297
7.8177e-09,-0.7136
7.8410e-09,-0.7472
7.8642e-09,-0.7238
7.8875e-09,-0.6778
7.9108e-09,-0.6489
7.9340e-09,-0.6452
7.9573e-09,-0.6560
7.9806e-09,-0.6621
8.0038e-09,-0.6563
8.0271e-09,-0.6534
8.0504e-09,-0.6644
8.0736e-09,-0.6452
8.0969e-09,-0.5497
8.1202e-09,-0.2369
8.1435e-09,0.1268
8.1667e-09,0.3663
8.1900e-09,0.5307
8.2133e-09,0.6434
8.2365e-09,0.7196
8.2598e-09,0.7467
8.2831e-09,0.7181
8.3063e-09,0.6732
8.3296e-09,0.6476
8.3529e-09,0.6457
8.3761e-09,0.6567
8.3994e-09,0.6615
8.4227e-09,0.6551
8.4459e-09,0.6542
8.4692e-09,0.6669
8.4925e-09,0.6410
8.5157e-09,0.5338
8.5390e-09,0.1971
8.5623e-09,-0.1580
8.5855e-09,-0.3821
8.6088e-09,-0.5427
8.6321e-09,-0.6513
8.6553e-09,-0.7234
8.6786e-09,-0.7464
8.7019e-09,-0.7146
8.7251e-09,-0.6703
8.7484e-09,-0.6465
8.7717e-09,-0.6468
8.7949e-09,-0.6581
8.8182e-09,-0.6617
8.8415e-09,-0.6548
8.8647e-09,-0.6547
8.8880e-09,-0.6661
8.9113e-09,-0.6342
8.9345e-09,-0.5133
8.9578e-09,-0.1593
8.9811e-09,0.1839
9.0043e-09,0.4009
9.0276e-09,0.5551
9.0509e-09,0.6602
9.0741e-09,0.7287
9.0974e-09,0.7448
9.1207e-09,0.7086
9.1439e-09,0.6664
9.1672e-09,0.6455
9.1905e-09,0.6475
9.2137e-09,0.6586
9.2370e-09,0.6608
9.2603e-09,0.6537
9.2835e-09,0.6560
9.3068e-09,0.6664
9.3301e-09,0.6289
9.3533e-09,0.4849
9.3766e-09,0.1219
9.3999e-09,-0.2069
9.4231e-09,-0.4227
9.4464e-09,-0.5653
9.4697e-09,-0.6672
9.4929e-09,-0.7331
9.5162e-09,-0.7438
9.5395e-09,-0.7052
9.5627e-09,-0.6636
9.5860e-09,-0.6450
9.6093e-09,-0.6489
9.6325e-09,-0.6599
9.6558e-09,-0.6608
9.6791e-09,-0.6536
9.7023e-09,-0.6567
9.7256e-09,-0.6646
9.7489e-09,-0.6214
9.7721e-09,-0.4592
9.7954e-09,-0.0821
9.8187e-09,0.2362
9.8419e-09,0.4390
9.8652e-09,0.5766
9.8885e-09,0.6759
9.9117e-09,0.7371
9.9350e-09,0.7405
9.9583e-09,0.6991
9.9815e-09,0.6602
1.00048e-08,0.6444
1.00281e-08,0.6497
1.00513e-08,0.6600
1.00746e-08,0.6596
1.00979e-08,0.6528
1.01211e-08,0.6583
1.01444e-08,0.6643
1.01677e-08,0.6133
1.01909e-08,0.4254
1.02142e-08,0.0475
1.02375e-08,-0.2584
1.02607e-08,-0.4522
1.02840e-08,-0.5866
1.03073e-08,-0.6836
1.03305e-08,-0.7395
1.03538e-08,-0.7384
1.03771e-08,-0.6956
1.04003e-08,-0.6579
1.04236e-08,-0.6445
1.04469e-08,-0.6514
1.04702e-08,-0.6612
1.04934e-08,-0.6595
1.05167e-08,-0.6529
1.05400e-08,-0.6591
1.05632e-08,-0.6608
1.05865e-08,-0.6032
1.06098e-08,-0.3953
1.06330e-08,-0.0135
1.06563e-08,0.2795
1.06796e-08,0.4683
1.07028e-08,0.6012
1.07261e-08,0.6921
1.07494e-08,0.7417
1.07726e-08,0.7341
1.07959e-08,0.6897
1.08192e-08,0.6551
1.08424e-08,0.6441
1.08657e-08,0.6521
1.08890e-08,0.6611
1.09122e-08,0.6581
1.09355e-08,0.6525
1.09588e-08,0.6611
1.09820e-08,0.6590
1.10053e-08,0.5929
1.10286e-08,0.3586
1.10518e-08,-0.0319
1.10751e-08,-0.2992
1.10984e-08,-0.4851
1.11216e-08,-0.6103
1.11449e-08,-0.6981
1.11682e-08,-0.7437
1.11914e-08,-0.7317
1.12147e-08,-0.6865
1.12380e-08,-0.6533
1.12612e-08,-0.6446
1.12845e-08,-0.6539
1.13078e-08,-0.6620
1.13310e-08,-0.6580
1.13543e-08,-0.6529
1.13776e-08,-0.6618
1.14008e-08,-0.6542
1.14241e-08,-0.5840
1.14474e-08,-0.3210
1.14706e-08,0.0658
1.14939e-08,0.3219
1.15172e-08,0.5024
1.15404e-08,0.6199
1.15637e-08,0.7059
1.15870e-08,0.7450
1.16102e-08,0.7265
1.16335e-08,0.6812
1.16568e-08,0.6510
1.16800e-08,0.6446
1.17033e-08,0.6544
1.17266e-08,0.6614
1.17498e-08,0.6565
1.17731e-08,0.6529
1.17964e-08,0.6639
1.18196e-08,0.6509
1.18429e-08,0.5667
1.18662e-08,0.2788
1.18894e-08,-0.0941
1.19127e-08,-0.3417
1.19360e-08,-0.5139
1.19592e-08,-0.6285
1.19825e-08,-0.7121
1.20058e-08,-0.7463
1.20290e-08,-0.7235
1.20523e-08,-0.6783
1.20756e-08,-0.6498
1.20988e-08,-0.6456
1.21221e-08,-0.6561
1.21454e-08,-0.6621
1.21686e-08,-0.6564
1.21919e-08,-0.6536
1.22152e-08,-0.6645
1.22384e-08,-0.6453
1.22617e-08,-0.5486
1.22850e-08,-0.2390
1.23082e-08,0.1229
1.23315e-08,0.3602
1.23548e-08,0.5271
1.23780e-08,0.6410
1.24013e-08,0.7179
1.24246e-08,0.7456
1.24478e-08,0.7176
1.24711e-08,0.6736
1.24944e-08,0.6481
1.25176e-08,0.6457
1.25409e-08,0.6564
1.25642e-08,0.6611
1.25874e-08,0.6549
1.26107e-08,0.6541
1.26340e-08,0.6667
1.26572e-08,0.6408
1.26805e-08,0.5333
1.27038e-08,0.1992
1.27270e-08,-0.1531
1.27503e-08,-0.3761
1.27736e-08,-0.5392
1.27968e-08,-0.6494
1.28201e-08,-0.7219
1.28434e-08,-0.7456
1.28667e-08,-0.7145
1.28899e-08,-0.6711
1.29132e-08,-0.6474
1.29365e-08,-0.6471
1.29597e-08,-0.6581
1.29830e-08,-0.6616
1.30063e-08,-0.6548
1.30295e-08,-0.6550
1.30528e-08,-0.6663
1.30761e-08,-0.6342
1.30993e-08,-0.5150
1.31226e-08,-0.1618
1.31459e-08,0.1791
1.31691e-08,0.3947
1.31924e-08,0.5520
1.32157e-08,0.6582
1.32389e-08,0.7270
1.32622e-08,0.7439
1.32855e-08,0.7084
1.33087e-08,0.6669
1.33320e-08,0.6461
1.33553e-08,0.6475
1.33785e-08,0.6582
1.34018e-08,0.6604
1.34251e-08,0.6534
1.34483e-08,0.6559
1.34716e-08,0.6663
1.34949e-08,0.6288
1.35181e-08,0.4867
1.35414e-08,0.1242
1.35647e-08,-0.2024
1.35879e-08,-0.4177
1.36112e-08,-0.5627
1.36345e-08,-0.6656
1.36577e-08,-0.7317
1.36810e-08,-0.7432
1.37043e-08,-0.7053
1.37275e-08,-0.6646
1.37508e-08,-0.6459
1.37741e-08,-0.6491
1.37973e-08,-0.6598
1.38206e-08,-0.6607
1.38439e-08,-0.6536
1.38671e-08,-0.6569
1.38904e-08,-0.6644
1.39137e-08,-0.6215
1.39369e-08,-0.4613
1.39602e-08,-0.0852
1.39835e-08,0.2273
1.40067e-08,0.4341
1.40300e-08,0.5740
1.40533e-08,0.6743
1.40765e-08,0.7358
1.40998e-08,0.7398
1.41231e-08,0.6991
1.41463e-08,0.6608
1.41696e-08,0.6449
1.41929e-08,0.6496
1.42161e-08,0.6597
1.42394e-08,0.6592
1.42627e-08,0.6525
1.42859e-08,0.6582
1.43092e-08,0.6643
1.43325e-08,0.6137
1.43557e-08,0.4296
1.43790e-08,0.0497
1.44023e-08,-0.2514
1.44255e-08,-0.4481
1.44488e-08,-0.5845
1.44721e-08,-0.6825
1.44953e-08,-0.7387
1.45186e-08,-0.7381
1.45419e-08,-0.6960
1.45651e-08,-0.6588
1.45884e-08,-0.6451
1.46117e-08,-0.6514
1.46349e-08,-0.6611
1.46582e-08,-0.6594
1.46815e-08,-0.6530
1.47047e-08,-0.6592
1.47280e-08,-0.6611
1.47513e-08,-0.6039
1.47745e-08,-0.4000
1.47978e-08,-0.0159
1.48211e-08,0.2730
1.48443e-08,0.4641
1.48676e-08,0.6002
1.48909e-08,0.6909
1.49141e-08,0.7408
1.49374e-08,0.7338
1.49607e-08,0.6900
1.49839e-08,0.6557
1.50072e-08,0.6444
1.50305e-08,0.6519
1.50537e-08,0.6606
1.50770e-08,0.6578
1.51003e-08,0.6523
1.51236e-08,0.6609
1.51468e-08,0.6592
1.51701e-08,0.5937
1.51934e-08,0.3632
1.52166e-08,-0.0266
1.52399e-08,-0.2935
1.52632e-08,-0.4802
1.52864e-08,-0.6096
1.53097e-08,-0.6971
1.53330e-08,-0.7431
1.53562e-08,-0.7316
1.53795e-08,-0.6871
1.54028e-08,-0.6542
1.54260e-08,-0.6451
1.54493e-08,-0.6538
1.54726e-08,-0.6618
1.54958e-08,-0.6579
1.55191e-08,-0.6530
1.55424e-08,-0.6619
1.55656e-08,-0.6546
1.55889e-08,-0.5840
1.56122e-08,-0.3257
1.56354e-08,0.0607
1.56587e-08,0.3156
1.56820e-08,0.4982
1.57052e-08,0.6193
1.57285e-08,0.7047
1.57518e-08,0.7444
1.57750e-08,0.7263
1.57983e-08,0.6815
1.58216e-08,0.6515
1.58448e-08,0.6447
1.58681e-08,0.6541
1.58914e-08,0.6610
1.59146e-08,0.6562
1.59379e-08,0.6527
1.59612e-08,0.6637
1.59844e-08,0.6511
1.60077e-08,0.5677
1.60310e-08,0.2813
1.60542e-08,-0.0892
1.60775e-08,-0.3380
1.61008e-08,-0.5100
1.61240e-08,-0.6280
