.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
5.5143e-09,-0.6945
5.5375e-09,-0.6970
5.5608e-09,-0.6832
5.5841e-09,-0.6208
5.6073e-09,-0.4561
5.6306e-09,-0.0918
5.6539e-09,0.2323
5.6771e-09,0.4419
5.7004e-09,0.5809
5.7237e-09,0.6521
5.7469e-09,0.6635
5.7702e-09,0.6500
5.7935e-09,0.6412
5.8168e-09,0.6385
5.8400e-09,0.6396
5.8633e-09,0.6465
5.8866e-09,0.6632
5.9098e-09,0.6838
5.9331e-09,0.6973
5.9564e-09,0.6971
5.9796e-09,0.6792
6.0029e-09,0.6124
6.0262e-09,0.4252
6.0494e-09,0.0588
6.0727e-09,-0.2559
6.0960e-09,-0.4561
6.1192e-09,-0.5875
6.1425e-09,-0.6527
6.1658e-09,-0.6626
6.1890e-09,-0.6509
6.2123e-09,-0.6411
6.2356e-09,-0.6379
6.2588e-09,-0.6414
6.2821e-09,-0.6510
6.3054e-09,-0.6669
6.3286e-09,-0.6843
6.3519e-09,-0.6961
6.3752e-09,-0.6960
6.3984e-09,-0.6742
6.4217e-09,-0.6004
6.4450e-09,-0.3922
6.4682e-09,-0.0227
6.4915e-09,0.2781
6.5148e-09,0.4741
6.5380e-09,0.6027
6.5613e-09,0.6590
6.5846e-09,0.6604
6.6078e-09,0.6474
6.6311e-09,0.6400
6.6544e-09,0.6384
6.6776e-09,0.6403
6.7009e-09,0.6492
6.7242e-09,0.6675
6.7474e-09,0.6875
6.7707e-09,0.6984
6.7940e-09,0.6955
6.8172e-09,0.6694
6.8405e-09,0.5910
6.8638e-09,0.3587
6.8870e-09,-0.0245
6.9103e-09,-0.3004
6.9336e-09,-0.4924
6.9568e-09,-0.6067
6.9801e-09,-0.6584
7.0034e-09,-0.6606
7.0266e-09,-0.6485
7.0499e-09,-0.6398
7.0732e-09,-0.6381
7.0964e-09,-0.6428
7.1197e-09,-0.6540
7.1430e-09,-0.6706
7.1662e-09,-0.6875
7.1895e-09,-0.6973
7.2128e-09,-0.6946
7.2360e-09,-0.6631
7.2593e-09,-0.5810
7.2826e-09,-0.3187
7.3058e-09,0.0595
7.3291e-09,0.3251
7.3524e-09,0.5109
7.3756e-09,0.6175
7.3989e-09,0.6631
7.4222e-09,0.6577
7.4454e-09,0.6453
7.4687e-09,0.6392
7.4920e-09,0.6383
7.5152e-09,0.6413
7.5385e-09,0.6522
7.5618e-09,0.6718
7.5850e-09,0.6908
7.6083e-09,0.6990
7.6316e-09,0.6936
7.6548e-09,0.6574
7.6781e-09,0.5647
7.7014e-09,0.2822
7.7246e-09,-0.0880
7.7479e-09,-0.3455
7.7712e-09,-0.5217
7.7944e-09,-0.6202
7.8177e-09,-0.6627
7.8410e-09,-0.6586
7.8642e-09,-0.6462
7.8875e-09,-0.6389
7.9108e-09,-0.6385
7.9340e-09,-0.6444
7.9573e-09,-0.6570
7.9806e-09,-0.6742
8.0038e-09,-0.6904
8.0271e-09,-0.6979
8.0504e-09,-0.6927
8.0736e-09,-0.6504
8.0969e-09,-0.5462
8.1202e-09,-0.2401
8.1435e-09,0.1177
8.1667e-09,0.3643
8.1900e-09,0.5366
8.2133e-09,0.6340
8.2365e-09,0.6644
8.2598e-09,0.6547
8.2831e-09,0.6434
8.3063e-09,0.6388
8.3296e-09,0.6386
8.3529e-09,0.6425
8.3761e-09,0.6555
8.3994e-09,0.6759
8.4227e-09,0.6935
8.4459e-09,0.6989
8.4692e-09,0.6913
8.4925e-09,0.6443
8.5157e-09,0.5327
8.5390e-09,0.2033
8.5623e-09,-0.1494
8.5855e-09,-0.3822
8.6088e-09,-0.5467
8.6321e-09,-0.6356
8.6553e-09,-0.6629
8.6786e-09,-0.6557
8.7019e-09,-0.6442
8.7251e-09,-0.6385
8.7484e-09,-0.6393
8.7717e-09,-0.6463
8.7949e-09,-0.6602
8.8182e-09,-0.6778
8.8415e-09,-0.6928
8.8647e-09,-0.6979
8.8880e-09,-0.6895
8.9113e-09,-0.6362
8.9345e-09,-0.5103
8.9578e-09,-0.1644
8.9811e-09,0.1752
9.0043e-09,0.4012
9.0276e-09,0.5604
9.0509e-09,0.6437
9.0741e-09,0.6635
9.0974e-09,0.6519
9.1207e-09,0.6420
9.1439e-09,0.6386
9.1672e-09,0.6390
9.1905e-09,0.6442
