.HEADER
..NAMES
Time,V U1.V6
.DATA
5.7237e-09,-0.0210
5.7469e-09,-0.0513
5.7702e-09,-0.0720
5.7935e-09,-0.0850
5.8168e-09,-0.0924
5.8400e-09,-0.0955
5.8633e-09,-0.0952
5.8866e-09,-0.0928
5.9098e-09,-0.0906
5.9331e-09,-0.0900
5.9564e-09,-0.0912
5.9796e-09,-0.0933
6.0029e-09,-0.0930
6.0262e-09,-0.0874
6.0494e-09,-0.0747
6.0727e-09,-0.0547
6.0960e-09,-0.0301
6.1192e-09,-0.0046
6.1425e-09,0.0182
6.1658e-09,0.0363
6.1890e-09,0.0496
6.2123e-09,0.0581
6.2356e-09,0.0620
6.2588e-09,0.0621
6.2821e-09,0.0592
6.3054e-09,0.0546
6.3286e-09,0.0492
6.3519e-09,0.0434
6.3752e-09,0.0377
6.3984e-09,0.0324
6.4217e-09,0.0280
6.4450e-09,0.0251
6.4682e-09,0.0240
6.4915e-09,0.0245
6.5148e-09,0.0256
6.5380e-09,0.0252
6.5613e-09,0.0216
6.5846e-09,0.0142
6.6078e-09,0.0040
6.6311e-09,-0.0067
6.6544e-09,-0.0159
6.6776e-09,-0.0224
6.7009e-09,-0.0256
6.7242e-09,-0.0258
6.7474e-09,-0.0235
6.7707e-09,-0.0197
6.7940e-09,-0.0152
6.8172e-09,-0.0108
6.8405e-09,-0.0069
6.8638e-09,-0.0039
6.8870e-09,-0.0016
6.9103e-09,0.0001
6.9336e-09,0.0014
6.9568e-09,0.0023
6.9801e-09,0.0023
7.0034e-09,0.0013
7.0266e-09,-0.0004
7.0499e-09,0.0140
7.0732e-09,0.0702
7.0964e-09,0.2052
7.1197e-09,0.3560
7.1430e-09,0.4687
7.1662e-09,0.5507
7.1895e-09,0.6054
7.2128e-09,0.6335
7.2360e-09,0.6466
7.2593e-09,0.6520
7.2826e-09,0.6548
7.3058e-09,0.6564
7.3291e-09,0.6586
7.3524e-09,0.6608
7.3756e-09,0.6630
7.3989e-09,0.6646
7.4222e-09,0.6641
7.4454e-09,0.6614
7.4687e-09,0.6576
7.4920e-09,0.6539
7.5152e-09,0.6507
7.5385e-09,0.6483
7.5618e-09,0.6509
7.5850e-09,0.6636
7.6083e-09,0.6905
7.6316e-09,0.7340
7.6548e-09,0.7935
7.6781e-09,0.8629
7.7014e-09,0.9357
7.7246e-09,1.0046
7.7479e-09,1.0640
7.7712e-09,1.1117
7.7944e-09,1.1479
7.8177e-09,1.1747
7.8410e-09,1.1938
7.8642e-09,1.1822
7.8875e-09,1.1352
7.9108e-09,1.0024
7.9340e-09,0.8543
7.9573e-09,0.7430
7.9806e-09,0.6767
8.0038e-09,0.6358
8.0271e-09,0.6141
8.0504e-09,0.6031
8.0736e-09,0.5954
8.0969e-09,0.5868
8.1202e-09,0.5740
8.1435e-09,0.5553
8.1667e-09,0.5315
8.1900e-09,0.5048
8.2133e-09,0.4791
8.2365e-09,0.4597
8.2598e-09,0.4488
8.2831e-09,0.4464
8.3063e-09,0.4500
8.3296e-09,0.4575
8.3529e-09,0.4677
8.3761e-09,0.4752
8.3994e-09,0.4708
8.4227e-09,0.4488
8.4459e-09,0.4067
8.4692e-09,0.3467
8.4925e-09,0.2767
8.5157e-09,0.2047
8.5390e-09,0.1390
8.5623e-09,0.0846
8.5855e-09,0.0428
8.6088e-09,0.0126
8.6321e-09,-0.0079
8.6553e-09,-0.0200
8.6786e-09,-0.0248
8.7019e-09,-0.0250
8.7251e-09,-0.0245
8.7484e-09,-0.0261
8.7717e-09,-0.0306
8.7949e-09,-0.0374
8.8182e-09,-0.0463
8.8415e-09,-0.0568
8.8647e-09,-0.0675
8.8880e-09,-0.0764
8.9113e-09,-0.0807
8.9345e-09,-0.0774
8.9578e-09,-0.0649
8.9811e-09,-0.0438
9.0043e-09,-0.0171
9.0276e-09,0.0101
9.0509e-09,0.0326
9.0741e-09,0.0475
9.0974e-09,0.0546
9.1207e-09,0.0554
9.1439e-09,0.0515
9.1672e-09,0.0444
9.1905e-09,0.0358
9.2137e-09,0.0273
9.2370e-09,0.0205
9.2603e-09,0.0163
9.2835e-09,0.0149
9.3068e-09,0.0158
9.3301e-09,0.0184
9.3533e-09,0.0219
9.3766e-09,0.0255
9.3999e-09,0.0286
9.4231e-09,0.0304
9.4464e-09,0.0296
9.4697e-09,0.0246
9.4929e-09,0.0152
9.5162e-09,0.0027
9.5395e-09,-0.0034
9.5627e-09,0.0183
9.5860e-09,0.1078
9.6093e-09,0.2632
9.6325e-09,0.3824
9.6558e-09,0.4792
9.6791e-09,0.5470
9.7023e-09,0.5909
9.7256e-09,0.6188
9.7489e-09,0.6343
9.7721e-09,0.6447
9.7954e-09,0.6511
9.8187e-09,0.6553
9.8419e-09,0.6579
9.8652e-09,0.6592
9.8885e-09,0.6600
9.9117e-09,0.6587
9.9350e-09,0.6490
9.9583e-09,0.6174
9.9815e-09,0.5264
1.00048e-08,0.3728
1.00281e-08,0.2325
1.00513e-08,0.1254
1.00746e-08,0.0686
1.00979e-08,0.0489
1.01211e-08,0.0653
1.01444e-08,0.1094
1.01677e-08,0.1669
1.01909e-08,0.2305
1.02142e-08,0.2918
1.02375e-08,0.3458
1.02607e-08,0.3905
1.02840e-08,0.4261
1.03073e-08,0.4550
1.03305e-08,0.4796
1.03538e-08,0.5001
1.03771e-08,0.5172
1.04003e-08,0.5313
1.04236e-08,0.5442
1.04469e-08,0.5556
1.04702e-08,0.5585
1.04934e-08,0.5464
1.05167e-08,0.5158
1.05400e-08,0.4648
1.05632e-08,0.3979
1.05865e-08,0.3220
1.06098e-08,0.2438
1.06330e-08,0.1697
1.06563e-08,0.1031
1.06796e-08,0.0456
1.07028e-08,-0.0022
1.07261e-08,-0.0396
1.07494e-08,-0.0658
1.07726e-08,-0.0821
1.07959e-08,-0.0916
1.08192e-08,-0.0971
1.08424e-08,-0.1002
1.08657e-08,-0.1013
1.08890e-08,-0.1014
1.09122e-08,-0.1016
1.09355e-08,-0.1025
1.09588e-08,-0.1039
1.09820e-08,-0.1043
1.10053e-08,-0.1008
1.10286e-08,-0.0909
1.10518e-08,-0.0731
1.10751e-08,-0.0484
1.10984e-08,-0.0201
1.11216e-08,0.0072
1.11449e-08,0.0304
1.11682e-08,0.0479
1.11914e-08,0.0598
1.12147e-08,0.0835
1.12380e-08,0.1484
1.12612e-08,0.2957
1.12845e-08,0.4421
1.13078e-08,0.5423
1.13310e-08,0.6088
1.13543e-08,0.6489
1.13776e-08,0.6663
1.14008e-08,0.6729
1.14241e-08,0.6757
1.14474e-08,0.6786
1.14706e-08,0.6823
1.14939e-08,0.6875
1.15172e-08,0.6917
1.15404e-08,0.6926
1.15637e-08,0.6881
1.15870e-08,0.6767
1.16102e-08,0.6604
1.16335e-08,0.6432
1.16568e-08,0.6284
1.16800e-08,0.6173
1.17033e-08,0.6104
1.17266e-08,0.6129
1.17498e-08,0.6301
1.17731e-08,0.6654
1.17964e-08,0.7207
1.18196e-08,0.7927
1.18429e-08,0.8730
1.18662e-08,0.9530
1.18894e-08,1.0246
1.19127e-08,1.0830
1.19360e-08,1.1274
1.19592e-08,1.1593
1.19825e-08,1.1815
1.20058e-08,1.1961
1.20290e-08,1.1823
1.20523e-08,1.1340
1.20756e-08,1.0056
1.20988e-08,0.8615
1.21221e-08,0.7511
1.21454e-08,0.6906
1.21686e-08,0.6533
1.21919e-08,0.6333
1.22152e-08,0.6215
1.22384e-08,0.6110
1.22617e-08,0.5979
1.22850e-08,0.5792
1.23082e-08,0.5541
1.23315e-08,0.5241
1.23548e-08,0.4927
1.23780e-08,0.4648
1.24013e-08,0.4458
1.24246e-08,0.4376
1.24478e-08,0.4421
1.24711e-08,0.4888
1.24944e-08,0.6508
1.25176e-08,0.8562
1.25409e-08,1.0081
1.25642e-08,1.0928
1.25874e-08,1.1176
1.26107e-08,1.0941
1.26340e-08,1.0365
1.26572e-08,0.9621
1.26805e-08,0.8846
1.27038e-08,0.8147
1.27270e-08,0.7583
1.27503e-08,0.7159
1.27736e-08,0.6858
1.27968e-08,0.6654
1.28201e-08,0.6519
1.28434e-08,0.6430
1.28667e-08,0.6126
1.28899e-08,0.5562
1.29132e-08,0.3957
1.29365e-08,0.2332
1.29597e-08,0.1103
1.29830e-08,0.0240
1.30063e-08,-0.0198
1.30295e-08,-0.0055
1.30528e-08,0.0439
1.30761e-08,0.1168
1.30993e-08,0.2033
1.31226e-08,0.2924
1.31459e-08,0.3763
1.31691e-08,0.4500
1.31924e-08,0.5094
