.HEADER
..NAMES
Time,V U1.P4
.DATA
5.6771e-09,0.6661
5.7004e-09,0.6851
5.7237e-09,0.7158
5.7469e-09,0.7627
5.7702e-09,0.8243
5.7935e-09,0.8960
5.8168e-09,0.9703
5.8400e-09,1.0389
5.8633e-09,1.0953
5.8866e-09,1.1366
5.9098e-09,1.1640
5.9331e-09,1.1816
5.9564e-09,1.1941
5.9796e-09,1.2049
6.0029e-09,1.2153
6.0262e-09,1.2250
6.0494e-09,1.2342
6.0727e-09,1.2430
6.0960e-09,1.2514
6.1192e-09,1.2581
6.1425e-09,1.2609
6.1658e-09,1.2585
6.1890e-09,1.2518
6.2123e-09,1.2417
6.2356e-09,1.2286
6.2588e-09,1.2125
6.2821e-09,1.1941
6.3054e-09,1.1744
6.3286e-09,1.1554
6.3519e-09,1.1399
6.3752e-09,1.1309
6.3984e-09,1.1301
6.4217e-09,1.1371
6.4450e-09,1.1492
6.4682e-09,1.1620
6.4915e-09,1.1720
6.5148e-09,1.1775
6.5380e-09,1.1792
6.5613e-09,1.1788
6.5846e-09,1.1776
6.6078e-09,1.1766
6.6311e-09,1.1768
6.6544e-09,1.1791
6.6776e-09,1.1836
6.7009e-09,1.1901
6.7242e-09,1.1978
6.7474e-09,1.2057
6.7707e-09,1.2132
6.7940e-09,1.2195
6.8172e-09,1.2242
6.8405e-09,1.2274
6.8638e-09,1.2291
6.8870e-09,1.2287
6.9103e-09,1.2256
6.9336e-09,1.2195
6.9568e-09,1.2113
6.9801e-09,1.2030
7.0034e-09,1.1968
7.0266e-09,1.1942
7.0499e-09,1.1951
7.0732e-09,1.1985
7.0964e-09,1.2024
7.1197e-09,1.2055
7.1430e-09,1.2067
7.1662e-09,1.2057
7.1895e-09,1.2031
7.2128e-09,1.1996
7.2360e-09,1.1959
7.2593e-09,1.1925
7.2826e-09,1.1901
7.3058e-09,1.1890
7.3291e-09,1.1894
7.3524e-09,1.1910
7.3756e-09,1.1932
7.3989e-09,1.1956
7.4222e-09,1.1980
7.4454e-09,1.2006
7.4687e-09,1.2036
7.4920e-09,1.2065
7.5152e-09,1.2087
7.5385e-09,1.2093
7.5618e-09,1.2081
7.5850e-09,1.2054
7.6083e-09,1.2020
7.6316e-09,1.1992
7.6548e-09,1.1979
7.6781e-09,1.1985
7.7014e-09,1.2006
7.7246e-09,1.2032
7.7479e-09,1.2056
7.7712e-09,1.2073
7.7944e-09,1.2079
7.8177e-09,1.2075
7.8410e-09,1.2063
7.8642e-09,1.2044
7.8875e-09,1.2023
7.9108e-09,1.2005
7.9340e-09,1.1994
7.9573e-09,1.1988
7.9806e-09,1.1986
8.0038e-09,1.1986
8.0271e-09,1.1987
8.0504e-09,1.1990
