.HEADER
..NAMES
Time,V U1.P2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0059
1.861e-10,0.0322
2.094e-10,0.1145
2.327e-10,0.2768
2.559e-10,0.4073
2.792e-10,0.5122
3.025e-10,0.5854
3.257e-10,0.6304
3.490e-10,0.6533
3.723e-10,0.6622
3.955e-10,0.6649
4.188e-10,0.6654
4.421e-10,0.6647
4.653e-10,0.6651
4.886e-10,0.6656
5.119e-10,0.6670
5.351e-10,0.6685
5.584e-10,0.6697
5.817e-10,0.6698
6.049e-10,0.6677
6.282e-10,0.6649
6.515e-10,0.6634
6.747e-10,0.6648
6.980e-10,0.6700
7.213e-10,0.6795
7.445e-10,0.6976
7.678e-10,0.7297
7.911e-10,0.7764
8.143e-10,0.8350
8.376e-10,0.9026
8.609e-10,0.9731
8.841e-10,1.0399
9.074e-10,1.0981
9.307e-10,1.1450
9.539e-10,1.1802
9.772e-10,1.2052
1.0005e-09,1.2220
1.0237e-09,1.2329
1.0470e-09,1.2393
1.0703e-09,1.2423
1.0935e-09,1.2436
1.1168e-09,1.2450
1.1401e-09,1.2474
1.1633e-09,1.2504
1.1866e-09,1.2533
1.2099e-09,1.2560
1.2332e-09,1.2583
1.2564e-09,1.2601
1.2797e-09,1.2598
1.3030e-09,1.2557
1.3262e-09,1.2469
1.3495e-09,1.2328
1.3728e-09,1.2140
1.3960e-09,1.1925
1.4193e-09,1.1715
1.4426e-09,1.1542
1.4658e-09,1.1431
1.4891e-09,1.1390
1.5124e-09,1.1411
1.5356e-09,1.1472
1.5589e-09,1.1553
1.5822e-09,1.1641
1.6054e-09,1.1726
1.6287e-09,1.1799
1.6520e-09,1.1854
1.6752e-09,1.1889
1.6985e-09,1.1908
1.7218e-09,1.1913
1.7450e-09,1.1909
1.7683e-09,1.1899
1.7916e-09,1.1887
1.8148e-09,1.1803
1.8381e-09,1.1371
1.8614e-09,1.0445
1.8846e-09,0.8761
1.9079e-09,0.7367
1.9312e-09,0.6469
1.9544e-09,0.5910
1.9777e-09,0.5622
2.0010e-09,0.5492
2.0242e-09,0.5432
2.0475e-09,0.5380
2.0708e-09,0.5317
2.0940e-09,0.5238
2.1173e-09,0.5152
2.1406e-09,0.5074
2.1638e-09,0.5010
2.1871e-09,0.4964
2.2104e-09,0.4942
2.2336e-09,0.4945
2.2569e-09,0.4981
2.2802e-09,0.5023
2.3034e-09,0.5051
2.3267e-09,0.5053
2.3500e-09,0.5013
2.3732e-09,0.4913
2.3965e-09,0.4710
2.4198e-09,0.4353
2.4430e-09,0.3839
2.4663e-09,0.3203
2.4896e-09,0.2487
2.5128e-09,0.1756
2.5361e-09,0.1087
2.5594e-09,0.0531
2.5826e-09,0.0114
2.6059e-09,-0.0170
2.6292e-09,-0.0345
2.6524e-09,-0.0445
2.6757e-09,-0.0362
2.6990e-09,-0.0036
2.7222e-09,0.1248
2.7455e-09,0.2681
2.7688e-09,0.3786
2.7920e-09,0.4570
2.8153e-09,0.5124
2.8386e-09,0.5418
2.8618e-09,0.5534
2.8851e-09,0.5568
2.9084e-09,0.5576
2.9316e-09,0.5588
2.9549e-09,0.5660
2.9782e-09,0.5801
3.0014e-09,0.6011
3.0247e-09,0.6293
3.0480e-09,0.6608
3.0712e-09,0.6911
3.0945e-09,0.7144
3.1178e-09,0.7279
3.1410e-09,0.7324
3.1643e-09,0.7305
3.1876e-09,0.7269
3.2108e-09,0.7241
3.2341e-09,0.7265
3.2574e-09,0.7411
3.2806e-09,0.7718
3.3039e-09,0.8178
3.3272e-09,0.8766
3.3504e-09,0.9433
3.3737e-09,1.0109
3.3970e-09,1.0733
3.4202e-09,1.1263
3.4435e-09,1.1679
3.4668e-09,1.1983
3.4901e-09,1.2185
3.5133e-09,1.2301
3.5366e-09,1.2344
3.5599e-09,1.2324
3.5831e-09,1.2258
3.6064e-09,1.2177
3.6297e-09,1.2118
3.6529e-09,1.2102
3.6762e-09,1.2136
3.6995e-09,1.2217
3.7227e-09,1.2328
3.7460e-09,1.2449
3.7693e-09,1.2552
3.7925e-09,1.2607
3.8158e-09,1.2593
3.8391e-09,1.2503
3.8623e-09,1.2342
3.8856e-09,1.2129
3.9089e-09,1.1898
3.9321e-09,1.1683
3.9554e-09,1.1518
3.9787e-09,1.1422
4.0019e-09,1.1396
4.0252e-09,1.1426
4.0485e-09,1.1494
4.0717e-09,1.1583
4.0950e-09,1.1685
4.1183e-09,1.1794
4.1415e-09,1.1898
4.1648e-09,1.1984
4.1881e-09,1.2043
4.2113e-09,1.2067
4.2346e-09,1.2053
4.2579e-09,1.2006
4.2811e-09,1.1939
4.3044e-09,1.1869
4.3277e-09,1.1502
4.3509e-09,1.0897
4.3742e-09,0.9294
4.3975e-09,0.7745
4.4207e-09,0.6698
4.4440e-09,0.6037
4.4673e-09,0.5674
