.HEADER
..NAMES
Time,V U1.M1
.DATA
5.7004e-09,0.7122
5.7237e-09,0.7149
5.7469e-09,0.7256
5.7702e-09,0.7474
5.7935e-09,0.7822
5.8168e-09,0.8301
5.8400e-09,0.8878
5.8633e-09,0.9505
5.8866e-09,1.0137
5.9098e-09,1.0729
5.9331e-09,1.1242
5.9564e-09,1.1651
5.9796e-09,1.1950
6.0029e-09,1.2148
6.0262e-09,1.2257
6.0494e-09,1.2292
6.0727e-09,1.2269
6.0960e-09,1.2216
6.1192e-09,1.2156
6.1425e-09,1.2108
6.1658e-09,1.2093
6.1890e-09,1.2123
6.2123e-09,1.2192
6.2356e-09,1.2281
6.2588e-09,1.2369
6.2821e-09,1.2435
6.3054e-09,1.2454
6.3286e-09,1.2412
6.3519e-09,1.2311
6.3752e-09,1.2165
6.3984e-09,1.1990
6.4217e-09,1.1807
6.4450e-09,1.1640
6.4682e-09,1.1511
6.4915e-09,1.1430
6.5148e-09,1.1398
6.5380e-09,1.1417
6.5613e-09,1.1477
6.5846e-09,1.1563
6.6078e-09,1.1662
6.6311e-09,1.1766
6.6544e-09,1.1864
6.6776e-09,1.1944
6.7009e-09,1.1998
6.7242e-09,1.2024
6.7474e-09,1.2020
6.7707e-09,1.1988
6.7940e-09,1.1939
6.8172e-09,1.1889
6.8405e-09,1.1853
6.8638e-09,1.1843
6.8870e-09,1.1866
6.9103e-09,1.1919
6.9336e-09,1.1994
6.9568e-09,1.2074
6.9801e-09,1.2149
7.0034e-09,1.2207
7.0266e-09,1.2239
7.0499e-09,1.2245
7.0732e-09,1.2225
7.0964e-09,1.2186
7.1197e-09,1.2135
7.1430e-09,1.2077
7.1662e-09,1.2021
7.1895e-09,1.1972
7.2128e-09,1.1933
7.2360e-09,1.1908
7.2593e-09,1.1900
7.2826e-09,1.1908
7.3058e-09,1.1930
7.3291e-09,1.1963
7.3524e-09,1.2001
7.3756e-09,1.2038
7.3989e-09,1.2063
7.4222e-09,1.2071
7.4454e-09,1.2059
7.4687e-09,1.2031
7.4920e-09,1.1992
7.5152e-09,1.1952
7.5385e-09,1.1920
7.5618e-09,1.1900
7.5850e-09,1.1897
7.6083e-09,1.1908
7.6316e-09,1.1930
7.6548e-09,1.1958
7.6781e-09,1.1988
7.7014e-09,1.2016
7.7246e-09,1.2039
7.7479e-09,1.2057
7.7712e-09,1.2067
7.7944e-09,1.2070
7.8177e-09,1.2065
7.8410e-09,1.2052
7.8642e-09,1.2032
7.8875e-09,1.2010
7.9108e-09,1.1987
7.9340e-09,1.1969
7.9573e-09,1.1958
7.9806e-09,1.1957
8.0038e-09,1.1967
8.0271e-09,1.1986
8.0504e-09,1.2009
8.0736e-09,1.2031
8.0969e-09,1.2046
8.1202e-09,1.2053
8.1435e-09,1.2050
8.1667e-09,1.2038
8.1900e-09,1.2022
8.2133e-09,1.2005
8.2365e-09,1.1990
8.2598e-09,1.1979
8.2831e-09,1.1972
8.3063e-09,1.1969
8.3296e-09,1.1968
8.3529e-09,1.1971
8.3761e-09,1.1978
8.3994e-09,1.1987
8.4227e-09,1.1998
8.4459e-09,1.2010
8.4692e-09,1.2022
8.4925e-09,1.2030
8.5157e-09,1.2033
8.5390e-09,1.2029
8.5623e-09,1.2021
8.5855e-09,1.2009
8.6088e-09,1.1995
8.6321e-09,1.1984
8.6553e-09,1.1977
8.6786e-09,1.1976
8.7019e-09,1.1980
8.7251e-09,1.1989
8.7484e-09,1.1999
8.7717e-09,1.2009
8.7949e-09,1.2016
8.8182e-09,1.2020
8.8415e-09,1.2021
8.8647e-09,1.2019
8.8880e-09,1.2017
8.9113e-09,1.2014
8.9345e-09,1.2010
8.9578e-09,1.2005
8.9811e-09,1.2000
9.0043e-09,1.1994
9.0276e-09,1.1989
9.0509e-09,1.1986
9.0741e-09,1.1986
9.0974e-09,1.1989
9.1207e-09,1.1996
