.HEADER
..NAMES
Time,V U1.R5
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1689
1.861e-10,1.1131
2.094e-10,0.9578
2.327e-10,0.8072
2.559e-10,0.7068
2.792e-10,0.6438
3.025e-10,0.6029
3.257e-10,0.5752
3.490e-10,0.5559
3.723e-10,0.5402
3.955e-10,0.5279
4.188e-10,0.5179
4.421e-10,0.5102
4.653e-10,0.5050
4.886e-10,0.5028
5.119e-10,0.5035
5.351e-10,0.5078
5.584e-10,0.5127
5.817e-10,0.5159
6.049e-10,0.5139
6.282e-10,0.5053
6.515e-10,0.4906
6.747e-10,0.4684
6.980e-10,0.4339
7.213e-10,0.3818
7.445e-10,0.3132
7.678e-10,0.2359
7.911e-10,0.1602
8.143e-10,0.0956
8.376e-10,0.0477
8.609e-10,0.0165
8.841e-10,-0.0019
9.074e-10,-0.0135
9.307e-10,-0.0234
9.539e-10,-0.0340
9.772e-10,-0.0454
1.0005e-09,-0.0509
1.0237e-09,-0.0347
1.0470e-09,0.0364
1.0703e-09,0.1743
1.0935e-09,0.2719
1.1168e-09,0.3581
1.1401e-09,0.4346
1.1633e-09,0.4895
1.1866e-09,0.5385
1.2099e-09,0.5796
1.2332e-09,0.6191
1.2564e-09,0.6571
1.2797e-09,0.6911
1.3030e-09,0.7178
1.3262e-09,0.7333
1.3495e-09,0.7365
1.3728e-09,0.7271
1.3960e-09,0.7104
1.4193e-09,0.6938
1.4426e-09,0.6837
1.4658e-09,0.6836
1.4891e-09,0.6933
1.5124e-09,0.7108
1.5356e-09,0.7361
1.5589e-09,0.7726
1.5822e-09,0.8221
1.6054e-09,0.8809
1.6287e-09,0.9425
1.6520e-09,1.0005
1.6752e-09,1.0492
1.6985e-09,1.0864
1.7218e-09,1.1130
1.7450e-09,1.1322
1.7683e-09,1.1479
1.7916e-09,1.1630
1.8148e-09,1.1712
1.8381e-09,1.1459
1.8614e-09,1.0741
1.8846e-09,0.9304
1.9079e-09,0.8153
1.9312e-09,0.7474
1.9544e-09,0.6963
1.9777e-09,0.6555
2.0010e-09,0.6159
2.0242e-09,0.5796
2.0475e-09,0.5471
