.HEADER
..NAMES
Time,V U1.H1
.DATA
5.6771e-09,1.1769
5.7004e-09,1.1669
5.7237e-09,1.1583
5.7469e-09,1.1519
5.7702e-09,1.1490
5.7935e-09,1.1502
5.8168e-09,1.1551
5.8400e-09,1.1627
5.8633e-09,1.1718
5.8866e-09,1.1811
5.9098e-09,1.1891
5.9331e-09,1.1947
5.9564e-09,1.1978
5.9796e-09,1.1987
6.0029e-09,1.1982
6.0262e-09,1.1966
6.0494e-09,1.1942
6.0727e-09,1.1920
6.0960e-09,1.1906
6.1192e-09,1.1904
6.1425e-09,1.1913
6.1658e-09,1.1933
6.1890e-09,1.1965
6.2123e-09,1.2010
6.2356e-09,1.2061
6.2588e-09,1.2112
6.2821e-09,1.2156
6.3054e-09,1.2191
6.3286e-09,1.2209
6.3519e-09,1.2203
6.3752e-09,1.2172
6.3984e-09,1.2125
6.4217e-09,1.2073
6.4450e-09,1.2026
6.4682e-09,1.1985
6.4915e-09,1.1953
6.5148e-09,1.1932
6.5380e-09,1.1925
6.5613e-09,1.1932
6.5846e-09,1.1946
6.6078e-09,1.1965
6.6311e-09,1.1987
6.6544e-09,1.2010
6.6776e-09,1.2032
6.7009e-09,1.2046
6.7242e-09,1.2051
6.7474e-09,1.2046
6.7707e-09,1.2031
6.7940e-09,1.2007
6.8172e-09,1.1827
6.8405e-09,1.1325
6.8638e-09,1.0158
6.8870e-09,0.8458
6.9103e-09,0.7133
6.9336e-09,0.6196
6.9568e-09,0.5531
6.9801e-09,0.5130
7.0034e-09,0.4984
7.0266e-09,0.4996
7.0499e-09,0.5053
7.0732e-09,0.5074
7.0964e-09,0.5093
7.1197e-09,0.5135
7.1430e-09,0.5174
7.1662e-09,0.5168
7.1895e-09,0.5113
7.2128e-09,0.5043
7.2360e-09,0.5003
7.2593e-09,0.4997
7.2826e-09,0.5004
7.3058e-09,0.5030
7.3291e-09,0.5075
7.3524e-09,0.5116
7.3756e-09,0.5101
7.3989e-09,0.4984
7.4222e-09,0.4734
7.4454e-09,0.4351
7.4687e-09,0.3853
7.4920e-09,0.3277
7.5152e-09,0.2672
7.5385e-09,0.2066
7.5618e-09,0.1481
7.5850e-09,0.0929
7.6083e-09,0.0438
7.6316e-09,0.0041
7.6548e-09,-0.0241
7.6781e-09,-0.0268
7.7014e-09,0.0083
7.7246e-09,0.1402
7.7479e-09,0.2669
7.7712e-09,0.3836
7.7944e-09,0.4783
7.8177e-09,0.5416
7.8410e-09,0.5787
7.8642e-09,0.5881
7.8875e-09,0.5829
7.9108e-09,0.5749
7.9340e-09,0.5655
7.9573e-09,0.5564
7.9806e-09,0.5518
8.0038e-09,0.5557
8.0271e-09,0.5684
8.0504e-09,0.5870
8.0736e-09,0.6078
8.0969e-09,0.6295
8.1202e-09,0.6520
8.1435e-09,0.6728
8.1667e-09,0.6891
8.1900e-09,0.7016
8.2133e-09,0.7117
8.2365e-09,0.7233
8.2598e-09,0.7389
8.2831e-09,0.7603
8.3063e-09,0.7890
8.3296e-09,0.8263
8.3529e-09,0.8712
8.3761e-09,0.9217
8.3994e-09,0.9758
8.4227e-09,1.0317
8.4459e-09,1.0864
8.4692e-09,1.1356
8.4925e-09,1.1447
8.5157e-09,1.1175
8.5390e-09,0.9806
8.5623e-09,0.8385
8.5855e-09,0.7332
8.6088e-09,0.6493
8.6321e-09,0.5849
8.6553e-09,0.5436
8.6786e-09,0.5259
8.7019e-09,0.5220
8.7251e-09,0.5206
8.7484e-09,0.5204
8.7717e-09,0.5266
8.7949e-09,0.5376
8.8182e-09,0.5467
8.8415e-09,0.5484
8.8647e-09,0.5444
8.8880e-09,0.5385
8.9113e-09,0.5336
8.9345e-09,0.5259
8.9578e-09,0.5146
8.9811e-09,0.5026
9.0043e-09,0.4915
9.0276e-09,0.4793
9.0509e-09,0.4614
9.0741e-09,0.4349
9.0974e-09,0.3996
9.1207e-09,0.3575
9.1439e-09,0.3105
9.1672e-09,0.2613
9.1905e-09,0.2123
9.2137e-09,0.1648
9.2370e-09,0.1186
9.2603e-09,0.0743
9.2835e-09,0.0344
9.3068e-09,0.0014
9.3301e-09,-0.0187
9.3533e-09,-0.0111
9.3766e-09,0.0567
9.3999e-09,0.1957
9.4231e-09,0.3092
9.4464e-09,0.4062
9.4697e-09,0.4910
9.4929e-09,0.5438
9.5162e-09,0.5708
9.5395e-09,0.5790
9.5627e-09,0.5796
9.5860e-09,0.5797
9.6093e-09,0.5783
9.6325e-09,0.5771
9.6558e-09,0.5800
9.6791e-09,0.5894
9.7023e-09,0.6029
9.7256e-09,0.6176
9.7489e-09,0.6320
9.7721e-09,0.6468
9.7954e-09,0.6618
9.8187e-09,0.6744
9.8419e-09,0.6838
9.8652e-09,0.6916
9.8885e-09,0.7014
9.9117e-09,0.7160
9.9350e-09,0.7370
9.9583e-09,0.7653
9.9815e-09,0.8022
1.00048e-08,0.8472
1.00281e-08,0.8978
1.00513e-08,0.9513
1.00746e-08,1.0058
1.00979e-08,1.0595
1.01211e-08,1.1093
1.01444e-08,1.1436
1.01677e-08,1.1343
1.01909e-08,1.0650
1.02142e-08,0.9103
1.02375e-08,0.7812
1.02607e-08,0.6881
1.02840e-08,0.6129
1.03073e-08,0.5597
1.03305e-08,0.5326
1.03538e-08,0.5258
1.03771e-08,0.5277
1.04003e-08,0.5290
1.04236e-08,0.5325
1.04469e-08,0.5415
1.04702e-08,0.5515
1.04934e-08,0.5557
1.05167e-08,0.5517
1.05400e-08,0.5430
1.05632e-08,0.5345
1.05865e-08,0.5265
1.06098e-08,0.5155
1.06330e-08,0.5032
1.06563e-08,0.4924
1.06796e-08,0.4831
1.07028e-08,0.4713
1.07261e-08,0.4525
1.07494e-08,0.4243
1.07726e-08,0.3877
1.07959e-08,0.3442
1.08192e-08,0.2960
1.08424e-08,0.2461
1.08657e-08,0.1964
1.08890e-08,0.1478
1.09122e-08,0.1001
1.09355e-08,0.0550
1.09588e-08,0.0159
1.09820e-08,-0.0152
1.10053e-08,-0.0392
1.10286e-08,-0.0580
1.10518e-08,-0.0710
1.10751e-08,-0.0762
1.10984e-08,-0.0742
1.11216e-08,-0.0692
1.11449e-08,-0.0658
1.11682e-08,-0.0650
1.11914e-08,-0.0652
1.12147e-08,-0.0654
1.12380e-08,-0.0663
1.12612e-08,-0.0683
1.12845e-08,-0.0690
1.13078e-08,-0.0655
1.13310e-08,-0.0577
1.13543e-08,-0.0483
1.13776e-08,-0.0396
1.14008e-08,-0.0307
1.14241e-08,-0.0194
1.14474e-08,-0.0055
1.14706e-08,0.0087
1.14939e-08,0.0210
1.15172e-08,0.0311
1.15404e-08,0.0398
1.15637e-08,0.0465
1.15870e-08,0.0494
1.16102e-08,0.0475
1.16335e-08,0.0418
1.16568e-08,0.0345
1.16800e-08,0.0274
1.17033e-08,0.0216
1.17266e-08,0.0174
1.17498e-08,0.0151
1.17731e-08,0.0143
1.17964e-08,0.0142
1.18196e-08,0.0142
1.18429e-08,0.0141
1.18662e-08,0.0138
1.18894e-08,0.0135
1.19127e-08,0.0129
1.19360e-08,0.0121
1.19592e-08,0.0106
1.19825e-08,0.0079
1.20058e-08,0.0036
1.20290e-08,-0.0020
1.20523e-08,-0.0079
1.20756e-08,-0.0130
1.20988e-08,-0.0169
1.21221e-08,-0.0195
1.21454e-08,-0.0201
1.21686e-08,-0.0182
1.21919e-08,-0.0142
1.22152e-08,-0.0094
1.22384e-08,-0.0055
1.22617e-08,-0.0029
1.22850e-08,-0.0011
1.23082e-08,0.0007
1.23315e-08,0.0022
1.23548e-08,0.0030
1.23780e-08,0.0029
1.24013e-08,0.0023
1.24246e-08,0.0015
1.24478e-08,0.0002
1.24711e-08,-0.0015
1.24944e-08,-0.0034
1.25176e-08,-0.0044
1.25409e-08,-0.0039
1.25642e-08,-0.0021
1.25874e-08,0.0005
1.26107e-08,0.0033
1.26340e-08,0.0061
1.26572e-08,0.0115
1.26805e-08,0.0378
1.27038e-08,0.1211
1.27270e-08,0.2740
1.27503e-08,0.4130
1.27736e-08,0.5112
1.27968e-08,0.5920
1.28201e-08,0.6453
1.28434e-08,0.6689
1.28667e-08,0.6724
1.28899e-08,0.6672
1.29132e-08,0.6643
1.29365e-08,0.6617
1.29597e-08,0.6574
1.29830e-08,0.6527
1.30063e-08,0.6516
1.30295e-08,0.6555
1.30528e-08,0.6620
1.30761e-08,0.6663
1.30993e-08,0.6669
1.31226e-08,0.6651
1.31459e-08,0.6615
1.31691e-08,0.6568
1.31924e-08,0.6525
1.32157e-08,0.6516
1.32389e-08,0.6592
1.32622e-08,0.6791
1.32855e-08,0.7127
1.33087e-08,0.7589
1.33320e-08,0.8146
1.33553e-08,0.8753
1.33785e-08,0.9375
1.34018e-08,0.9989
1.34251e-08,1.0578
1.34483e-08,1.1115
1.34716e-08,1.1562
1.34949e-08,1.1902
1.35181e-08,1.2145
1.35414e-08,1.2315
1.35647e-08,1.2416
1.35879e-08,1.2439
1.36112e-08,1.2400
1.36345e-08,1.2342
1.36577e-08,1.2312
1.36810e-08,1.2325
1.37043e-08,1.2367
1.37275e-08,1.2422
1.37508e-08,1.2490
1.37741e-08,1.2566
1.37973e-08,1.2625
1.38206e-08,1.2634
1.38439e-08,1.2582
1.38671e-08,1.2489
1.38904e-08,1.2377
1.39137e-08,1.2250
1.39369e-08,1.2098
1.39602e-08,1.1925
1.39835e-08,1.1754
1.40067e-08,1.1610
1.40300e-08,1.1503
1.40533e-08,1.1432
1.40765e-08,1.1397
1.40998e-08,1.1409
1.41231e-08,1.1472
1.41463e-08,1.1576
1.41696e-08,1.1695
1.41929e-08,1.1805
1.42161e-08,1.1890
1.42394e-08,1.1944
1.42627e-08,1.1966
1.42859e-08,1.1961
1.43092e-08,1.1863
1.43325e-08,1.1417
1.43557e-08,1.0454
1.43790e-08,0.8686
1.44023e-08,0.7271
1.44255e-08,0.6297
1.44488e-08,0.5567
1.44721e-08,0.5115
1.44953e-08,0.4946
1.45186e-08,0.4981
1.45419e-08,0.5096
1.45651e-08,0.5184
1.45884e-08,0.5251
1.46117e-08,0.5330
1.46349e-08,0.5393
1.46582e-08,0.5398
1.46815e-08,0.5322
1.47047e-08,0.5202
1.47280e-08,0.5098
1.47513e-08,0.5040
1.47745e-08,0.5008
1.47978e-08,0.5002
