.HEADER
..NAMES
Time,V U1.W2
.DATA
5.7237e-09,1.1917
5.7469e-09,1.1949
5.7702e-09,1.2013
5.7935e-09,1.2100
5.8168e-09,1.2198
5.8400e-09,1.2292
5.8633e-09,1.2369
5.8866e-09,1.2414
5.9098e-09,1.2420
5.9331e-09,1.2389
5.9564e-09,1.2329
5.9796e-09,1.2250
6.0029e-09,1.2169
6.0262e-09,1.2100
6.0494e-09,1.2050
6.0727e-09,1.2016
6.0960e-09,1.1991
6.1192e-09,1.1968
6.1425e-09,1.1948
6.1658e-09,1.1938
6.1890e-09,1.1941
6.2123e-09,1.1957
6.2356e-09,1.1978
6.2588e-09,1.1992
6.2821e-09,1.1994
6.3054e-09,1.1980
6.3286e-09,1.1951
6.3519e-09,1.1914
6.3752e-09,1.1880
6.3984e-09,1.1856
6.4217e-09,1.1849
6.4450e-09,1.1862
6.4682e-09,1.1895
6.4915e-09,1.1942
6.5148e-09,1.1993
6.5380e-09,1.2035
6.5613e-09,1.2062
6.5846e-09,1.2072
6.6078e-09,1.1947
6.6311e-09,1.1487
6.6544e-09,1.0382
6.6776e-09,0.8705
6.7009e-09,0.7371
6.7242e-09,0.6473
6.7474e-09,0.5875
6.7707e-09,0.5534
6.7940e-09,0.5349
6.8172e-09,0.5250
6.8405e-09,0.5205
6.8638e-09,0.5180
6.8870e-09,0.5155
6.9103e-09,0.5133
6.9336e-09,0.5115
6.9568e-09,0.5093
6.9801e-09,0.5076
7.0034e-09,0.5068
7.0266e-09,0.5067
7.0499e-09,0.5306
7.0732e-09,0.6413
7.0964e-09,0.8455
7.1197e-09,1.0006
7.1430e-09,1.1090
7.1662e-09,1.1546
7.1895e-09,1.1478
7.2128e-09,1.1090
7.2360e-09,1.0458
7.2593e-09,0.9703
7.2826e-09,0.8950
7.3058e-09,0.8268
7.3291e-09,0.7690
7.3524e-09,0.7230
7.3756e-09,0.6875
7.3989e-09,0.6598
7.4222e-09,0.6373
7.4454e-09,0.6023
7.4687e-09,0.5508
7.4920e-09,0.4166
7.5152e-09,0.2489
7.5385e-09,0.1199
7.5618e-09,0.0145
7.5850e-09,-0.0333
7.6083e-09,-0.0337
7.6316e-09,-0.0003
7.6548e-09,0.0645
7.6781e-09,0.1435
7.7014e-09,0.2272
7.7246e-09,0.3105
7.7479e-09,0.3878
7.7712e-09,0.4555
7.7944e-09,0.5119
7.8177e-09,0.5565
7.8410e-09,0.5881
7.8642e-09,0.6102
7.8875e-09,0.6563
7.9108e-09,0.8097
7.9340e-09,1.0052
7.9573e-09,1.1487
7.9806e-09,1.2297
8.0038e-09,1.2574
8.0271e-09,1.2414
8.0504e-09,1.1963
8.0736e-09,1.1294
8.0969e-09,1.0519
8.1202e-09,0.9703
8.1435e-09,0.8891
8.1667e-09,0.8119
8.1900e-09,0.7416
8.2133e-09,0.6799
8.2365e-09,0.6269
8.2598e-09,0.5824
8.2831e-09,0.5468
8.3063e-09,0.5209
8.3296e-09,0.5043
8.3529e-09,0.4936
8.3761e-09,0.4883
8.3994e-09,0.4971
8.4227e-09,0.5255
8.4459e-09,0.5734
8.4692e-09,0.6422
8.4925e-09,0.7286
8.5157e-09,0.8228
8.5390e-09,0.9173
8.5623e-09,1.0069
8.5855e-09,1.0861
8.6088e-09,1.1529
8.6321e-09,1.2080
8.6553e-09,1.2515
8.6786e-09,1.2824
8.7019e-09,1.2723
8.7251e-09,1.2295
8.7484e-09,1.0849
8.7717e-09,0.9416
8.7949e-09,0.8347
8.8182e-09,0.7571
8.8415e-09,0.7047
8.8647e-09,0.6694
8.8880e-09,0.6436
8.9113e-09,0.6244
8.9345e-09,0.6067
8.9578e-09,0.5861
8.9811e-09,0.5601
9.0043e-09,0.5302
9.0276e-09,0.4985
9.0509e-09,0.4683
9.0741e-09,0.4445
9.0974e-09,0.4283
9.1207e-09,0.4187
9.1439e-09,0.4147
9.1672e-09,0.4166
9.1905e-09,0.4236
9.2137e-09,0.4308
9.2370e-09,0.4292
9.2603e-09,0.4129
9.2835e-09,0.3813
9.3068e-09,0.3351
9.3301e-09,0.2783
9.3533e-09,0.2180
9.3766e-09,0.1604
9.3999e-09,0.1085
9.4231e-09,0.0645
9.4464e-09,0.0295
9.4697e-09,0.0036
9.4929e-09,-0.0127
9.5162e-09,-0.0198
9.5395e-09,-0.0146
9.5627e-09,0.0173
9.5860e-09,0.1127
9.6093e-09,0.2682
9.6325e-09,0.3821
9.6558e-09,0.4701
9.6791e-09,0.5254
9.7023e-09,0.5502
9.7256e-09,0.5590
9.7489e-09,0.5578
9.7721e-09,0.5571
9.7954e-09,0.5638
9.8187e-09,0.5805
9.8419e-09,0.6051
9.8652e-09,0.6333
9.8885e-09,0.6613
9.9117e-09,0.6843
9.9350e-09,0.6939
9.9583e-09,0.6737
9.9815e-09,0.5874
1.00048e-08,0.4280
1.00281e-08,0.2774
1.00513e-08,0.1544
1.00746e-08,0.0778
1.00979e-08,0.0427
1.01211e-08,0.0469
1.01444e-08,0.0828
1.01677e-08,0.1392
1.01909e-08,0.2067
1.02142e-08,0.2755
1.02375e-08,0.3407
1.02607e-08,0.3979
1.02840e-08,0.4433
1.03073e-08,0.4762
1.03305e-08,0.4979
1.03538e-08,0.5090
1.03771e-08,0.5125
1.04003e-08,0.5121
1.04236e-08,0.5126
1.04469e-08,0.5160
1.04702e-08,0.5176
1.04934e-08,0.5099
1.05167e-08,0.4899
1.05400e-08,0.4563
1.05632e-08,0.4078
1.05865e-08,0.3480
1.06098e-08,0.2826
1.06330e-08,0.2148
1.06563e-08,0.1479
1.06796e-08,0.0857
1.07028e-08,0.0303
1.07261e-08,-0.0169
1.07494e-08,-0.0538
1.07726e-08,-0.0801
1.07959e-08,-0.0865
1.08192e-08,-0.0627
1.08424e-08,0.0328
1.08657e-08,0.1687
1.08890e-08,0.2781
1.09122e-08,0.3719
1.09355e-08,0.4451
1.09588e-08,0.4863
1.09820e-08,0.5107
1.10053e-08,0.5240
1.10286e-08,0.5338
1.10518e-08,0.5468
1.10751e-08,0.5661
1.10984e-08,0.5906
1.11216e-08,0.6185
1.11449e-08,0.6474
1.11682e-08,0.6738
1.11914e-08,0.6817
1.12147e-08,0.6619
1.12380e-08,0.5554
1.12612e-08,0.4033
1.12845e-08,0.2700
1.13078e-08,0.1627
1.13310e-08,0.0986
1.13543e-08,0.0775
1.13776e-08,0.0829
1.14008e-08,0.1124
1.14241e-08,0.1586
1.14474e-08,0.2126
1.14706e-08,0.2691
1.14939e-08,0.3248
1.15172e-08,0.3757
1.15404e-08,0.4186
1.15637e-08,0.4529
1.15870e-08,0.4785
1.16102e-08,0.4960
1.16335e-08,0.5301
1.16568e-08,0.6640
1.16800e-08,0.8683
1.17033e-08,1.0259
1.17266e-08,1.1238
1.17498e-08,1.1657
1.17731e-08,1.1649
1.17964e-08,1.1329
1.18196e-08,1.0775
1.18429e-08,1.0100
1.18662e-08,0.9398
1.18894e-08,0.8716
1.19127e-08,0.8082
1.19360e-08,0.7514
1.19592e-08,0.7013
1.19825e-08,0.6566
1.20058e-08,0.6171
1.20290e-08,0.5653
1.20523e-08,0.4974
1.20756e-08,0.3493
1.20988e-08,0.1835
1.21221e-08,0.0605
1.21454e-08,-0.0298
1.21686e-08,-0.0674
