.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
5.7469e-09,0.5144
5.7702e-09,0.5103
5.7935e-09,0.5259
5.8168e-09,0.5419
5.8400e-09,0.5478
5.8633e-09,0.5434
5.8866e-09,0.5354
5.9098e-09,0.5319
5.9331e-09,0.5320
5.9564e-09,0.5285
5.9796e-09,0.5224
6.0029e-09,0.5334
6.0262e-09,0.6229
6.0494e-09,0.8205
6.0727e-09,0.9945
6.0960e-09,1.1006
6.1192e-09,1.1763
6.1425e-09,1.2283
6.1658e-09,1.2565
6.1890e-09,1.2554
6.2123e-09,1.2313
6.2356e-09,1.2075
6.2588e-09,1.1960
6.2821e-09,1.1952
6.3054e-09,1.1963
6.3286e-09,1.1927
6.3519e-09,1.1870
6.3752e-09,1.1866
6.3984e-09,1.1792
6.4217e-09,1.1354
6.4450e-09,1.0278
6.4682e-09,0.8542
6.4915e-09,0.7216
6.5148e-09,0.6368
6.5380e-09,0.5778
6.5613e-09,0.5354
6.5846e-09,0.5118
6.6078e-09,0.5126
6.6311e-09,0.5299
6.6544e-09,0.5441
6.6776e-09,0.5477
6.7009e-09,0.5417
6.7242e-09,0.5341
6.7474e-09,0.5317
6.7707e-09,0.5318
6.7940e-09,0.5272
6.8172e-09,0.5216
6.8405e-09,0.5413
6.8638e-09,0.6563
6.8870e-09,0.8736
6.9103e-09,1.0185
6.9336e-09,1.1223
6.9568e-09,1.1899
6.9801e-09,1.2363
7.0034e-09,1.2589
7.0266e-09,1.2519
7.0499e-09,1.2258
7.0732e-09,1.2040
7.0964e-09,1.1952
7.1197e-09,1.1956
7.1430e-09,1.1961
7.1662e-09,1.1915
7.1895e-09,1.1864
7.2128e-09,1.1873
7.2360e-09,1.1723
7.2593e-09,1.1239
7.2826e-09,0.9917
7.3058e-09,0.8212
7.3291e-09,0.7000
7.3524e-09,0.6237
7.3756e-09,0.5688
7.3989e-09,0.5290
7.4222e-09,0.5099
7.4454e-09,0.5154
7.4687e-09,0.5336
7.4920e-09,0.5458
7.5152e-09,0.5471
7.5385e-09,0.5399
7.5618e-09,0.5331
7.5850e-09,0.5317
7.6083e-09,0.5313
7.6316e-09,0.5259
7.6548e-09,0.5226
7.6781e-09,0.5516
7.7014e-09,0.6947
7.7246e-09,0.9054
7.7479e-09,1.0414
7.7712e-09,1.1396
7.7944e-09,1.1997
7.8177e-09,1.2440
7.8410e-09,1.2603
7.8642e-09,1.2473
7.8875e-09,1.2204
7.9108e-09,1.2011
7.9340e-09,1.1947
7.9573e-09,1.1960
7.9806e-09,1.1956
8.0038e-09,1.1902
8.0271e-09,1.1860
8.0504e-09,1.1881
8.0736e-09,1.1648
8.0969e-09,1.1073
8.1202e-09,0.9529
8.1435e-09,0.7938
8.1667e-09,0.6834
8.1900e-09,0.6120
8.2133e-09,0.5601
8.2365e-09,0.5236
8.2598e-09,0.5092
8.2831e-09,0.5189
8.3063e-09,0.5367
8.3296e-09,0.5469
8.3529e-09,0.5462
8.3761e-09,0.5383
8.3994e-09,0.5324
8.4227e-09,0.5318
8.4459e-09,0.5306
8.4692e-09,0.5247
8.4925e-09,0.5247
8.5157e-09,0.5703
8.5390e-09,0.7400
8.5623e-09,0.9378
8.5855e-09,1.0603
8.6088e-09,1.1534
8.6321e-09,1.2122
8.6553e-09,1.2486
8.6786e-09,1.2598
8.7019e-09,1.2421
8.7251e-09,1.2157
8.7484e-09,1.1989
8.7717e-09,1.1946
8.7949e-09,1.1963
8.8182e-09,1.1948
8.8415e-09,1.1890
8.8647e-09,1.1860
8.8880e-09,1.1879
8.9113e-09,1.1564
8.9345e-09,1.0874
8.9578e-09,0.9189
8.9811e-09,0.7672
9.0043e-09,0.6671
9.0276e-09,0.5998
9.0509e-09,0.5514
9.0741e-09,0.5192
9.0974e-09,0.5095
9.1207e-09,0.5226
9.1439e-09,0.5395
9.1672e-09,0.5476
9.1905e-09,0.5449
9.2137e-09,0.5368
9.2370e-09,0.5321
9.2603e-09,0.5321
9.2835e-09,0.5297
9.3068e-09,0.5235
9.3301e-09,0.5278
9.3533e-09,0.5905
9.3766e-09,0.7814
9.3999e-09,0.9642
9.4231e-09,1.0857
9.4464e-09,1.1649
9.4697e-09,1.2200
9.4929e-09,1.2539
9.5162e-09,1.2583
9.5395e-09,1.2368
9.5627e-09,1.2114
9.5860e-09,1.1973
9.6093e-09,1.1948
9.6325e-09,1.1965
9.6558e-09,1.1939
9.6791e-09,1.1879
9.7023e-09,1.1862
9.7256e-09,1.1846
9.7489e-09,1.1479
9.7721e-09,1.0613
9.7954e-09,0.8853
9.8187e-09,0.7437
9.8419e-09,0.6524
9.8652e-09,0.5891
9.8885e-09,0.5440
9.9117e-09,0.5152
9.9350e-09,0.5109
9.9583e-09,0.5264
9.9815e-09,0.5421
1.00048e-08,0.5479
1.00281e-08,0.5434
1.00513e-08,0.5354
1.00746e-08,0.5319
