.HEADER
..NAMES
Time,V U1.W1
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0066
3.955e-10,0.0338
4.188e-10,0.1303
4.421e-10,0.2768
4.653e-10,0.4165
4.886e-10,0.5084
5.119e-10,0.5783
5.351e-10,0.6199
5.584e-10,0.6399
5.817e-10,0.6504
6.049e-10,0.6548
6.282e-10,0.6573
6.515e-10,0.6588
6.747e-10,0.6585
6.980e-10,0.6555
7.213e-10,0.6517
7.445e-10,0.6484
7.678e-10,0.6446
7.911e-10,0.6176
8.143e-10,0.5489
8.376e-10,0.3997
8.609e-10,0.2536
8.841e-10,0.1450
9.074e-10,0.0557
9.307e-10,0.0175
9.539e-10,0.0199
9.772e-10,0.0468
1.0005e-09,0.0966
1.0237e-09,0.1600
1.0470e-09,0.2283
1.0703e-09,0.2971
1.0935e-09,0.3631
1.1168e-09,0.4205
1.1401e-09,0.4646
1.1633e-09,0.4965
1.1866e-09,0.5178
1.2099e-09,0.5410
1.2332e-09,0.6155
1.2564e-09,0.8150
1.2797e-09,0.9898
1.3030e-09,1.1205
1.3262e-09,1.1970
1.3495e-09,1.2149
1.3728e-09,1.1986
1.3960e-09,1.1554
1.4193e-09,1.0937
1.4426e-09,1.0225
1.4658e-09,0.9485
1.4891e-09,0.8746
1.5124e-09,0.8020
1.5356e-09,0.7352
1.5589e-09,0.6766
1.5822e-09,0.6251
1.6054e-09,0.5760
1.6287e-09,0.5192
1.6520e-09,0.4093
1.6752e-09,0.2548
1.6985e-09,0.1100
1.7218e-09,-0.0019
1.7450e-09,-0.0662
1.7683e-09,-0.0822
1.7916e-09,-0.0565
1.8148e-09,-0.0041
1.8381e-09,0.0674
1.8614e-09,0.1489
1.8846e-09,0.2316
1.9079e-09,0.3140
1.9312e-09,0.3915
1.9544e-09,0.4586
1.9777e-09,0.5141
2.0010e-09,0.5585
2.0242e-09,0.5909
2.0475e-09,0.6128
2.0708e-09,0.6266
2.0940e-09,0.6349
2.1173e-09,0.6387
2.1406e-09,0.6355
2.1638e-09,0.6200
2.1871e-09,0.5896
2.2104e-09,0.5452
2.2336e-09,0.4871
2.2569e-09,0.4163
2.2802e-09,0.3387
2.3034e-09,0.2593
2.3267e-09,0.1816
2.3500e-09,0.1109
2.3732e-09,0.0502
2.3965e-09,-0.0011
2.4198e-09,-0.0431
2.4430e-09,-0.0751
2.4663e-09,-0.0868
2.4896e-09,-0.0681
2.5128e-09,0.0265
2.5361e-09,0.1546
2.5594e-09,0.2584
2.5826e-09,0.3444
2.6059e-09,0.4160
2.6292e-09,0.4586
2.6524e-09,0.4877
2.6757e-09,0.5080
2.6990e-09,0.5235
2.7222e-09,0.5380
2.7455e-09,0.5553
2.7688e-09,0.5748
2.7920e-09,0.5962
2.8153e-09,0.6212
2.8386e-09,0.6474
2.8618e-09,0.6723
2.8851e-09,0.6946
2.9084e-09,0.7131
2.9316e-09,0.7262
2.9549e-09,0.7329
2.9782e-09,0.7354
3.0014e-09,0.7374
3.0247e-09,0.7455
3.0480e-09,0.7628
3.0712e-09,0.7901
3.0945e-09,0.8291
3.1178e-09,0.8784
3.1410e-09,0.9334
3.1643e-09,0.9904
3.1876e-09,1.0451
3.2108e-09,1.0930
3.2341e-09,1.1317
3.2574e-09,1.1615
3.2806e-09,1.1827
3.3039e-09,1.1957
3.3272e-09,1.2026
3.3504e-09,1.2057
3.3737e-09,1.2060
3.3970e-09,1.2041
3.4202e-09,1.2019
3.4435e-09,1.2017
3.4668e-09,1.2049
3.4901e-09,1.2117
3.5133e-09,1.2206
3.5366e-09,1.2298
3.5599e-09,1.2374
3.5831e-09,1.2415
3.6064e-09,1.2402
3.6297e-09,1.2331
3.6529e-09,1.2205
3.6762e-09,1.2040
3.6995e-09,1.1866
3.7227e-09,1.1711
3.7460e-09,1.1591
3.7693e-09,1.1519
3.7925e-09,1.1502
3.8158e-09,1.1529
3.8391e-09,1.1584
3.8623e-09,1.1658
3.8856e-09,1.1743
3.9089e-09,1.1831
3.9321e-09,1.1911
3.9554e-09,1.1974
3.9787e-09,1.2013
4.0019e-09,1.2026
4.0252e-09,1.2015
4.0485e-09,1.1984
4.0717e-09,1.1939
4.0950e-09,1.1891
4.1183e-09,1.1855
4.1415e-09,1.1845
4.1648e-09,1.1869
4.1881e-09,1.1925
4.2113e-09,1.2003
4.2346e-09,1.2089
4.2579e-09,1.2167
4.2811e-09,1.2222
4.3044e-09,1.2247
4.3277e-09,1.2243
4.3509e-09,1.2214
4.3742e-09,1.2167
4.3975e-09,1.2110
4.4207e-09,1.2053
4.4440e-09,1.2002
4.4673e-09,1.1963
