.HEADER
..NAMES
Time,V U1.U3
.DATA
0.0e+00,1.1999
2.33e-11,1.1999
4.65e-11,1.1999
6.98e-11,1.1999
9.31e-11,1.1999
1.163e-10,1.1999
1.396e-10,1.1999
1.629e-10,1.1999
1.861e-10,1.1999
2.094e-10,1.1999
2.327e-10,1.1999
2.559e-10,1.1999
2.792e-10,1.1999
3.025e-10,1.1999
3.257e-10,1.1999
3.490e-10,1.1990
3.723e-10,1.1657
3.955e-10,1.1036
4.188e-10,0.9389
4.421e-10,0.7880
4.653e-10,0.6836
4.886e-10,0.6108
5.119e-10,0.5664
5.351e-10,0.5416
5.584e-10,0.5270
5.817e-10,0.5190
6.049e-10,0.5138
6.282e-10,0.5095
6.515e-10,0.5057
6.747e-10,0.5028
6.980e-10,0.5006
7.213e-10,0.4996
7.445e-10,0.5008
7.678e-10,0.5040
7.911e-10,0.5083
8.143e-10,0.5116
8.376e-10,0.5140
8.609e-10,0.5169
8.841e-10,0.5160
9.074e-10,0.5029
9.307e-10,0.4735
9.539e-10,0.4276
9.772e-10,0.3665
1.0005e-09,0.2967
1.0237e-09,0.2262
1.0470e-09,0.1610
1.0703e-09,0.1055
1.0935e-09,0.0616
1.1168e-09,0.0280
1.1401e-09,0.0027
1.1633e-09,-0.0156
1.1866e-09,-0.0281
1.2099e-09,-0.0304
1.2332e-09,-0.0087
1.2564e-09,0.0838
1.2797e-09,0.2243
1.3030e-09,0.3330
1.3262e-09,0.4141
1.3495e-09,0.4679
1.3728e-09,0.4993
1.3960e-09,0.5165
1.4193e-09,0.5259
1.4426e-09,0.5379
1.4658e-09,0.5570
1.4891e-09,0.5837
1.5124e-09,0.6163
1.5356e-09,0.6497
1.5589e-09,0.6793
1.5822e-09,0.7003
1.6054e-09,0.7115
1.6287e-09,0.7145
1.6520e-09,0.7117
1.6752e-09,0.7052
1.6985e-09,0.6963
1.7218e-09,0.6886
1.7450e-09,0.6890
1.7683e-09,0.7036
1.7916e-09,0.7341
1.8148e-09,0.7811
1.8381e-09,0.8417
1.8614e-09,0.9087
1.8846e-09,0.9760
1.9079e-09,1.0381
1.9312e-09,1.0902
1.9544e-09,1.1304
1.9777e-09,1.1582
2.0010e-09,1.1743
2.0242e-09,1.1712
2.0475e-09,1.1294
